a,eta,seed,crossed,step,w2_cross
1.3,0.005,860112,True,4309.0,5.916057392264016
1.3,0.005,860113,True,4053.0,5.384049806137403
1.3,0.005,860114,True,6227.0,5.533465816976888
1.3,0.005,860115,True,3424.0,4.917090938520871
1.3,0.005,860116,True,6170.0,5.269633046899807
1.3,0.005,860117,True,4581.0,5.40919920144678
1.3,0.005,860118,True,3809.0,5.196203475412199
1.3,0.005,860119,True,4043.0,5.0155516573064265
1.3,0.005,860120,True,4960.0,5.618253604934797
1.3,0.005,860121,True,5484.0,4.937909863974467
1.3,0.005,860122,True,10645.0,4.965801896932759
1.3,0.005,860123,True,8446.0,5.6399346717183585
1.3,0.005,860124,True,10121.0,4.9966638570865936
1.3,0.005,860125,True,5039.0,5.633297446990865
1.3,0.005,860126,True,6901.0,5.243348994968231
1.3,0.005,860127,True,3616.0,5.379193998793742
1.3,0.005,860128,True,5732.0,5.507766323906576
1.3,0.005,860129,True,8143.0,5.271261447549109
1.3,0.005,860130,True,4761.0,5.940707419204625
1.3,0.005,860131,True,6712.0,5.698399282475146
1.3,0.005,860132,True,7036.0,4.924724869734359
1.3,0.005,860133,True,5820.0,5.716215375710998
1.3,0.005,860134,True,4282.0,5.269118897895437
1.3,0.005,860135,True,5424.0,5.364891445522304
1.3,0.005,860136,True,7573.0,4.925509461376483
1.3,0.005,860137,True,9184.0,5.756531502370813
1.3,0.005,860138,True,8845.0,5.760697147279939
1.3,0.005,860139,True,5406.0,6.032137568862147
1.3,0.0025,860100,True,7237.0,4.659096780684468
1.3,0.0025,860101,True,10845.0,5.706554061053451
1.3,0.0025,860102,True,10498.0,5.793526636850233
1.3,0.0025,860103,True,8158.0,5.426163662569691
1.3,0.0025,860104,False,,
1.3,0.0025,860105,True,7291.0,5.930002744400755
1.3,0.0025,860106,True,10667.0,5.243851154330317
1.3,0.0025,860107,True,14948.0,5.957178352053917
1.3,0.0025,860108,True,23026.0,4.797598195000099
1.3,0.0025,860109,True,7558.0,5.136203356629614
1.3,0.0025,860110,True,8926.0,4.928208167558537
1.3,0.0025,860111,True,7557.0,4.68834021766605
1.3,0.0025,860112,True,8482.0,5.924322276224707
1.3,0.0025,860113,True,7508.0,5.384729845159125
1.3,0.0025,860114,True,10075.0,5.540314736548078
1.3,0.0025,860115,True,6479.0,4.918749054177356
1.3,0.0025,860116,True,9932.0,5.273383366577266
1.3,0.0025,860117,True,8315.0,5.411082859464749
1.3,0.0025,860118,True,7055.0,5.198110541368484
1.3,0.0025,860119,True,7440.0,5.025623173828902
1.3,0.0025,860120,True,9473.0,5.63958393975442
1.3,0.0025,860121,True,9156.0,4.942707428724088
1.3,0.0025,860122,True,15874.0,4.964961942875845
1.3,0.0025,860123,True,13775.0,5.640489118269927
1.3,0.0025,860124,True,15217.0,4.9966219456441445
1.3,0.0025,860125,True,9008.0,5.643988807680983
1.3,0.0025,860126,True,11436.0,5.248589403947757
1.3,0.0025,860127,True,7015.0,5.3791526607067075
1.3,0.0025,860128,True,9738.0,5.512591923646348
1.3,0.0025,860129,True,13397.0,5.270340497391148
1.3,0.0025,860130,True,8834.0,5.942785223348029
1.3,0.0025,860131,True,11014.0,5.707462198963765
1.3,0.0025,860132,True,12094.0,4.928948692138386
1.3,0.0025,860133,True,10180.0,5.7206609151607
1.3,0.0025,860134,True,7936.0,5.270683797560784
1.3,0.0025,860135,True,9286.0,5.368389288911367
1.3,0.0025,860136,True,12531.0,4.926372979894751
1.3,0.0025,860137,True,15141.0,5.756156181391344
1.3,0.0025,860138,True,14628.0,5.760666631714977
1.3,0.0025,860139,True,9431.0,6.037939002672778
1.5,0.01,860100,True,1011.0,2.4753533028838777
1.5,0.01,860101,True,2113.0,3.0027207175349537
1.5,0.01,860102,True,1944.0,3.0351481548195625
1.5,0.01,860103,True,1175.0,2.8284480466083037
1.5,0.01,860104,False,,
1.5,0.01,860105,True,929.0,3.0915889646101435
1.5,0.01,860106,True,1798.0,2.74336257768452
1.5,0.01,860107,True,5035.0,3.109522185597557
1.5,0.01,860108,True,11690.0,2.5589891500050985
1.5,0.01,860109,True,1049.0,2.7135867767151045
1.5,0.01,860110,True,1586.0,2.5920334680007353
1.5,0.01,860111,True,1178.0,2.484789763866215
1.5,0.01,860112,True,1164.0,3.093495231819444
1.5,0.01,860113,True,989.0,2.8265868514984787
1.5,0.01,860114,True,1976.0,2.90063406996462
1.5,0.01,860115,True,797.0,2.614171053393929
1.5,0.01,860116,True,1943.0,2.7810534487550416
1.5,0.01,860117,True,1273.0,2.8504295990070236
1.5,0.01,860118,True,911.0,2.744367411145309
1.5,0.01,860119,True,1068.0,2.6275153364065678
1.5,0.01,860120,True,1585.0,2.9166243711915096
1.5,0.01,860121,True,1643.0,2.6051584267516903
1.5,0.01,860122,True,6623.0,2.6328561516537317
1.5,0.01,860123,True,4580.0,2.9633769846124296
1.5,0.01,860124,True,5826.0,2.63577523484952
1.5,0.01,860125,True,1399.0,2.9290799849042264
1.5,0.01,860126,True,2759.0,2.778244269984552
1.5,0.01,860127,True,819.0,2.837094158178192
1.5,0.01,860128,True,1742.0,2.904586599335338
1.5,0.01,860129,True,3970.0,2.7860855410955283
1.5,0.01,860130,True,1202.0,3.1258625796997452
1.5,0.01,860131,True,2340.0,2.98230843840305
1.5,0.01,860132,True,3234.0,2.6031426579498875
1.5,0.01,860133,True,1855.0,3.0069408464082374
1.5,0.01,860134,True,1073.0,2.778547391181323
1.5,0.01,860135,True,1584.0,2.8300810473633424
1.5,0.01,860136,True,3623.0,2.6029214545022548
1.5,0.01,860137,True,3175.0,3.010638517162538
1.5,0.01,860138,True,3820.0,3.05780309681158
