a,winding,seed,grad_s0,note,s_branch,w1,b1
1.5,0,860012,4.336808689942018e-17,,2.5380010925646848,1.0416635090014705,-2.3083758330702886
1.5,0,860013,3.4413010635558905e-14,,2.0712601161021906,1.036822931566962,-2.2957431765573584
1.5,0,860014,1.6306400674181987e-16,,2.3727646213665072,1.0192611702001793,-2.2905900800545607
1.5,0,860015,6.591949208711867e-17,,2.8018537095391762,0.9956176526935672,-2.284155198296934
1.5,0,860016,1.1899769364331902e-14,,3.1237018388518383,0.9983321280147636,-2.2848658144543275
1.5,0,860017,6.418476861114186e-16,,2.689653972524175,1.0306598463264975,-2.2938972350894127
1.5,0,860018,3.9898639947466563e-17,,2.4845785377553105,1.0226990321453078,-2.291573076414537
1.5,0,860019,2.8119867545584043e-15,,2.1214535766893974,1.0267074432235737,-2.2927348915769437
1.5,0,860020,1.5265566588595902e-16,,2.686263500076259,1.0169616157823196,-2.289939345084537
1.5,0,860021,3.8163916471489756e-17,,3.208380990168143,1.0382217634906925,-2.297803305421427
1.5,0,860022,1.0126448291014611e-16,,2.2121251376807853,1.014745990728916,-2.2893175966955526
1.5,0,860023,2.0187844451680093e-15,,2.676618330978873,1.016728622314088,-2.289873794476312
1.5,0,860024,1.7274376373777045e-14,,2.7285070600150476,1.0281389456637968,-2.293153966108858
1.5,0,860025,3.167952011828845e-14,,2.0190701978216987,1.0295312064042148,-2.2935636991028794
1.5,0,860026,7.126417511660321e-14,,2.6155423418729726,1.0392280498846453,-2.3008102627899256
1.5,0,860027,1.038232000372119e-14,,2.1502069984915675,1.0379486958603616,-2.296998979323054
1.5,0,860028,3.660266534311063e-16,,2.5271851550878783,1.0291363292322635,-2.293447260189588
1.5,0,860029,6.4557734158476876e-15,,2.333725212742701,1.0210958659546774,-2.2911131161403864
1.5,0,860030,1.1449174941446927e-16,,2.5091431911529316,1.0255811936128851,-2.292406768144161
1.5,0,860031,5.731092683758376e-16,,2.357703804820904,1.0422712803885081,-2.310331834366293
1.5,0,860032,3.2742905609062234e-16,,2.292915956803836,1.0312237833424716,-2.2940644721633077
1.5,0,860033,2.3071822230491534e-16,,2.5635113183527607,1.014655727726943,-2.2892923909084866
1.5,0,860034,8.847089727481716e-17,,2.7036510924251,1.011720109772149,-2.288476512368622
1.5,0,860035,9.24694348869437e-14,,2.4464046989480948,1.04030318804367,-2.3040978252618434
1.5,0,860036,2.7755575615628914e-17,,2.2996672404446663,1.0383729074929988,-2.298250683466935
1.5,0,860037,9.613837503863465e-15,,2.0782374673567316,1.038346334779702,-2.298172165323779
1.5,0,860038,3.95516952522712e-16,,2.3139660240864357,1.0200927150773471,-2.2908267248388694
1.5,0,860039,5.9657140338842396e-15,,2.497151772484573,1.0235788092512523,-2.2918266654252863
1.3,0,860000,1.4524839664353806e-14,,4.561271205028657,-0.8500774156615564,3.818801442064413
1.3,0,860001,2.6020852139652106e-16,,5.284926053959541,-0.8471718289539546,3.827323090873324
1.3,0,860002,1.6773474970088742e-14,,4.436461122882362,-0.8258975423368914,3.8340547639687084
1.3,0,860003,8.659739592076221e-15,,6.145854564329206,-0.8221442740895801,3.8351563296526368
1.3,0,860004,2.8320228107059364e-14,,4.262572782994976,-0.8403510819883367,3.8296492838947573
