a,winding,opt,cell,gamma,crossed,step,s_cross,placed_in_warmup,w1,b1,b2,seed,w1_end,b1_end,b2_end,steps_run
1.3,-1,sgd,0,5.932277269475824e-06,True,129300,5.336370161398896,False,-0.8310371766774003,-2.4506679072824626,16.168932907086155,860018,-0.8147399541588736,-2.4677732308780977,18.73490656166621,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,129314,5.336813375387258,False,-0.8252600229464812,-2.448942369894792,16.057765590109618,860019,-0.8079525905362998,-2.466858513500127,18.622714847791404,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,129046,5.328335382153332,False,-0.8495967534653599,-2.4629298091188843,16.106929936487088,860020,-0.8319668246527329,-2.4803264552959794,18.70057771040271,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,83038,4.055632540835436,False,-0.8400670021138874,-2.45344715127027,12.33180251187008,860021,-0.7955891042836699,-2.5008742845444374,18.910384724935376,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,135326,5.530584906270315,False,-0.8299421376237579,-2.450337901323904,16.653753152191918,860022,-0.816815548831982,-2.464170172530029,18.6120124479788,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,106528,4.662052765701463,False,-0.8248794140860692,-2.4488306616947932,14.10994646806694,860023,-0.793320498485959,-2.4827617449984976,18.792374647406838,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,123777,5.164362713716912,False,-0.8471666073295504,-2.455849328226387,15.631839197826398,860024,-0.8268318485733808,-2.4768185915982412,18.739174662797517,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,140728,5.710689339970587,False,-0.8110255310682118,-2.444865432412524,17.242104876718287,860025,-0.8023940984187578,-2.4541927383346906,18.632395690625557,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,123728,5.162861746733855,False,-0.8334031417926822,-2.451386301925451,15.639614878555763,860026,-0.8127308100234902,-2.473066728412832,18.75149964056708,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,141343,5.731561988615015,False,-0.8230336597734906,-2.448289032705873,17.35440706615905,860027,-0.814848936638215,-2.457078057653825,18.678344528123848,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,121427,5.092866615767274,False,-0.8321227746910445,-2.450996342484783,15.351549414643099,860028,-0.8091122185699328,-2.475680161066771,18.686219013084372,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,134075,5.489692816877357,False,-0.8441544242539045,-2.454739998954979,16.53505361678542,860029,-0.8300192807232447,-2.469043835576605,18.621093418682573,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,117569,4.977631284189091,False,-0.8208188638009246,-2.447644838824913,15.074009270843776,860030,-0.7967386400694917,-2.4736965376068247,18.76568887846057,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,144452,5.838252613036638,False,-0.8260115715779223,-2.449165052634333,17.71272433522239,860031,-0.8197994617409105,-2.4557449836867695,18.70240793570768,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,131523,5.407209356358439,False,-0.819682691248992,-2.447316121061386,16.352735721465745,860032,-0.8045750296388927,-2.463411022975507,18.697416997944867,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,110234,4.765683070050731,False,-0.8382624523239889,-2.452883593839168,14.34662070681093,860033,-0.8074905840634959,-2.484487787821908,18.705822607347915,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,96591,4.395172676085315,False,-0.8435896237744891,-2.4545598228558583,13.224778976300355,860034,-0.802803856374066,-2.496592641774869,18.743042292204482,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,131403,5.403361478302984,False,-0.8290998919498963,-2.450084875605697,16.394349588491544,860035,-0.8145133340330473,-2.465619059069837,18.747461565602983,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,125946,5.231242485664374,False,-0.8314346231098381,-2.4507882526030182,15.796156904542322,860036,-0.8119858552382516,-2.471067676534105,18.690408579934385,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,135786,5.5456976401035325,False,-0.8228283345577159,-2.4482293574887257,16.684580893547004,860037,-0.8099533881472338,-2.4618354102806124,18.594592242402364,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,128140,5.299774302152,False,-0.8348458563944876,-2.4518274396324533,15.97905602011106,860038,-0.8170551542713433,-2.470408137178865,18.65987744557772,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,130762,5.382853727432272,False,-0.8490359935368662,-2.4612537233559246,16.209642078087107,860039,-0.8322219313378377,-2.47826721522945,18.63198951476378,157310
1.3,-1,sgd,1,1.490120678114902e-05,True,41105,4.572299862842112,False,-0.8500700005818246,-2.464368565033207,13.770027745812339,860000,-0.8136397509631231,-2.5016123421167085,18.773931082334574,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,51014,5.299817513629342,False,-0.8471799702129387,-2.455885186795135,16.013095005834668,860001,-0.8284928351790423,-2.475129889636849,18.731215724441995,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,39243,4.44718042745596,False,-0.825905875205209,-2.4491349330741636,13.476263310270827,860002,-0.7900207583887507,-2.4879017256997127,18.861080303158182,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,61156,6.164459298545707,False,-0.8222729140152674,-2.4480665272544146,18.666314476916657,860003,-0.8222729140152674,-2.4480665272544146,18.666314476916657,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,36545,4.271934749971482,False,-0.8403634889998286,-2.4535421581005483,12.91870303225313,860004,-0.7991963272975638,-2.496224736069669,18.85502722616779,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,55415,5.659030566933726,False,-0.8177050265383052,-2.44674892615912,17.15718665531644,860005,-0.8080146819767124,-2.457353059486528,18.744743459283715,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,57645,5.850237687383906,False,-0.8183954146858881,-2.446946734082214,17.716993809685405,860006,-0.8124976064044425,-2.453251536344659,18.703942066217262,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,48219,5.083619539339748,False,-0.8308180177983455,-2.450601867783915,15.350231373666912,860007,-0.8081078251462052,-2.474528524282533,18.7488385988348,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,50765,5.280189504543375,False,-0.8402307181586547,-2.4534984866664313,15.956713034911788,860008,-0.8219053055398737,-2.472138377176052,18.734169218607427,65156
