a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r
1.3,-1,sgd,2,3.743013912668677e-05,860020,5.3604594176591664,5.321875,-1,-0.011688443850250252,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.007250154815580334
1.3,-1,sgd,2,3.743013912668677e-05,860021,4.074555349854726,6.215625,-1,-0.002045841179253216,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,-0.3444657054029602
1.3,-1,sgd,2,3.743013912668677e-05,860022,5.561572769979462,5.521875,-1,0.0010069110043939844,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.007189183018352141
1.3,-1,sgd,2,3.743013912668677e-05,860023,4.684170719222214,5.246875,-1,0.0025449863928415084,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,-0.10724560443650477
1.3,-1,sgd,2,3.743013912668677e-05,860024,5.196875234188957,5.159375,-1,-0.004510967025103341,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.00726836761990679
1.3,-1,sgd,2,3.743013912668677e-05,860025,5.749749762193634,5.703125,-1,0.006501172695841717,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.008175300768198834
1.3,-1,sgd,2,3.743013912668677e-05,860026,5.190654328105499,5.103125,-1,-6.149438684488473e-06,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.01715210348668683
1.3,-1,sgd,2,3.743013912668677e-05,860027,5.763324238694731,5.728125,-1,0.003027043810294394,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.006144984387514318
1.3,-1,sgd,2,3.743013912668677e-05,860028,5.121946970692841,5.084375,-1,0.00039121153742804893,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.0073896930680450446
1.3,-1,sgd,2,3.743013912668677e-05,860029,5.524434811756183,5.484375,-1,-0.00337640415425966,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.007304353140728415
1.3,-1,sgd,2,3.743013912668677e-05,860030,5.002953845555667,4.903125,-1,0.0037245739912155074,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.02036024893423405
1.3,-1,sgd,2,3.743013912668677e-05,860031,5.870223049444844,5.834375,-1,0.0021705575580117653,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.006144282711489035
1.3,-1,sgd,2,3.743013912668677e-05,860032,5.438673273096828,5.403125,-1,0.004055331956649866,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.00657920612549745
1.3,-1,sgd,2,3.743013912668677e-05,860033,4.7907376908289505,4.759375,-1,-0.0015050128664721996,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.006589665834053848
1.3,-1,sgd,2,3.743013912668677e-05,860034,4.4148524453586315,5.296875,-1,-0.0031852254272202174,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,-0.16651753243966838
1.3,-1,sgd,2,3.743013912668677e-05,860035,5.431959600486339,4.790625,-1,0.001242896332861676,False,0.0008280662193732545,7.619648401522177,0.006309573444801931,-1,0.13387284550269296
