a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,1,1.490120678114902e-05,860012,5.429149767671491,4.965625,-1,-0.0013462031947586,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0933467121805393,-1,5.415034799527506,1.0905041761163008,0.0026066255650316617
1.3,-1,sgd,1,1.490120678114902e-05,860013,6.060083899442209,6.046875,-1,0.0072209840358938,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.002184417478815,-1,6.044290816943877,0.9995726415617782,0.0026128925587198815
1.3,-1,sgd,1,1.490120678114902e-05,860014,5.146960871552336,5.134375,-1,0.0003014579225837,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0024512957375213,-1,5.13303408802393,0.99973883637715,0.002713167941140293
1.3,-1,sgd,1,1.490120678114902e-05,860015,4.595249884047764,4.584375,-1,-0.0006152011484745,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0023721628461379,-1,4.583356896719108,0.9997779188480673,0.0025948202587429137
1.3,-1,sgd,1,1.490120678114902e-05,860016,4.316792171837595,6.140625,-1,-0.0135559187143332,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.2970109440264475,-1,4.307454773315346,0.7014684618121683,0.002167729904001492
1.3,-1,sgd,1,1.490120678114902e-05,860017,4.918127828184617,5.278125,-1,-0.0002538758920138,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.0682055032450695,-1,4.905832102594112,0.9294649335879904,0.0025063486343128716
1.3,-1,sgd,1,1.490120678114902e-05,860018,5.344546360891652,4.878125,-1,0.0007213056260102,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0956148850002105,-1,5.330965438936095,1.0928308395000323,0.002547553930168922
1.3,-1,sgd,1,1.490120678114902e-05,860019,5.345741097266407,5.328125,-1,0.0024473799578945,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0033062469942817,-1,5.330962216920211,1.0005324981903037,0.002772272573849488
1.3,-1,sgd,1,1.490120678114902e-05,860020,5.337383547877568,5.321875,-1,-0.0115712970056645,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0029141135178047,-1,5.32234010241274,1.0000873944639324,0.0028264720358641693
1.3,-1,sgd,1,1.490120678114902e-05,860021,4.061013313245481,6.215625,-1,-0.0020447275363535,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.3466444141585953,-1,4.052098341352384,0.6519213017761502,0.00220008774271796
