a,seed,precision,exact_sep,inner_max_logit,outer_min_logit,margin,lip_certified,lipschitz,certify_threshold,margin_grid
1.5,34,float64,True,-0.6098240172702525,0.1064429109698537,0.1064429109698537,True,10.955204029230396,0.0021921368742832,0.1064429109698537
1.5,36,float32,True,-0.524708236564944,0.07743955565282512,0.07743955565282512,True,12.447196022293523,0.002490684546732,0.0774395556528251
1.5,37,float64,True,-0.6446487539134473,0.15509982122974364,0.15509982122974364,True,11.712298215448463,0.0023436314588191,0.1550998212297436
1.5,38,float32,True,-0.804669249477552,0.09999979125692349,0.09999979125692349,True,13.796730628172329,0.0027607264888789,0.0999997912569234
1.5,38,float64,True,-0.7073735867665807,0.016750308787639057,0.016750308787639057,True,12.53102033051702,0.0025074577950009,0.016750308787639
1.5,39,float32,True,-0.6672898656135757,0.13149370087415946,0.13149370087415946,True,12.442063841788809,0.0024896575971563,0.1314937008741594
1.5,40,float32,True,-0.48950922092493165,0.10525701602938753,0.10525701602938753,True,11.650613151108685,0.0023312882743589,0.1052570160293875
1.5,40,float64,True,-0.4493822838978474,0.09265422848955218,0.09265422848955218,True,10.139567388620437,0.0020289279416949,0.0926542284895521
1.5,42,float32,True,-0.5376345955642794,0.1607670756730446,0.1607670756730446,True,11.982618386080048,0.0023977225384852,0.1607670756730446
1.5,44,float32,True,-0.7313025562560682,0.31663968082944294,0.31663968082944294,True,15.00850632764383,0.0030032028669622,0.3166396808294429
1.5,45,float64,True,-0.6088516718204176,0.08930285886148148,0.08930285886148148,True,12.143024354925592,0.0024298197808755,0.0893028588614814
1.5,47,float64,True,-0.5642955991409657,0.03790098944359599,0.03790098944359599,True,11.785630367792663,0.0023583052261716,0.0379009894435959
1.5,51,float32,True,-0.5962693755192543,0.14953523560774507,0.14953523560774507,True,11.252644256553523,0.00225165467865,0.149535235607745
1.5,51,float64,True,-0.5741853814734075,0.04932895238782642,0.04932895238782642,True,11.382772636197156,0.0022776933739263,0.0493289523878264
1.5,52,float64,True,-0.7137788059974888,0.23778402376783347,0.23778402376783347,True,13.740934494974573,0.0027495616798348,0.2377840237678334
1.5,54,float64,True,-0.5027664449860261,0.0054367441771958624,0.0054367441771958624,True,10.990651164402792,0.0021992298478044,0.0054367441771958
1.5,56,float32,True,-0.258112079630358,0.03492065829891544,0.03492065829891544,True,9.82344828112879,0.0019656724924719,0.0349206582989154
1.5,58,float64,True,-0.615760956281191,0.11784630015704423,0.11784630015704423,True,11.641828816919412,0.0023295305286482,0.1178463001570442
1.5,60,float32,True,-0.526450869681252,0.05393413675902714,0.05393413675902714,True,10.74541187698742,0.0021501574541245,0.0539341367590271
1.5,61,float32,True,-0.7419162164543565,0.11853029201462562,0.11853029201462562,True,12.440209912849696,0.0024892866258828,0.1185302920146256
1.5,62,float64,True,-0.43971479911507494,0.0020857505880549354,0.0020857505880549354,False,11.591025648736144,0.0023193648121533,0.0020857505880549
1.5,63,float32,True,-0.7016019555067352,0.10718074803418354,0.10718074803418354,True,12.53369900253986,0.0025079937974066,0.1071807480341835
1.5,63,float64,True,-0.7091931390466897,0.10809709114036181,0.10809709114036181,True,12.60220883446766,0.0025217026182026,0.1080970911403618
1.5,67,float32,True,-0.7343137817845466,0.13508219758549345,0.13508219758549345,True,12.680144256353287,0.0025372975000206,0.1350821975854934
1.5,67,float64,True,-0.6564986790453915,0.06655531276360094,0.06655531276360094,True,11.662542185669905,0.0023336752747713,0.0665553127636009
1.5,69,float32,True,-0.5821950172907506,0.04651464050922627,0.04651464050922627,True,10.653907758331018,0.0021318474754039,0.0465146405092262
1.5,69,float64,True,-0.7031835848734307,0.15071985900361007,0.15071985900361007,True,12.178938021483953,0.0024370061073504,0.15071985900361
1.5,70,float64,True,-0.7120066922766952,0.18546967182129848,0.18546967182129848,True,12.767386251492908,0.0025547546276123,0.1854696718212984
1.5,71,float32,True,-0.7489138056252607,0.12858444946912684,0.12858444946912684,True,13.34215576509422,0.0026697660360368,0.1285844494691268
1.5,73,float32,True,-0.5472810916123585,0.01964055769831141,0.01964055769831141,True,10.351797210211233,0.002071395139612,0.0196405576983114
1.5,74,float64,True,-0.6197641769610911,0.0967580177055094,0.0967580177055094,True,11.69042336856265,0.0023392543008629,0.0967580177055094
1.5,75,float32,True,-0.7487753464714455,0.12709458366971305,0.12709458366971305,True,12.360352839467764,0.0024733072215043,0.127094583669713
1.5,75,float64,True,-0.7912317670532865,0.169415919192474,0.169415919192474,True,12.93689502318696,0.002588673341308,0.169415919192474
1.5,76,float32,True,-0.5031768503395693,0.03408888539660815,0.03408888539660815,True,11.68541738969715,0.0023382526042415,0.0340888853966081
