width,a,delta,k,s,restarts,retained_loss,retained_constant,G_lo,G_hi,placed,best_placed_loss,best_unplaced_loss,undecided,n_polished_placed,q,raw_best_loss,raw_not_converged
width2,1.3,0.8,10,31.622776601683793,400,4.765610367597814e-10,False,1.115726235131203,1.115726235131203,True,4.765610367597814e-10,0.504812596377785,False,3,"[4.699994802169342, 4.677708117140902, 1.5715200587481424, -1.5807532766497772, -0.2490432430934062, 0.7516809357051396]",4.759864327684239e-10,3
width1,1.3,0.8,0,0.1,200,0.6196032716635809,False,-3.0734021053477742,-3.0734021053477742,False,inf,0.6196032716635809,False,0,"[1.6967927486813583, -1.748911472072809, 0.0, 0.0, 1.0, 0.0]",0.6196032716635809,1
width1,1.3,0.8,1,0.1778279410038923,200,0.5740172111051102,False,-2.873866062554274,-2.873866062554274,False,inf,0.5740172111051102,False,0,"[1.6552895384931121, 4.530436598130882, 0.0, 0.0, 1.0, 0.0]",0.5740172111051102,0
width1,1.3,0.8,2,0.31622776601683794,200,0.5147905078083405,False,-2.507187700930953,-2.507187700930953,False,inf,0.5147905078083405,False,0,"[-1.5778792383009148, 1.7797941973595908, 0.0, 0.0, -1.0, 0.0]",0.5147905078083405,0
width1,1.3,0.8,3,0.5623413251903491,200,0.4576600732673569,False,-1.8264955061051702,-1.8264955061051702,False,inf,0.4576600732673569,False,0,"[1.4289062865980082, -1.8813922396696061, 0.0, 0.0, 1.0, 0.0]",0.4576600732673569,0
width1,1.3,0.8,4,1.0,200,0.4156582472256989,False,-0.9871884389141017,-0.9871884389141017,False,inf,0.4156582472256989,False,0,"[-1.2193340051156893, 2.0682600158399906, 0.0, 0.0, -1.0, 0.0]",0.4156582472256989,0
width1,1.3,0.8,5,1.7782794100389228,200,0.37692802861873453,False,-0.42831066911322146,-0.42831066911322146,False,inf,0.37692802861873453,False,0,"[-1.040734616766364, 2.2416065668154506, 0.0, 0.0, -1.0, 0.0]",0.37692802861873453,0
width1,1.3,0.8,6,3.1622776601683795,200,0.32876467617352645,False,-0.12703572259333606,-0.12703572259333606,False,inf,0.32876467617352645,False,0,"[-0.9121654846319135, 2.37135216203768, 0.0, 0.0, -1.0, 0.0]",0.32876467617352645,0
width1,1.3,0.8,7,5.623413251903491,200,0.2634344823283747,False,0.013103215867634077,0.013103215867634077,True,0.2634344823283747,inf,False,2,"[-0.8235003475072421, 8.745399728727655, 0.0, 0.0, -1.0, 0.0]",0.2634344823283747,0
width1,1.3,0.8,8,10.0,200,0.1794192057633668,False,0.07605814156837631,0.07605814156837631,True,0.1794192057633668,inf,False,2,"[-0.7656480492057053, 8.802772647062067, 0.0, 0.0, -1.0, 0.0]",0.1794192057633668,0
width1,1.3,0.8,9,17.78279410038923,200,0.09146726104883986,False,0.08281337117866983,0.08281337117866983,True,0.09146726104883986,inf,False,2,"[-0.7314790780846508, 15.114589983047344, 0.0, 0.0, -1.0, 0.0]",0.09146726104883986,0
width1,1.3,0.8,10,31.622776601683793,200,0.030063081033811567,False,0.08156044432909937,0.08156044432909937,True,0.030063081033811567,33.367093973819344,False,2,"[0.7165404871183223, -65.38725920905114, 0.0, 0.0, 1.0, 0.0]",0.030063081033811567,0
width1,1.3,0.8,11,56.23413251903491,200,0.005623581753326401,False,0.08229251203941601,0.08229251203941601,True,0.005623581753326401,inf,False,2,"[-0.7248357145291157, 8.833980723695046, 0.0, 0.0, -1.0, 0.0]",0.005623581753326401,0
width1,1.3,0.8,12,100.0,200,0.0004575298338960162,False,0.08393082848582445,0.08393082848582445,True,0.0004575298338960162,105.40240955858111,False,2,"[-0.7493578249689121, 8.828421260467803, 0.0, 0.0, -1.0, 0.0]",0.0004575298338960162,0
width2,1.3,0.8,11,56.23413251903491,400,7.2128110117423304e-12,False,0.7378685130748983,0.7378685130748983,True,7.2128110117423304e-12,0.5046454971738674,False,3,"[6.939189187705863, 1.0850255125881776, 1.6815510393833524, 4.43426646272206, -0.172020829397884, 0.828767895817897]",6.746290389563624e-12,4
width2,1.3,0.8,12,100.0,400,1.0122968453182774e-15,False,0.6528312908334422,0.6528312908334861,True,1.0122968453182774e-15,0.5045924908379517,False,3,"[1.1128999893442855, 4.57050977341118, 7.744579713513997, 1.8953527758679747, 0.899958961019514, -0.10677903492649579]",3.149909804304038e-14,6
