act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
gelu,,5,2,1000,2083,0.89585,0.8977000117301941,False,1.2965434789657593,0.21863208711147308
gelu,,5,2,4000,106,0.9947,0.9968000054359436,False,2.5783531665802,0.014370176941156387
gelu,,5,2,16000,42,0.9979,1.0,False,5.250057220458984,4.838336099055596e-05
gelu,,5,2,64000,36,0.9982,1.0,False,6.575368404388428,7.558177000932531e-11
gelu,,5,7,1000,2113,0.89435,0.8981999754905701,False,1.8682841062545776,0.2210918515920639
gelu,,5,7,4000,94,0.9953,0.9965999722480774,False,3.405522584915161,0.01239712256938219
gelu,,5,7,16000,45,0.99775,0.9997000098228455,False,8.773871421813965,0.002072138711810112
gelu,,5,7,64000,33,0.99835,1.0,False,13.609314918518066,4.661096397740039e-08
gelu,,5,3,1000,2110,0.8945,0.8946999907493591,False,2.023336410522461,0.21393518149852753
gelu,,5,3,4000,127,0.99365,0.994700014591217,False,4.394703388214111,0.018934398889541626
gelu,,5,3,16000,77,0.99615,0.9973000288009644,False,7.700878143310547,0.011691007763147354
gelu,,5,3,64000,65,0.99675,0.9972000122070312,False,9.700142860412598,0.010531097650527954
3.0,3.0,5,1,1000,152,0.9924,0.9944000244140625,False,1.2521120309829712,0.023971065878868103
3.0,3.0,5,1,4000,79,0.99605,0.9991000294685364,False,2.185542583465576,0.003676819149404764
3.0,3.0,5,1,16000,67,0.99665,1.0,False,4.700974941253662,0.0001104526745621115
3.0,3.0,5,1,64000,48,0.9976,1.0,False,8.257270812988281,2.827702701324597e-06
3.0,3.0,5,0,1000,158,0.9921,0.9918000102043152,False,0.996160626411438,0.030504442751407623
3.0,3.0,5,0,4000,92,0.9954,0.9976999759674072,False,1.5731780529022217,0.009521830826997757
3.0,3.0,5,0,16000,77,0.99615,0.9986000061035156,False,5.796960830688477,0.005339817609637976
3.0,3.0,5,0,64000,85,0.99575,1.0,False,9.161626815795898,0.00014216278214007616
gelu,,5,9,1000,1769,0.91155,0.9205999970436096,False,2.147629976272583,0.23123003542423248
gelu,,5,9,4000,134,0.9933,0.9958999752998352,False,5.491625785827637,0.019071076065301895
gelu,,5,9,16000,51,0.99745,0.9991999864578247,False,13.040878295898438,0.002411786001175642
gelu,,5,9,64000,31,0.99845,1.0,False,20.918302536010742,2.5329620257252827e-05
3.0,3.0,5,2,1000,2,0.9999,1.0,False,0.8075371980667114,0.003356268396601081
3.0,3.0,5,2,4000,0,1.0,1.0,True,1.0779446363449097,0.00015343772247433662
3.0,3.0,5,2,16000,0,1.0,1.0,True,1.6982887983322144,2.2736973903647595e-07
3.0,3.0,5,2,64000,0,1.0,1.0,True,2.7386109828948975,6.994426149375954e-10
3.0,3.0,5,3,1000,294,0.9853,0.9886999726295471,False,1.1482826471328735,0.0378161184489727
3.0,3.0,5,3,4000,102,0.9949,0.9976999759674072,False,1.746655821800232,0.010813498869538307
3.0,3.0,5,3,16000,74,0.9963,0.9998999834060669,False,4.034433364868164,0.0004229138430673629
3.0,3.0,5,3,64000,105,0.99475,1.0,False,7.928875923156738,1.7167774757353982e-08
3.0,3.0,5,4,1000,0,1.0,1.0,True,1.0229432582855225,0.0019393134862184525
3.0,3.0,5,4,4000,0,1.0,1.0,True,1.3145886659622192,0.00012157766468590125
3.0,3.0,5,4,16000,0,1.0,1.0,True,2.062690019607544,1.644257707766883e-07
3.0,3.0,5,4,64000,0,1.0,1.0,True,2.844893217086792,1.2201181176507703e-09
3.0,3.0,5,5,1000,105,0.99475,0.9976000189781189,False,1.2144476175308228,0.017380492761731148
3.0,3.0,5,5,4000,1,0.99995,1.0,False,1.8675123453140259,0.00036272822762839496
