a,budget,seed,step,before_crossing,rel_dist,gap_run,gap_min
1.4,4000,4,337,True,0.22044031826488553,-0.0083385969624252,-0.008493691204724374
1.4,4000,4,670,True,0.21925894982001265,-0.0083378337275629,-0.008492166363227804
1.4,4000,4,1003,True,0.21913636623190186,-0.0083367285302752,-0.008490911614427166
1.4,4000,4,1336,True,0.21920795140924895,-0.0083352889960189,-0.008489412251325879
1.4,4000,4,1669,True,0.21933270935585203,-0.0083334846027338,-0.008487553233266554
1.4,4000,4,2002,True,0.21930701660404653,-0.0083312705360079,-0.008485168042620062
1.4,4000,4,2335,True,0.2193585653214426,-0.0083285889569157,-0.00848232740613486
1.4,4000,4,2668,True,0.21937494915595168,-0.008325368552062,-0.008478889651019006
1.4,4000,4,3001,True,0.219337676120587,-0.0083215232433073,-0.008474752124709606
1.4,4000,4,3334,True,0.21937919272041662,-0.008316950339583,-0.008469881780705402
1.4,4000,4,3667,True,0.2194663626885665,-0.0083115282305188,-0.008464129243588081
1.4,4000,4,4000,True,0.21944908367858723,-0.0083051136557024,-0.008457254954461702
1.4,2000,20,1,True,0.904146192704745,-0.7636211074358592,-1.431931382015569
1.4,2000,20,3,True,0.8947456955561149,-0.8804004684325093,-1.4805661267940118
1.4,2000,20,5,True,0.885451825307132,-0.9965156870521548,-1.5310823693725126
1.4,2000,20,8,True,0.8718888985559404,-1.1670954612953972,-1.6100767066817956
1.4,2000,20,12,True,0.8550069575984479,-1.3805104639025003,-1.7204166691631837
1.4,2000,20,18,True,0.8338867453427694,-1.6450856915984855,-1.8927231889646081
1.4,2000,20,27,True,0.8152425577126694,-1.863146424695933,-2.1512071717208214
1.4,2000,20,40,True,0.8122400041231892,-1.868889315019807,-2.478458426816308
1.4,2000,20,59,True,0.8208165876670948,-1.7585206018809794,-2.78803145891241
1.4,2000,20,88,True,0.8102229863740629,-1.9593954954360504,-2.9776655530315344
1.4,2000,20,130,True,0.7508956593873382,-2.7655004112571735,-3.0971016277068895
1.4,2000,20,192,True,0.5098178284777211,-4.37450910635223,-3.082184331806542
1.4,2000,20,284,True,0.2243676605685164,-2.9751006271062765,-2.058218835904478
1.4,2000,20,420,True,0.0884463664943712,-1.5282011080736682,-1.2954329110488383
1.4,2000,20,621,True,0.04819142889644232,-0.880594782333521,-0.7808238661287961
1.4,2000,20,917,True,0.027885398810871122,-0.4792908179435966,-0.4284336496564136
1.4,2000,20,1354,True,0.01597897686105766,-0.2071023649595482,-0.17952540418644647
1.4,2000,20,2000,True,0.008929206580407849,-0.0400228828040454,-0.0282776876844566
1.4,8000,25,1,True,1.1221982400799186,-3.082353415360421,-0.4330486621163283
1.4,8000,25,719,True,0.9223707243012856,-0.7924301420604464,-2.080142397120892
1.4,8000,25,1380,True,0.1396888977948207,-1.9993257041870336,-1.563047848548329
1.4,8000,25,2041,True,0.020028954891529612,-0.2786829295412905,-0.2452930407185221
1.4,8000,25,2702,True,0.009978614375388498,-0.0706117605556015,-0.056406205749441884
1.4,8000,25,3363,False,0.006228843507860487,0.0186628086318885,0.026324215589654365
1.4,8000,25,4024,False,0.004358884086877167,0.0667913452795252,0.07129211410500336
1.4,8000,25,4685,False,0.003286204311156809,0.0956651741749703,0.09837628716924574
1.4,8000,25,5346,False,0.002615746693512235,0.1141221979107727,0.11571905140500194
1.4,8000,25,6007,False,0.0021708136990415757,0.1260658682912843,0.12567024570080187
1.4,8000,25,6668,False,0.0018619221573634797,0.1250008587007007,0.12463346134411024
1.4,8000,25,7329,False,0.0016397547431522917,0.124216812454029,0.12386722118408588
1.4,8000,25,7990,False,0.00147536312294836,0.1236341739930093,0.12329534888120586
1.3,8000,35,1,True,2.5733072828305232,-2.2625533734009604,-0.19444559208186468
1.3,8000,35,3924,False,0.003173105299166324,0.0150536512614318,0.019146133714581293
1.3,8000,35,4294,False,0.002688148890832762,0.031928382128358,0.03521804191669631
1.3,8000,35,4664,False,0.0023096651137167567,0.0454095482535517,0.048073100821222514
1.3,8000,35,5034,False,0.002009971393651663,0.0562737603549718,0.05844096138196608
1.3,8000,35,5404,False,0.0017695793540909999,0.0650980837745276,0.06686605570097637
