a,seed,factor,cross_step,reproduced,residual,growth,relax,ratio,branch_converged,branch_grad,branch_dist,hess_min_eig
1.5,300038,0.5,944,True,0.05352947890787574,0.0008959753119228331,0.07188127014014452,0.012464656094361993,True,1.558142215512398e-10,0.1006444204845307,0.14680188108389378
1.5,300026,0.25,946,True,0.06166709812826254,0.0008866805688277807,0.0605935823266033,0.014633242247479535,True,1.9718530194084982e-12,0.1218081848561674,0.14629450961267346
1.5,300032,2.0,968,True,0.048692888185822625,0.0011500244820198233,0.07898463505950504,0.014560103761363508,True,1.2295004424289768e-13,0.11237186821515088,0.14855256201014952
1.5,300033,0.25,973,True,-0.004034989405831468,0.0007435635192581465,0.08191107810660433,0.009077691765824706,True,9.736017894668159e-11,0.07085812202932118,0.1505182975624916
1.5,300032,1.0,1003,True,0.039847402547614985,0.0010348473845054568,0.08449387597183096,0.012247602238657626,True,6.269589600087222e-11,0.0948911612497545,0.14872373228569516
1.5,300038,0.25,1021,True,0.03833432734177222,0.0007362783833999427,0.08038885600461552,0.009158960831059337,True,4.214510684885653e-14,0.07335445457409584,0.14708887207313057
1.5,300027,2.0,1046,True,0.07368617340116002,0.0008847435708972618,0.05314258496143996,0.01664848579607537,True,8.273366538299326e-10,0.13498138040751861,0.1455827998200873
1.5,300027,1.0,1050,True,0.07291663371844614,0.0008777139179660591,0.05346265888963582,0.016417326339453933,True,7.810631223823666e-10,0.1330898891892165,0.14559693282699016
1.5,300043,2.0,1052,True,0.054485234662973614,0.0008671689188957512,0.055203922933718036,0.015708465500485158,True,5.489206719375139e-10,0.1288786817146974,0.14975013356580538
1.5,300027,0.5,1058,True,0.07086712774164661,0.000862503191866557,0.054121654958416344,0.015936378747642692,True,6.8791273762428e-10,0.12908103786226643,0.1456344800929734
1.5,300043,1.0,1062,True,0.052472049212029415,0.0008493046162699421,0.05602766838290063,0.015158664295392055,True,4.653832698982979e-10,0.12433243189726628,0.1497920922153185
1.5,300039,2.0,1072,True,0.0651799849133452,0.0008547229670937495,0.056161390423336933,0.015219049255208318,True,2.617994796644263e-13,0.1276379148782496,0.1461268612998415
1.5,300032,0.5,1075,True,0.026908964118454337,0.0008499445327689056,0.09404717501736815,0.009037427574107805,True,1.225847255734852e-10,0.0701392492451216,0.14896925791922971
1.5,300027,0.25,1076,True,0.06481209780244135,0.0008212413477056819,0.05564509136935671,0.014758558706544467,True,2.0534986037989977e-11,0.11900270486207631,0.14574461581566558
1.5,300043,0.5,1082,True,0.04777506511042584,0.0008125014786391911,0.057673283807818124,0.014088004444946298,True,3.188821682837545e-10,0.11535415973059315,0.14988944112495478
1.5,300039,1.0,1084,True,0.06209835922559126,0.000833923783361969,0.05721098183606293,0.014576288618006297,True,4.791247819498079e-10,0.12212735255177254,0.14619089469695049
1.5,300022,2.0,1106,True,0.03293677923530636,0.0008531219560863505,0.05294175941989591,0.016114348397830935,True,2.444827326697485e-12,0.130495671047961,0.15069776767895762
1.5,300039,0.5,1110,True,0.05691508311372728,0.0007900998352177193,0.059323789765148335,0.013318431582769326,True,2.948276787637094e-10,0.11140093062699385,0.14629787563406896
1.5,300022,1.0,1113,True,0.03159354573551654,0.0008401133509183371,0.0534540578382575,0.015716549592181966,True,2.186123244235505e-12,0.12725229986998166,0.15072539962747927
1.5,300043,0.25,1127,True,0.037976600152416884,0.0007282163638267771,0.06118264833463528,0.011902334790148933,True,8.420476555609513e-11,0.09683914576062946,0.15009004518555144
1.5,300022,0.5,1127,True,0.028441434138875454,0.0008131967733169807,0.05448451591962908,0.014925282157531498,True,1.5941382328771292e-12,0.12071441190517973,0.15078999022928077
