activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,1.3,197,112,False,1.6580350399017334,1.0451058149337769
sin_family,1.3,198,92,False,4.124321460723877,0.8646462559700012
sin_family,1.3,199,105,False,3.630420684814453,0.883510410785675
sin_family,1.35,0,171,False,0.21763862669467926,0.18681924045085907
sin_family,1.35,1,89,False,4.108510971069336,0.910042941570282
sin_family,1.35,2,10,False,5.447360038757324,0.8595428466796875
sin_family,1.35,3,93,False,3.648409128189087,0.9218989014625549
sin_family,1.35,4,192,False,0.673122227191925,0.0012711700983345509
sin_family,1.35,5,31,False,4.531936168670654,0.8814139366149902
sin_family,1.35,6,188,False,0.7401086688041687,0.013536307029426098
sin_family,1.35,7,12,False,5.490110397338867,0.8543092608451843
sin_family,1.35,8,198,False,0.6476973295211792,0.0017886472633108497
sin_family,1.35,9,62,False,4.285727500915527,0.8881855607032776
sin_family,1.35,10,33,False,5.222546100616455,0.8668996095657349
sin_family,1.35,11,211,False,0.49608755111694336,0.03433701768517494
sin_family,1.35,12,29,False,5.117188930511475,0.85611891746521
sin_family,1.35,13,196,False,0.5717988610267639,0.0614592470228672
sin_family,1.35,14,188,False,0.48736873269081116,0.009774512611329556
sin_family,1.35,15,99,False,3.2707812786102295,0.9305860996246338
sin_family,1.35,16,201,False,0.3298337757587433,0.017391793429851532
sin_family,1.35,17,211,False,0.8492892980575562,0.0019049777183681726
sin_family,1.35,18,105,False,4.288245677947998,0.8846259117126465
sin_family,1.35,19,41,False,4.8004302978515625,0.8821501731872559
sin_family,1.35,20,108,False,3.2727394104003906,0.9380272626876831
sin_family,1.35,21,197,False,0.9705258011817932,0.023817166686058044
sin_family,1.35,22,101,False,2.6408193111419678,0.9791958332061768
sin_family,1.35,23,96,False,3.3725478649139404,0.9066178202629089
sin_family,1.35,24,102,False,3.6581056118011475,0.9252870678901672
sin_family,1.35,25,109,False,1.8196476697921753,1.040661334991455
sin_family,1.35,26,214,False,0.3665977120399475,0.04943385720252991
sin_family,1.35,27,96,False,3.3140456676483154,0.929103434085846
sin_family,1.35,28,102,False,3.6413800716400146,0.8962588310241699
sin_family,1.35,29,197,False,0.34970879554748535,0.03005358763039112
sin_family,1.35,30,75,False,4.177409648895264,0.8827221393585205
sin_family,1.35,31,29,False,5.405726432800293,0.8719581961631775
sin_family,1.35,32,91,False,3.8638248443603516,0.8978947401046753
sin_family,1.35,33,123,False,4.369881629943848,0.9003760814666748
sin_family,1.35,34,96,False,3.913496732711792,0.899736225605011
sin_family,1.35,35,90,False,2.7205846309661865,0.9642512798309326
sin_family,1.35,36,38,False,5.200570106506348,0.8785581588745117
sin_family,1.35,37,170,False,0.3108535706996918,0.034372907131910324
sin_family,1.35,38,31,False,6.01972770690918,0.8578630089759827
sin_family,1.35,39,22,False,5.227192401885986,0.8525445461273193
sin_family,1.35,40,32,False,4.710793495178223,0.8932363986968994
sin_family,1.35,41,102,False,3.0499579906463623,0.9429763555526733
sin_family,1.35,42,20,False,4.875241279602051,0.8687739968299866
sin_family,1.35,43,103,False,2.9159891605377197,0.9649842381477356
sin_family,1.35,44,7,False,6.001514911651611,0.8636910319328308
sin_family,1.35,45,107,False,2.841357707977295,0.9864668250083923
sin_family,1.35,46,186,False,0.5573496222496033,0.04005705192685127
sin_family,1.35,47,92,False,3.6776413917541504,0.923561692237854
sin_family,1.35,48,190,False,0.6766067147254944,0.010532500222325325
sin_family,1.35,49,115,False,2.8383917808532715,0.9627629518508911
sin_family,1.35,50,198,False,1.0117226839065552,0.04909912496805191
sin_family,1.35,51,10,False,4.63844633102417,0.8640119433403015
sin_family,1.35,52,60,False,4.156631946563721,0.8928983211517334
sin_family,1.35,53,96,False,4.174362659454346,0.8950172066688538
sin_family,1.35,54,101,False,1.3398876190185547,1.1203322410583496
sin_family,1.35,55,187,False,0.10573333501815796,0.025856969878077507
sin_family,1.35,56,93,False,3.622074604034424,0.9234521985054016
sin_family,1.35,57,186,False,0.7287788391113281,0.015660667791962624
sin_family,1.35,58,103,False,1.6331392526626587,1.0817068815231323
sin_family,1.35,59,189,False,0.1628875583410263,0.010389545932412148
sin_family,1.35,60,39,False,4.288671493530273,0.8768810033798218
sin_family,1.35,61,29,False,5.255675792694092,0.8575677275657654
sin_family,1.35,62,99,False,4.243100166320801,0.905284583568573
sin_family,1.35,63,18,False,5.326000690460205,0.8573636412620544
sin_family,1.35,64,112,False,3.130072832107544,0.9721246957778931
sin_family,1.35,65,188,False,0.23042471706867218,0.016438109800219536
sin_family,1.35,66,195,False,0.19032952189445496,0.01271918322890997
sin_family,1.35,67,13,False,5.393600940704346,0.8529707193374634
