optimizer,budget,seed,w2,R,solved
sgd,40000,902,1.4533756971359253,0.04832882752222716,False
sgd,40000,903,19.63051414489746,0.6527697787646866,True
sgd,40000,904,19.39381217956543,0.6448987730231931,True
sgd,40000,905,19.891019821166992,0.6614323248095952,True
sgd,40000,906,0.441020131111145,0.01466515911357445,False
sgd,40000,907,19.967227935791016,0.6639664588498964,True
sgd,44000,900,20.563631057739258,0.683798539206789,True
sgd,44000,901,20.75798797607422,0.6902614530992341,True
sgd,44000,902,5.054265975952148,0.16806855177543797,False
sgd,44000,903,20.636014938354492,0.6862055067159725,True
sgd,44000,904,20.392704010009766,0.6781147343758145,True
sgd,44000,905,20.88603973388672,0.6945195340135041,True
sgd,44000,906,0.441020131111145,0.01466515911357445,False
sgd,44000,907,20.95477867126465,0.6968052969137272,True
sgd,48000,900,21.498947143554688,0.714900428332372,True
sgd,48000,901,21.69411849975586,0.7213904245733395,True
sgd,48000,902,7.701517581939697,0.25609710937814967,False
sgd,48000,903,21.575414657592773,0.7174431881323898,True
sgd,48000,904,21.325172424316406,0.7091219304186251,True
sgd,48000,905,21.813739776611328,0.7253681682968165,True
sgd,48000,906,0.441020131111145,0.01466515911357445,False
sgd,48000,907,21.874656677246094,0.7273938264867587,True
