optimizer,budget,seed,w2,solved,loss,stalled
sgd,2000,5,2.9478378295898438,False,0.4538092017173767,False
sgd,2000,6,0.9488404989242554,False,0.6930543780326843,True
sgd,2000,7,2.5757832527160645,False,0.45861881971359253,False
sgd,2000,8,0.6461393237113953,False,0.6931455731391907,True
sgd,2000,9,2.8113183975219727,False,0.4512152075767517,False
sgd,2000,10,2.443695545196533,False,0.4486921727657318,False
sgd,2000,11,0.6803178787231445,False,0.6929173469543457,False
sgd,2000,12,2.7264208793640137,False,0.44827401638031006,False
sgd,2000,13,2.6281774044036865,False,0.4464954435825348,False
sgd,2000,14,2.8413827419281006,False,0.45041197538375854,False
sgd,2000,15,2.526869058609009,False,0.4622914791107178,False
sgd,2000,16,0.5474863052368164,False,0.6931362152099609,True
sgd,2000,17,0.726085364818573,False,0.693144679069519,True
sgd,2000,18,2.1202995777130127,False,0.47089263796806335,False
sgd,2000,19,2.9159646034240723,False,0.4340449571609497,False
sgd,2000,20,2.72324538230896,False,0.4447963833808899,False
sgd,2000,21,1.026017665863037,False,0.6926169395446777,False
sgd,2000,22,0.1330902874469757,False,0.6930612325668335,True
sgd,2000,23,0.23802806437015533,False,0.6930959820747375,True
sgd,2000,24,0.41060730814933777,False,0.6913771033287048,False
sgd,2000,25,2.644526958465576,False,0.4357394278049469,False
sgd,2000,26,0.5725662112236023,False,0.6930885314941406,True
sgd,2000,27,2.882878303527832,False,0.4066081941127777,False
sgd,2000,28,2.746802806854248,False,0.43985581398010254,False
sgd,2000,29,2.851288318634033,False,0.452933669090271,False
sgd,4000,0,0.7040771842002869,False,0.6925424933433533,False
sgd,4000,1,4.554928302764893,False,0.3916890621185303,False
sgd,4000,2,0.11800283193588257,False,0.6931113600730896,True
sgd,4000,3,4.544001579284668,False,0.3746594488620758,False
sgd,4000,4,0.8136522173881531,False,0.6931463479995728,True
sgd,4000,5,4.662292957305908,False,0.40013736486434937,False
sgd,4000,6,0.9453701972961426,False,0.6930541396141052,True
sgd,4000,7,4.321467399597168,False,0.402863472700119,False
sgd,4000,8,0.6466161608695984,False,0.6931455731391907,True
sgd,4000,9,4.545162677764893,False,0.3962353467941284,False
sgd,4000,10,4.175869941711426,False,0.39362621307373047,False
sgd,4000,11,0.7189603447914124,False,0.6929116249084473,False
sgd,4000,12,4.419836044311523,False,0.3958168029785156,False
sgd,4000,13,4.31438684463501,False,0.39443033933639526,False
sgd,4000,14,4.547461032867432,False,0.39725279808044434,False
sgd,4000,15,4.306560039520264,False,0.4042997658252716,False
sgd,4000,16,0.5507840514183044,False,0.6931362152099609,True
sgd,4000,17,0.7266814112663269,False,0.6931446194648743,True
sgd,4000,18,3.961003541946411,False,0.4086843430995941,False
sgd,4000,19,4.564190864562988,False,0.3843434154987335,False
sgd,4000,20,4.412445545196533,False,0.392566978931427,False
sgd,4000,21,1.0778552293777466,False,0.6926082372665405,False
sgd,4000,22,0.1599666327238083,False,0.6930201649665833,False
sgd,4000,23,0.2792576849460602,False,0.6930897235870361,True
sgd,4000,24,2.7508862018585205,False,0.43180739879608154,False
sgd,4000,25,4.338260650634766,False,0.38307899236679077,False
sgd,4000,26,0.5723744034767151,False,0.6930882334709167,True
sgd,4000,27,4.449129104614258,False,0.36149460077285767,False
sgd,4000,28,4.387417316436768,False,0.3906140923500061,False
sgd,4000,29,4.579017162322998,False,0.3983859121799469,False
sgd,8000,0,0.6664309501647949,False,0.6924875378608704,False
sgd,8000,1,7.318875789642334,False,0.32193344831466675,False
sgd,8000,2,0.19104985892772675,False,0.6930973529815674,True
sgd,8000,3,7.235718250274658,False,0.30836567282676697,False
sgd,8000,4,0.8138906359672546,False,0.6931463479995728,True
sgd,8000,5,7.466421127319336,False,0.3284449875354767,False
sgd,8000,6,0.9375720024108887,False,0.693053662776947,True
sgd,8000,7,7.134217262268066,False,0.33067452907562256,False
sgd,8000,8,0.6475698351860046,False,0.6931455731391907,True
sgd,8000,9,7.357630252838135,False,0.3240429162979126,False
sgd,8000,10,6.948302745819092,False,0.3233526647090912,False
sgd,8000,11,0.7790377736091614,False,0.6929035186767578,False
sgd,8000,12,7.170064449310303,False,0.3268072009086609,False
sgd,8000,13,7.041812896728516,False,0.32651183009147644,False
sgd,8000,14,7.321333408355713,False,0.3271161615848541,False
sgd,8000,15,7.157261848449707,False,0.33009597659111023,False
sgd,8000,16,0.5572213530540466,False,0.6931361556053162,True
sgd,8000,17,0.7278735041618347,False,0.6931446194648743,True
