A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,single_unit,0.9677930348298257,0.7197872029944599,1.0,1.0,-0.2380676479811591,-0.2380676479811591,-0.2380676479811591
5.0,search,single_unit,0.9677930348298257,0.719787202994461,1.0,-1.0,-0.23806764798117697,-0.23806764798117697,-0.23806764798117697
5.0,search,single_unit,0.9677930348298257,0.7197872029944586,1.0,1.0,-0.23806764798114566,-0.23806764798114566,-0.23806764798114566
5.0,search,single_unit,0.9677930348298257,0.7197872029943998,1.0,1.0,-0.2380676479803272,-0.2380676479803272,-0.2380676479803272
5.0,search,single_unit,0.9677930348298257,0.7197872029944612,1.0,1.0,-0.23806764798118063,-0.23806764798118063,-0.23806764798118063
5.0,search,single_unit,0.9677930348298257,0.7197872029944677,1.0,-1.0,-0.23806764798126967,-0.23806764798126967,-0.23806764798126967
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,-1.0,-0.23806764798117253,-0.23806764798117253,-0.23806764798117253
5.0,search,single_unit,0.9677930348298257,0.7197872029944563,1.0,-1.0,-0.23806764798111069,-0.23806764798111069,-0.23806764798111069
5.0,search,single_unit,0.9677930348298256,0.7197872029944606,1.0,-1.0,-0.2380676479811732,-0.2380676479811732,-0.2380676479811732
5.0,search,single_unit,0.9677930348298258,0.7197872029944634,1.0,1.0,-0.23806764798120905,-0.23806764798120905,-0.23806764798120905
5.0,search,pair,0.9677930348298259,0.7197872029947725,1.0,-5.762995234574289e-18,-0.23806764798550273,-0.23806764798550273,-0.23806764798550273
5.0,search,single_unit,0.9677930348298257,0.7197872029942842,1.0,1.0,-0.23806764797872149,-0.23806764797872149,-0.23806764797872149
5.0,search,pair,0.9677930348298259,0.719787202996711,1.0,-3.738596464968319e-18,-0.23806764801242752,-0.23806764801242752,-0.23806764801242752
5.0,search,single_unit,0.9677930348298257,0.7197872029945729,1.0,-1.0,-0.23806764798273128,-0.23806764798273128,-0.23806764798273128
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,1.0,-0.2380676479811732,-0.2380676479811732,-0.2380676479811732
5.0,search,pair,0.9677930348298259,0.7197872029946686,1.0,-4.7736805197365e-18,-0.238067647984059,-0.238067647984059,-0.238067647984059
5.0,search,pair,0.9677930348298258,0.7197872030763471,1.0,-5.179564345934163e-17,-0.2380676491185535,-0.2380676491185535,-0.2380676491185535
5.0,search,single_unit,0.9677930348298256,0.7197872029946724,1.0,-1.0,-0.23806764798411384,-0.23806764798411384,-0.23806764798411384
5.0,search,single_unit,0.9677930348298258,0.7197872029952892,1.0,-1.0,-0.23806764799268032,-0.23806764799268032,-0.23806764799268032
5.0,search,single_unit,0.9677930348298256,0.7197872029944539,1.0,1.0,-0.23806764798107893,-0.23806764798107893,-0.23806764798107893
5.0,search,pair,0.9677930348298259,0.7197872029845156,1.0,3.519840755841234e-18,-0.2380676478430389,-0.2380676478430389,-0.2380676478430389
5.0,search,single_unit,0.9677930348298257,0.7197872029944999,1.0,-1.0,-0.2380676479817172,-0.2380676479817172,-0.2380676479817172
5.0,search,pair,0.9677930348298258,0.7197872030118262,1.0,-1.339192226736571e-17,-0.23806764822237392,-0.23806764822237392,-0.23806764822237392
5.0,search,single_unit,0.9677930348298258,0.719787202994719,1.0,-1.0,-0.23806764798476088,-0.23806764798476088,-0.23806764798476088
5.0,search,single_unit,0.9677930348298257,0.7197872029944615,1.0,-1.0,-0.23806764798118474,-0.23806764798118474,-0.23806764798118474
5.0,search,single_unit,0.9677930348298256,0.7197872029944604,1.0,1.0,-0.23806764798116764,-0.23806764798116764,-0.23806764798116764
5.0,search,single_unit,0.9677930348298258,0.7197872029944224,1.0,-1.0,-0.23806764798064117,-0.23806764798064117,-0.23806764798064117
5.0,search,pair,0.9677930348298259,0.7197872029966953,1.0,5.088538938735916e-17,-0.23806764801221114,-0.23806764801221114,-0.23806764801221114
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,-1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298256,0.7197872029945159,1.0,-1.0,-0.23806764798193958,-0.23806764798193958,-0.23806764798193958
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298256,0.7197872029944139,1.0,1.0,-0.23806764798052238,-0.23806764798052238,-0.23806764798052238
5.0,search,pair,0.9677930348298258,0.7197872029762568,1.0,5.631414459626662e-18,-0.23806764772832312,-0.23806764772832312,-0.23806764772832312
5.0,search,single_unit,0.9677930348298257,0.7197872029944548,1.0,1.0,-0.23806764798108937,-0.23806764798108937,-0.23806764798108937
5.0,search,single_unit,0.9677930348298257,0.719787202994405,1.0,1.0,-0.2380676479803987,-0.2380676479803987,-0.2380676479803987
5.0,search,single_unit,0.9677930348298256,0.7197872029944605,1.0,-1.0,-0.23806764798117142,-0.23806764798117142,-0.23806764798117142
5.0,search,single_unit,0.9677930348298257,0.7197872029943048,1.0,-1.0,-0.2380676479790076,-0.2380676479790076,-0.2380676479790076
5.0,search,single_unit,0.9677930348298257,0.7197872029945374,1.0,1.0,-0.238067647982238,-0.238067647982238,-0.238067647982238
5.0,search,single_unit,0.9677930348298257,0.7197872029944611,1.0,1.0,-0.23806764798117996,-0.23806764798117996,-0.23806764798117996
5.0,search,single_unit,0.9677930348298257,0.7197872029944548,1.0,-1.0,-0.23806764798108904,-0.23806764798108904,-0.23806764798108904
5.0,search,single_unit,0.9677930348298257,0.7197872029944528,1.0,1.0,-0.2380676479810615,-0.2380676479810615,-0.2380676479810615
5.0,search,pair,0.9677930348298258,0.7197872029943528,1.0,4.658752074612332e-19,-0.23806764797967406,-0.23806764797967406,-0.23806764797967406
