configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
A_a0.05,0.05,100.0,gelu,3,5,3,68,,False,0.99189183418639
A_a0.05,0.05,100.0,gelu,3,5,4,68,,False,0.9839220410212874
A_a0.05,0.05,100.0,gelu,3,5,5,56,,False,0.9965262918267399
A_a0.05,0.05,100.0,gelu,3,5,6,68,,False,1.0027382909320295
A_a0.05,0.05,100.0,gelu,3,5,7,33,,False,0.9799342919141054
A_a0.05,0.05,100.0,gelu,3,5,8,0,26.0,False,0.9967893750872463
A_a0.05,0.05,100.0,gelu,3,5,9,72,,False,0.9919384168460965
A_a0.05,0.05,100.0,gelu,3,5,10,43,,False,0.9794097091071308
A_a0.05,0.05,100.0,gelu,3,5,11,57,,False,0.9903104170225561
A_a0.05,0.05,100.0,gelu,3,5,12,72,,False,0.9793330829124898
A_a0.05,0.05,100.0,gelu,3,5,13,43,,False,0.9903736670967191
A_a0.05,0.05,100.0,gelu,3,5,14,74,,False,0.9900612500496209
A_a0.05,0.05,100.0,gelu,3,5,15,56,,False,0.9815497500821948
A_a0.05,0.05,100.0,gelu,3,5,16,56,,False,0.9782157079316676
A_a0.05,0.05,100.0,gelu,3,5,17,60,,False,0.9796242909505963
A_a0.05,0.05,100.0,gelu,3,5,18,61,,False,0.9761238750070333
A_a0.05,0.05,100.0,gelu,3,5,19,60,,False,0.9779880829155445
A_a0.05,0.05,100.0,gelu,3,5,20,61,,False,1.0723298750817776
A_a0.05,0.05,100.0,gelu,3,5,21,65,,False,1.0326873331796378
A_a0.05,0.05,100.0,gelu,3,5,22,74,,False,1.1934951657894999
A_a0.05,0.05,100.0,gelu,3,5,23,64,,False,1.0417834171094
A_a0.05,0.05,100.0,gelu,3,5,24,1,,False,1.030203792033717
A_a0.05,0.05,100.0,gelu,3,5,25,91,,False,1.002753083128482
A_a0.05,0.05,100.0,gelu,3,5,26,27,,False,0.9984562499448657
A_a0.05,0.05,100.0,gelu,3,5,27,70,,False,0.9812341658398509
A_a0.05,0.05,100.0,gelu,3,5,28,54,,False,0.9968983330763876
A_a0.05,0.05,100.0,gelu,3,5,29,62,,False,0.9862214999739081
A_a0.05,0.05,100.0,gelu,4,5,0,52,,False,0.8887139169964939
A_a0.05,0.05,100.0,gelu,4,5,1,75,,False,1.0405447911471128
A_a0.05,0.05,100.0,gelu,4,5,2,0,0.0,True,0.9325385829433799
A_a0.05,0.05,100.0,gelu,4,5,3,0,0.0,True,0.9213181249797344
A_a0.05,0.05,100.0,gelu,4,5,4,72,,False,0.9069237499497831
A_a0.05,0.05,100.0,gelu,4,5,5,0,0.0,True,0.924146416829899
A_a0.05,0.05,100.0,gelu,4,5,6,0,0.0,True,0.925828417064622
