act,a,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
1.5,1.5,9,1000,3095,0.8452500000000001,0.857699990272522,False,1.5297614336013794,0.32869213819503784
1.5,1.5,9,4000,2139,0.89305,0.9039000272750854,False,3.633028984069824,0.2345757782459259
1.5,1.5,9,16000,1811,0.90945,0.920799970626831,False,8.342824935913086,0.19714531302452087
1.5,1.5,9,64000,1698,0.9151,0.9291999936103821,False,14.230301856994629,0.1763845682144165
1.5,1.5,10,1000,2678,0.8661,0.8705000281333923,False,1.4459577798843384,0.2949293851852417
1.5,1.5,10,4000,1928,0.9036,0.9125999808311462,False,3.2626795768737793,0.20434407889842987
1.5,1.5,10,16000,1041,0.94795,0.9538000226020813,False,9.750985145568848,0.12166387587785721
1.5,1.5,10,64000,957,0.95215,0.9616000056266785,False,16.148622512817383,0.10104132443666458
1.5,1.5,11,1000,2306,0.8847,0.8945000171661377,False,1.8800404071807861,0.2649480998516083
1.5,1.5,11,4000,1379,0.93105,0.9376000165939331,False,3.4829208850860596,0.16321861743927002
1.5,1.5,11,16000,1303,0.93485,0.9429000020027161,False,7.241696357727051,0.14230471849441528
1.5,1.5,11,64000,1320,0.9339999999999999,0.9437000155448914,False,9.656968116760254,0.1386754810810089
1.5,1.5,13,1000,2602,0.8699,0.8637999892234802,False,0.9917017221450806,0.3383060693740845
1.5,1.5,13,4000,2012,0.8994,0.9050999879837036,False,2.244307041168213,0.1928292214870453
1.5,1.5,13,16000,1315,0.93425,0.9405999779701233,False,5.860918998718262,0.13092614710330963
1.5,1.5,13,64000,983,0.95085,0.9553999900817871,False,9.825078010559082,0.10055013746023178
1.5,1.5,12,1000,2650,0.8674999999999999,0.8712999820709229,False,1.5687062740325928,0.28573065996170044
1.5,1.5,12,4000,1465,0.92675,0.9261000156402588,False,3.0749850273132324,0.14719031751155853
1.5,1.5,12,16000,955,0.95225,0.9562000036239624,False,7.175478458404541,0.09889918565750122
1.5,1.5,12,64000,830,0.9585,0.9642000198364258,False,14.433685302734375,0.0864296406507492
1.5,1.5,14,1000,5364,0.7318,0.7350000143051147,False,0.9040748476982117,0.45020946860313416
1.5,1.5,14,4000,3287,0.83565,0.8407999873161316,False,1.7319637537002563,0.2970333397388458
1.5,1.5,14,16000,2797,0.86015,0.8666999936103821,False,5.4194560050964355,0.2580402195453644
1.5,1.5,14,64000,2612,0.8694,0.8773999810218811,False,9.066903114318848,0.24214310944080353
1.5,1.5,15,1000,3187,0.84065,0.8453999757766724,False,1.7431129217147827,0.3618070185184479
1.5,1.5,15,4000,1715,0.91425,0.9200999736785889,False,4.008801460266113,0.21000100672245026
1.5,1.5,15,16000,1601,0.91995,0.9296000003814697,False,6.970672607421875,0.1847948431968689
1.5,1.5,15,64000,794,0.9603,0.9632999897003174,False,12.470925331115723,0.10118529945611954
1.5,1.5,16,1000,3848,0.8076,0.8087000250816345,False,1.9240158796310425,0.3471445143222809
1.5,1.5,16,4000,3317,0.83415,0.8389999866485596,False,4.246291637420654,0.30125582218170166
1.5,1.5,16,16000,2996,0.8502000000000001,0.8601999878883362,False,9.324374198913574,0.27662166953086853
1.5,1.5,16,64000,2749,0.86255,0.8770999908447266,False,15.02982234954834,0.2594358026981354
1.5,1.5,17,1000,3135,0.84325,0.8489999771118164,False,1.6363978385925293,0.32388386130332947
1.5,1.5,17,4000,2244,0.8878,0.8962000012397766,False,3.6239986419677734,0.2384578138589859
1.5,1.5,17,16000,1500,0.925,0.9337999820709229,False,7.8628926277160645,0.1683204621076584
1.5,1.5,17,64000,1071,0.94645,0.953000009059906,False,17.32201385498047,0.12113215029239655
1.5,1.5,18,1000,2563,0.87185,0.8766000270843506,False,1.432896614074707,0.3111165165901184
1.5,1.5,18,4000,2130,0.8935,0.8934999704360962,False,2.822328567504883,0.257381796836853
1.5,1.5,18,16000,2100,0.895,0.8992999792098999,False,4.851027488708496,0.23419955372810364
1.5,1.5,18,64000,2097,0.89515,0.9003000259399414,False,7.879354000091553,0.21680796146392822
1.5,1.5,19,1000,3136,0.8432,0.849399983882904,False,1.4442291259765625,0.35958489775657654
1.5,1.5,19,4000,1767,0.91165,0.9204999804496765,False,3.261727809906006,0.2130056619644165
1.5,1.5,19,16000,1518,0.9241,0.9343000054359436,False,7.286804676055908,0.17985820770263672
1.5,1.5,19,64000,1517,0.92415,0.9375,False,11.16550350189209,0.16761931777000427
2.0,2.0,0,1000,3696,0.8152,0.8198000192642212,False,1.5141072273254395,0.38263046741485596
2.0,2.0,0,4000,1989,0.90055,0.9114999771118164,False,3.3358349800109863,0.2347870171070099
2.0,2.0,0,16000,1394,0.9303,0.9368000030517578,False,7.482276439666748,0.16792038083076477
2.0,2.0,0,64000,1154,0.9423,0.9524999856948853,False,12.688072204589844,0.13653339445590973
2.0,2.0,1,1000,2634,0.8683,0.8756999969482422,False,1.4211524724960327,0.2902980148792267
2.0,2.0,1,4000,1512,0.9244,0.9305999875068665,False,3.518892526626587,0.1738441437482834
2.0,2.0,1,16000,1328,0.9336,0.944100022315979,False,6.537609100341797,0.15073372423648834
2.0,2.0,1,64000,1278,0.9361,0.9473000168800354,False,10.021113395690918,0.14299432933330536
2.0,2.0,2,1000,2939,0.85305,0.8532000184059143,False,1.209080457687378,0.3090939223766327
2.0,2.0,2,4000,2111,0.89445,0.8959000110626221,False,2.677973747253418,0.21593178808689117
