i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
0.8,1.1,1.9,0.4555466108625168,0.45558458015018455,1.6830604553222657,1.1813941955566412,False,0.24159007326557622,0.2416102095211662
0.8,1.1,2.3,0.43773962083287776,0.43776288193025215,1.4991298675537106,1.233108139038087,False,0.23214649071371696,0.2321588267734854
0.8,1.2,1.8,0.57953781136061,0.5795709553589221,1.6157638549804687,1.2012710571289078,False,0.3073463372753231,0.3073639145347947
0.8,1.2,2.4,0.5551154321884368,0.5551627826392957,1.4305145263671872,1.2503753662109378,False,0.29439441483130857,0.29441952619997946
0.8,1.3,1.9,0.6911397582505834,0.6911744805834038,1.5516532897949222,1.2191688537597676,False,0.36653220735496395,0.36655062165271085
0.8,1.3,2.1,0.6905230209906354,0.6905634750547854,1.5267189025878907,1.2258659362792987,False,0.3662051330309242,0.36622658703823946
0.8,1.3,2.5,0.6604295672643657,0.6604779623080885,1.3673179626464842,1.2653694152832036,False,0.3502456691315476,0.3502713344792417
0.8,1.4,2.0,0.7914399608146415,0.7915123948367183,1.4906204223632813,1.2353073120117204,False,0.4197244223955363,0.41976283633668565
0.8,1.4,2.2,0.7898668755444336,0.789908366431944,1.4545478820800781,1.2444465637207043,False,0.4188901679490748,0.4189121718150118
0.8,1.4,2.6,0.7549789242436475,0.7550281976588263,1.3090019226074223,1.2784584045410154,False,0.4003880377392059,0.40041416891370973
0.8,1.6,2.2,0.962437132974109,0.9625151251445891,1.3781448364257807,1.2628616333007814,False,0.5104093673937985,0.510450728988268
0.8,1.6,2.4,0.9581841508953166,0.9582708643233163,1.3274810791015625,1.274386596679688,False,0.5081538830426643,0.5081998697823832
0.8,1.6,2.8,0.9164702902878269,0.9165212393568595,1.2051170349121092,1.3000663757324231,False,0.4860317677638945,0.4860587875880506
0.9,1.1,1.7,0.2856992231241988,0.2857138328502848,1.572652816772461,1.1542209625244144,False,0.1515148935381371,0.15152264151542708
0.9,1.1,1.9,0.2856992231241988,0.28571676310646343,1.572652816772461,1.1542209625244144,False,0.1515148935381371,0.151524195518438
0.9,1.1,2.3,0.28181438083816734,0.28183717615780346,1.4748630523681645,1.188566207885743,False,0.14945464479491727,0.14946673383873776
0.9,1.2,1.8,0.41128290621903607,0.4113138192936742,1.516532135009766,1.1743232727050787,False,0.21811569898019345,0.21813209311372142
0.9,1.2,2.0,0.41128290621903607,0.4113197334716352,1.516532135009766,1.1743232727050787,False,0.21811569898019345,0.21813522958022744
0.9,1.2,2.4,0.40426247112613506,0.40428581409995434,1.4094738006591794,1.2097988128662123,False,0.2143925510343907,0.21440493051570123
0.9,1.3,1.9,0.5260233408324445,0.5260558813128217,1.4624305725097657,1.1927070617675786,False,0.278966003523768,0.27898326071952134
0.9,1.3,2.1,0.5260233408324445,0.5260618313313004,1.4624305725097657,1.1927070617675786,False,0.278966003523768,0.2789864161933322
0.9,1.3,2.5,0.5154190215540969,0.5154666802130945,1.3489761352539065,1.2282791137695324,False,0.2733422139700779,0.2733674887907975
0.9,1.4,2.0,0.6306042050449184,0.6306383082578819,1.410503387451172,1.2094749450683606,False,0.3344283822240104,0.3344464681838704
0.9,1.4,2.2,0.6306042050449184,0.6306442791182374,1.410503387451172,1.2094749450683606,False,0.3344283822240104,0.33444963471075556
0.9,1.4,2.6,0.6162123394129848,0.6162610482860899,1.292931365966797,1.2444465637207043,False,0.32679594288731095,0.32682177466816836
0.9,1.5,2.1,0.7257747303520333,0.7258458968075828,1.360791015625,-1.2247558593749999,False,0.3849001750843205,0.38493791679680456
0.9,1.5,2.3,0.7257747303520333,0.7258162971958498,1.360791015625,-1.2247558593749999,False,0.3849001750843205,0.3849222192321719
0.9,1.5,2.7,0.7075884835579969,0.707637751450097,1.2409317016601558,1.2586593627929694,False,0.37525546126002407,0.37528158950547313
0.9,1.7,2.3,0.8909495911802996,0.8910264414720858,1.2680419921875004,1.2513427734375007,False,0.472497373214229,0.47253812923607263
0.9,1.7,2.5,0.8906974415755678,0.8907852860256165,1.256480407714844,1.2544876098632816,False,0.47236365069269454,0.47241023724743375
0.9,1.7,2.9,0.8656917806638939,0.8657432355581397,1.1476203918457029,1.2823417663574221,False,0.45910239639367245,0.4591296844721573
