dataset,depth,width,activation,seed,train_data_seed,eval_data_seed,n_train_per_class,n_eval_per_class,tube_radius,passed,failure_reason,final_train_accuracy,final_eval_accuracy,max_steps,learning_rate,train_accuracy_required,eval_accuracy_required,initialization_scheme,initialization_gain,duration_seconds
linked_tori,6,50,tanh,1,10001,20001,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,3.9927826669299975
linked_tori,6,50,tanh,2,10002,20002,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,4.05493716604542
linked_tori,6,50,tanh,3,10003,20003,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,4.309964083018713
linked_tori,6,50,tanh,4,10004,20004,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,4.1625453339656815
linked_tori,8,5,tanh,0,10000,20000,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.6459223330020905
linked_tori,8,5,tanh,1,10001,20001,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.5876919160364196
linked_tori,8,5,tanh,2,10002,20002,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.959000, eval_accuracy=0.952500",0.959,0.9525,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.5383365830639377
linked_tori,8,5,tanh,3,10003,20003,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.541485125082545
linked_tori,8,5,tanh,4,10004,20004,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.544601499917917
linked_tori,8,15,tanh,0,10000,20000,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,2.259601332945749
linked_tori,8,15,tanh,1,10001,20001,1000,1000,0.2,True,,1.0,1.0,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,2.2599135000491515
