activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,0.9,49,144,False,0.994753360748291,1.0464860200881958
sin_family,0.9,50,198,False,1.075076699256897,0.05617070943117142
sin_family,0.9,51,131,False,0.8699560761451721,0.9906142354011536
sin_family,0.9,52,121,False,1.0222139358520508,1.0055172443389893
sin_family,0.9,53,131,False,1.0854861736297607,1.0050610303878784
sin_family,0.9,54,139,False,0.9699094891548157,1.0347611904144287
sin_family,0.9,55,187,False,0.12562604248523712,0.030026700347661972
sin_family,0.9,56,137,False,0.9057891964912415,1.0341684818267822
sin_family,0.9,57,186,False,0.7232057452201843,0.019802937284111977
sin_family,0.9,58,131,False,0.9207834005355835,1.0708013772964478
sin_family,0.9,59,189,False,0.1859678477048874,0.012199556455016136
sin_family,0.9,60,133,False,0.9402439594268799,0.9944350123405457
sin_family,0.9,61,139,False,1.0541512966156006,0.9909694790840149
sin_family,0.9,62,135,False,1.1668438911437988,1.0145127773284912
sin_family,0.9,63,144,False,1.1127793788909912,0.9965168833732605
sin_family,0.9,64,146,False,1.2072784900665283,1.0512338876724243
sin_family,0.9,65,188,False,0.2687210142612457,0.01197565533220768
sin_family,0.9,66,195,False,0.21238046884536743,0.014774320647120476
sin_family,0.9,67,127,False,1.0902355909347534,0.990538477897644
sin_family,0.9,68,201,False,0.7262892127037048,0.01707480475306511
sin_family,0.9,69,129,False,1.0219589471817017,0.9901512265205383
sin_family,0.9,70,203,False,0.8434020280838013,0.02199985645711422
sin_family,0.9,71,147,False,1.198064923286438,1.0048569440841675
sin_family,0.9,72,153,False,1.0706571340560913,1.004029631614685
sin_family,0.9,73,131,False,1.0742132663726807,1.023147463798523
sin_family,0.9,74,212,False,0.3401746153831482,0.01766332797706127
sin_family,0.9,75,149,False,1.077400803565979,0.9911631941795349
sin_family,0.9,76,159,False,1.0839190483093262,1.0025718212127686
sin_family,0.9,77,128,False,1.1360151767730713,0.9970899820327759
sin_family,0.9,78,131,False,1.0821471214294434,1.016133427619934
sin_family,0.9,79,196,False,0.24874994158744812,0.04075726866722107
sin_family,0.9,80,191,False,0.5141751766204834,0.008747026324272156
sin_family,0.9,81,136,False,0.8522045016288757,1.0130678415298462
sin_family,0.9,82,182,False,1.2014414072036743,0.03230686113238335
sin_family,0.9,83,136,False,1.138807773590088,1.022629976272583
sin_family,0.9,84,147,False,0.9317135214805603,0.9948145151138306
sin_family,0.9,85,132,False,1.0683739185333252,1.0000132322311401
sin_family,0.9,86,178,False,0.3698131740093231,0.38167592883110046
sin_family,0.9,87,135,False,1.0070760250091553,1.014419674873352
sin_family,0.9,88,136,False,1.186158537864685,0.9951848387718201
sin_family,0.9,89,134,False,0.9748128056526184,0.9967148900032043
sin_family,0.9,90,146,False,0.9248313903808594,0.9895459413528442
sin_family,0.9,91,140,False,1.1059585809707642,1.0189270973205566
sin_family,0.9,92,200,False,0.7459337711334229,0.053095582872629166
sin_family,0.9,93,132,False,1.1169310808181763,0.9938654899597168
sin_family,0.9,94,123,False,1.0761642456054688,1.0100409984588623
sin_family,0.9,95,140,False,1.0408140420913696,1.0013269186019897
sin_family,0.9,96,126,False,1.0608417987823486,1.0095244646072388
sin_family,0.9,97,131,False,0.9790493845939636,1.0199567079544067
sin_family,0.9,98,150,False,1.1039507389068604,0.9938758015632629
sin_family,0.9,99,203,False,0.20330175757408142,0.00934017263352871
sin_family,0.9,100,124,False,0.9331266283988953,0.9893442988395691
sin_family,0.9,101,129,False,0.8400816321372986,1.0900061130523682
sin_family,0.9,102,123,False,0.9925907254219055,1.0129730701446533
sin_family,0.9,103,190,False,0.239549458026886,0.0213109590113163
sin_family,0.9,104,125,False,1.0638972520828247,0.9981537461280823
sin_family,0.9,105,139,False,1.0976746082305908,1.0162606239318848
sin_family,0.9,106,130,False,1.0605682134628296,0.9957962036132812
sin_family,0.9,107,145,False,1.014430046081543,1.0151890516281128
sin_family,0.9,108,135,False,1.027335524559021,1.0000059604644775
sin_family,0.9,109,133,False,1.1767237186431885,1.0016099214553833
sin_family,0.9,110,128,False,1.1124640703201294,1.0147197246551514
sin_family,0.9,111,130,False,0.9876400828361511,1.0183870792388916
sin_family,0.9,112,157,False,0.9884592294692993,1.023578405380249
sin_family,0.9,113,130,False,1.210671305656433,0.9999244213104248
sin_family,0.9,114,137,False,0.9765377640724182,0.987759530544281
sin_family,0.9,115,137,False,1.0282485485076904,1.0232701301574707
sin_family,0.9,116,143,False,0.931769847869873,1.0128816366195679
sin_family,0.9,117,204,False,0.3081951141357422,0.010647483170032501
sin_family,0.9,118,134,False,1.3202918767929077,0.9983088374137878
