a,seed,budget,w2_final,solved,dL_dw2_final,loss_final
1.5,11,2000,0.48687943816185,False,6.10217684879899e-05,0.6928666830062866
1.5,12,2000,5.196073532104492,True,-0.0008385828696191311,0.21404723823070526
1.5,13,2000,0.5329522490501404,False,6.570154801011086e-05,0.691969633102417
1.5,14,2000,0.46115541458129883,False,5.01144677400589e-05,0.6931421160697937
1.5,15,2000,3.3957056999206543,False,-0.003662330098450184,0.2858738303184509
1.5,16,2000,0.34079793095588684,False,1.7198733985424042e-05,0.6931298971176147
1.5,17,2000,0.835099458694458,False,-4.7404319047927856e-07,0.6931445598602295
1.5,18,2000,4.549479007720947,False,0.0002853209152817726,0.23836708068847656
1.5,19,2000,4.939854621887207,True,-0.005877709481865168,0.21882686018943787
1.5,20,2000,3.6068201065063477,False,-0.003953130915760994,0.28080570697784424
1.5,21,2000,0.951656699180603,False,6.175832822918892e-05,0.6925985813140869
1.5,22,2000,2.997375011444092,False,0.0024268655106425285,0.3180546462535858
1.5,23,2000,3.7070751190185547,False,0.0002954215742647648,0.2731872498989105
1.5,24,2000,3.6947033405303955,False,0.005647122859954834,0.2634411156177521
1.5,25,2000,1.9732722043991089,False,0.007439052686095238,0.3683565557003021
1.5,26,2000,0.38641226291656494,False,0.0002366732805967331,0.6930415630340576
1.5,27,2000,3.6137888431549072,False,-0.0011951420456171036,0.259530633687973
1.5,28,2000,3.967543125152588,False,-0.002536145970225334,0.263713002204895
1.5,29,2000,0.3448227345943451,False,-0.00011376803740859032,0.693011462688446
2.0,0,2000,0.3531569242477417,False,-0.00019922363571822643,0.6924816370010376
2.0,1,2000,4.2373456954956055,True,-0.0023821680806577206,0.0836603045463562
2.0,2,2000,4.824608325958252,True,-0.0005009346641600132,0.06834473460912704
2.0,3,2000,4.009288787841797,True,-0.006522093899548054,0.08499744534492493
2.0,4,2000,0.6485653519630432,False,1.4202669262886047e-07,0.6931463479995728
2.0,5,2000,4.295177459716797,True,-0.005627058446407318,0.08549495786428452
2.0,6,2000,0.7629460692405701,False,4.947418347001076e-06,0.6930549144744873
2.0,7,2000,4.748504161834717,True,-0.0006491567473858595,0.07025956362485886
2.0,8,2000,0.6080554127693176,False,-7.282942533493042e-07,0.6931455731391907
2.0,9,2000,4.321439266204834,True,-0.0013384376652538776,0.08065199851989746
2.0,10,2000,4.757082939147949,True,5.9995800256729126e-05,0.06492836773395538
2.0,11,2000,0.48771214485168457,False,-2.2459309548139572e-05,0.692888617515564
2.0,12,2000,4.695028305053711,True,-0.000819547101855278,0.07130574434995651
2.0,13,2000,0.40709739923477173,False,0.0007498455233871937,0.6918278336524963
2.0,14,2000,3.598517656326294,True,-0.007294561713933945,0.11460838466882706
2.0,15,2000,2.9154484272003174,True,-0.005208789370954037,0.14274761080741882
2.0,16,2000,0.3552423417568207,False,3.234890755265951e-07,0.6931334137916565
2.0,17,2000,0.7749478220939636,False,-4.838220775127411e-07,0.6931444406509399
2.0,18,2000,4.364462375640869,True,0.000258835032582283,0.08129709959030151
2.0,19,2000,4.529655456542969,True,-0.005446238908916712,0.07481119781732559
2.0,20,2000,3.6932942867279053,True,-0.004214884713292122,0.10630914568901062
2.0,21,2000,0.8992564678192139,False,6.120605394244194e-05,0.692595362663269
2.0,22,2000,3.309783935546875,True,0.00267380615696311,0.12855759263038635
2.0,23,2000,4.114715099334717,True,0.00014036032371222973,0.08510687947273254
2.0,24,2000,3.0314133167266846,True,0.008131888695061207,0.13100260496139526
2.0,25,2000,1.9234997034072876,False,0.012054910883307457,0.22571615874767303
2.0,26,2000,0.4098754823207855,False,9.065493941307068e-05,0.6930667161941528
2.0,27,2000,3.6918442249298096,True,-0.0015013874508440495,0.10090912878513336
2.0,28,2000,3.9854178428649902,True,-0.0025970200076699257,0.09662309288978577
2.0,29,2000,0.3307662308216095,False,-0.00011592917144298553,0.6930088996887207
1.25,-1,2000,3.149785280227661,0.0,,
1.25,-1,4000,7.747182607650757,0.05,,
1.25,-1,8000,17.89751434326172,0.875,,
1.25,-1,20000,48.48024368286133,0.925,,
1.35,-1,2000,3.5069639682769775,0.0,,
1.35,-1,4000,8.013399600982666,0.65,,
1.35,-1,8000,17.233893394470215,0.9,,
1.35,-1,20000,45.12004470825195,0.925,,
1.45,-1,2000,3.6580358743667603,0.175,,
1.45,-1,4000,8.043118953704834,0.775,,
1.45,-1,8000,16.164093017578125,0.9,,
1.45,-1,20000,41.647478103637695,0.925,,
