parametrization,axis_aligned,activation,monotonic,depth,seed,fold_layer,layer,linking_rounded,linking_raw,min_distance,defined,reportable
rotated_generic,False,gelu,False,5,8,1,0,-1,-1.000025100237454,0.899070210059265,True,True
rotated_generic,False,gelu,False,5,8,1,1,0,1.7307795838633593e-05,0.09277466048511816,True,True
rotated_generic,False,gelu,False,5,8,1,2,0,-3.466476438020172e-06,0.18427119047151527,True,True
rotated_generic,False,gelu,False,5,8,1,3,0,-2.489692184709616e-06,0.24538751736200828,True,True
rotated_generic,False,gelu,False,5,8,1,4,0,4.172627106978217e-06,0.5538143072295018,True,True
rotated_generic,False,gelu,False,5,8,1,5,0,1.14793058673499e-07,2.2550167192491974,True,True
rotated_generic,False,gelu,False,12,2,1,0,-1,-1.000025100237454,0.899070210059265,True,True
rotated_generic,False,gelu,False,12,2,1,1,0,-3.0177540044845174e-06,0.14330512300668005,True,True
rotated_generic,False,gelu,False,12,2,1,2,0,4.169748614186207e-06,0.09232610141354824,True,True
rotated_generic,False,gelu,False,12,2,1,3,0,-6.814195956426259e-07,0.2753548620034432,True,True
rotated_generic,False,gelu,False,12,2,1,4,0,4.0934753686301096e-07,0.05772632166539058,True,True
rotated_generic,False,gelu,False,12,2,1,5,0,8.685271002986177e-09,0.08686974444591036,True,True
rotated_generic,False,gelu,False,12,2,1,6,0,3.393686629201141e-09,0.2564698193416375,True,True
rotated_generic,False,gelu,False,12,2,1,7,0,-1.6905966096816935e-10,0.5201243302722102,True,True
rotated_generic,False,gelu,False,12,2,1,8,0,1.591463209871812e-12,1.1959636646205978,True,True
rotated_generic,False,gelu,False,12,2,1,9,0,2.6955362579419848e-11,1.4225137700984332,True,True
rotated_generic,False,gelu,False,12,2,1,10,0,-5.771609314184947e-13,1.6833411379715746,True,True
rotated_generic,False,gelu,False,12,2,1,11,0,-8.906201394356585e-14,2.3669244236433675,True,True
rotated_generic,False,gelu,False,12,2,1,12,0,1.261585413080472e-16,5.884189931353647,True,True
generic,False,gelu,False,3,5,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,3,5,1,1,0,1.9419298957063395e-05,0.09440815066633465,True,True
generic,False,gelu,False,3,5,1,2,0,3.829140560102881e-05,0.1648858872010228,True,True
generic,False,gelu,False,3,5,1,3,0,3.224096609030512e-08,1.1434901477543327,True,True
generic,False,gelu,False,5,2,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,5,2,1,1,0,1.702019359309724e-05,0.09255868913123282,True,True
generic,False,gelu,False,5,2,1,2,0,-7.286034822445197e-06,0.15057101334077758,True,True
generic,False,gelu,False,5,2,1,3,0,-2.949680724349372e-07,0.41732031364031164,True,True
generic,False,gelu,False,5,2,1,4,0,3.714453077123472e-10,1.4195640744009541,True,True
generic,False,gelu,False,5,2,1,5,0,-6.775236729956377e-11,5.0992918758034085,True,True
generic,False,gelu,False,5,8,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,5,8,1,1,0,-3.1531778568578244e-06,0.1037672767513968,True,True
generic,False,gelu,False,5,8,1,2,0,3.396110624193479e-05,0.060389732161690905,True,True
generic,False,gelu,False,5,8,1,3,0,2.937479006861808e-07,0.27734789554678374,True,True
generic,False,gelu,False,5,8,1,4,0,-4.035399531907052e-08,1.099243776000769,True,True
generic,False,gelu,False,5,8,1,5,0,2.1560017615480226e-09,4.798845879807556,True,True
generic,False,gelu,False,8,0,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,8,0,1,1,0,1.2535589898432493e-05,0.12053209035165184,True,True
generic,False,gelu,False,8,0,1,2,0,-8.912690917414364e-05,0.036864615719217265,True,True
generic,False,gelu,False,8,0,1,3,0,-4.06304346169543e-05,0.05335939859460533,True,True
generic,False,gelu,False,8,0,1,4,0,4.8163389421281e-07,0.15604570283450658,True,True
generic,False,gelu,False,8,0,1,5,0,-4.959548834158776e-08,0.3498826458222929,True,True
generic,False,gelu,False,8,0,1,6,0,-2.3767421982539245e-08,1.0012821776249867,True,True
generic,False,gelu,False,8,0,1,7,0,-1.6017535184646296e-08,2.1681949756572347,True,True
generic,False,gelu,False,8,0,1,8,0,-4.479051843401129e-10,5.4337452010767,True,True
generic,False,gelu,False,8,2,1,0,-1,-1.000025100237454,0.6613694422285493,True,True
generic,False,gelu,False,8,2,1,1,0,6.95054851737997e-05,0.10348182946422739,True,True
generic,False,gelu,False,8,2,1,2,0,5.0320918000942663e-05,0.13945195841893432,True,True
generic,False,gelu,False,8,2,1,3,0,2.8232743338322024e-05,0.10739420178779033,True,True
generic,False,gelu,False,8,2,1,4,0,-3.2540407864414083e-07,0.2784131431485192,True,True
generic,False,gelu,False,8,2,1,5,0,4.2380615149505094e-08,0.6628070212611084,True,True
generic,False,gelu,False,8,2,1,6,0,-1.4781828486803772e-08,1.4057585208577028,True,True
generic,False,gelu,False,8,2,1,7,0,-1.368168131293204e-08,1.7759266946672594,True,True
generic,False,gelu,False,8,2,1,8,0,2.2412420895238548e-14,3.2268229026996447,True,True
