q,a,budget,seed,w2,solved,ghat_certified,R
2.0,1.25,8000,10,53.11066818237305,True,0.0458065661373445,1.2164086673472145
2.0,1.25,8000,11,53.28095626831055,True,0.0458065661373445,1.2203088235826633
2.0,1.25,8000,12,52.1329231262207,True,0.0458065661373445,1.1940150955571625
2.0,1.25,8000,13,51.67701721191406,True,0.0458065661373445,1.1835733533491157
2.0,1.25,8000,14,0.9582654237747192,False,0.0458065661373445,0.021947424255633563
2.0,1.25,8000,15,53.08290100097656,True,0.0458065661373445,1.2157727077316716
2.0,1.25,8000,16,52.04335021972656,True,0.0458065661373445,1.1919635819244436
2.0,1.25,8000,17,1.1923117637634275,False,0.0458065661373445,0.027307853831581654
2.0,1.25,8000,18,53.1630859375,True,0.0458065661373445,1.2176092060307115
2.0,1.25,8000,19,48.9044075012207,True,0.0458065661373445,1.1200714883061562
2.0,1.25,32000,0,1.2204114198684692,False,0.0458065661373445,0.02795142820948777
2.0,1.25,32000,1,220.81480407714844,True,0.0458065661373445,5.057383963532334
2.0,1.25,32000,2,222.26568603515625,True,0.0458065661373445,5.090613923715816
2.0,1.25,32000,3,217.618408203125,True,0.0458065661373445,4.984176004030039
2.0,1.25,32000,4,149.8878936767578,True,0.0458065661373445,3.4329248574458333
2.0,1.25,32000,5,0.3173314332962036,False,0.0458065661373445,0.007267931643370437
2.0,1.25,32000,6,221.83810424804688,True,0.0458065661373445,5.080820897010641
2.0,1.25,32000,7,0.1755365133285522,False,0.0458065661373445,0.00402036245365159
2.0,1.25,32000,8,220.9712677001953,True,0.0458065661373445,5.060967494180926
2.0,1.25,32000,9,218.4361114501953,True,0.0458065661373445,5.002904092963862
2.0,1.25,32000,10,222.0805206298828,True,0.0458065661373445,5.086373028024313
2.0,1.25,32000,11,221.29833984375,True,0.0458065661373445,5.068458520068637
2.0,1.25,32000,12,222.63136291503903,True,0.0458065661373445,5.09898912480744
2.0,1.25,32000,13,222.64324951171875,True,0.0458065661373445,5.099261366895919
2.0,1.25,32000,14,0.7222875952720642,False,0.0458065661373445,0.01654275725150666
2.0,1.25,32000,15,223.97654724121097,True,0.0458065661373445,5.129798262209297
2.0,1.25,32000,16,221.8283843994141,True,0.0458065661373445,5.0805982805660195
2.0,1.25,32000,17,1.5808430910110474,False,0.0458065661373445,0.03620649680058082
2.0,1.25,32000,18,222.76834106445312,True,0.0458065661373445,5.102126374137694
2.0,1.25,32000,19,216.53089904785156,True,0.0458065661373445,4.959268474007039
2.0,1.4,2000,0,16.003250122070312,True,0.0876049270551341,0.7009817797945178
2.0,1.4,2000,1,13.045281410217283,True,0.0876049270551341,0.571415463177891
2.0,1.4,2000,2,14.608128547668455,True,0.0876049270551341,0.6398720179152586
2.0,1.4,2000,3,12.572714805603027,True,0.0876049270551341,0.5507158817149289
2.0,1.4,2000,4,1.3017935752868652,False,0.0876049270551341,0.05702176560192403
2.0,1.4,2000,5,0.3879349529743194,False,0.0876049270551341,0.016992506628726065
