a,seed,w2_lo,w2_hi,evals,note,Ghat_cert,w2_own,R_own,w2_pop,own_over_pop
1.3,38,5.7625,5.76875,14,,0.0861017938777792,5.765625,0.24821532766328536,4.956250000000001,1.1633039092055484
1.3,39,5.31875,5.325,9,,0.0861017938777792,5.321875,0.22911149214665313,4.956250000000001,1.0737704918032787
1.5,0,2.4125,2.41875,7,,0.1751262004888403,2.4156250000000004,0.21151961402792746,2.53125,0.9543209876543212
1.5,1,2.60625,2.6125,6,,0.1751262004888403,2.609375,0.22848496470028384,2.53125,1.0308641975308641
1.5,2,2.49375,2.5,6,,0.1751262004888403,2.496875,0.2186341159227866,2.53125,0.9864197530864198
1.5,3,2.95,2.95625,10,,0.1751262004888403,2.953125,0.25858478040930327,2.53125,1.1666666666666667
1.5,4,2.20625,2.2125,9,,0.1751262004888403,2.2093749999999996,0.19345972460251576,2.53125,0.8728395061728393
1.5,5,2.46875,2.475,6,,0.1751262004888403,2.471875,0.21644503841667606,2.53125,0.9765432098765432
1.5,6,2.38125,2.3875,7,,0.1751262004888403,2.3843750000000004,0.20878326714528933,2.53125,0.9419753086419754
1.5,7,2.5625,2.56875,6,,0.1751262004888403,2.565625,0.22465407906459045,2.53125,1.0135802469135802
1.5,8,2.48125,2.4875,6,,0.1751262004888403,2.484375,0.21753957716973132,2.53125,0.9814814814814815
1.5,9,2.94375,2.95,10,,0.1751262004888403,2.9468750000000004,0.25803751103277567,2.53125,1.1641975308641976
1.5,10,2.66875,2.675,7,,0.1751262004888403,2.671875,0.2339576584655601,2.53125,1.0555555555555556
1.5,11,2.75625,2.7625,8,,0.1751262004888403,2.7593750000000004,0.2416194297369469,2.53125,1.0901234567901237
1.5,12,2.4125,2.41875,7,,0.1751262004888403,2.4156250000000004,0.21151961402792746,2.53125,0.9543209876543212
1.5,13,2.8875,2.89375,9,,0.1751262004888403,2.890625,0.253112086644027,2.53125,1.1419753086419753
1.5,14,2.4125,2.41875,7,,0.1751262004888403,2.4156250000000004,0.21151961402792746,2.53125,0.9543209876543212
1.5,15,2.53125,2.5375,6,,0.1751262004888403,2.534375,0.22191773218195232,2.53125,1.0012345679012344
1.5,16,2.425,2.43125,7,,0.1751262004888403,2.4281249999999996,0.21261415278098267,2.53125,0.9592592592592591
1.5,17,2.66875,2.675,7,,0.1751262004888403,2.671875,0.2339576584655601,2.53125,1.0555555555555556
1.5,18,2.68125,2.6875,7,,0.1751262004888403,2.684375,0.23505219721861537,2.53125,1.060493827160494
1.5,19,2.51875,2.525,6,,0.1751262004888403,2.5218749999999996,0.22082319342889706,2.53125,0.9962962962962961
1.5,20,2.85,2.85625,9,,0.1751262004888403,2.8531250000000004,0.24982847038486128,2.53125,1.1271604938271607
1.5,21,2.7625,2.76875,8,,0.1751262004888403,2.765625,0.2421666991134745,2.53125,1.0925925925925926
1.5,22,2.53125,2.5375,6,,0.1751262004888403,2.534375,0.22191773218195232,2.53125,1.0012345679012344
1.5,23,2.7875,2.79375,8,,0.1751262004888403,2.7906250000000004,0.24435577661958502,2.53125,1.1024691358024692
1.5,24,2.825,2.83125,8,,0.1751262004888403,2.828125,0.24763939287875075,2.53125,1.117283950617284
1.5,25,2.95625,2.9625,10,,0.1751262004888403,2.9593749999999996,0.2591320497858309,2.53125,1.1691358024691356
1.5,26,2.8125,2.81875,8,,0.1751262004888403,2.815625,0.2465448541256955,2.53125,1.1123456790123456
1.5,27,2.6375,2.64375,7,,0.1751262004888403,2.640625,0.23122131158292197,2.53125,1.0432098765432098
1.5,28,2.93125,2.9375,10,,0.1751262004888403,2.934375,0.2569429722797204,2.53125,1.1592592592592594
1.5,29,2.625,2.63125,6,,0.1751262004888403,2.628125,0.2301267728298667,2.53125,1.0382716049382716
1.5,30,2.7875,2.79375,8,,0.1751262004888403,2.7906250000000004,0.24435577661958502,2.53125,1.1024691358024692
1.5,31,2.7375,2.74375,8,,0.1751262004888403,2.7406249999999996,0.23997762160736397,2.53125,1.082716049382716
1.5,32,2.33125,2.3375,7,,0.1751262004888403,2.3343749999999996,0.20440511213306828,2.53125,0.922222222222222
1.5,33,2.75,2.75625,8,,0.1751262004888403,2.753125,0.24107216036041923,2.53125,1.0876543209876544
1.5,34,2.375,2.38125,7,,0.1751262004888403,2.378125,0.20823599776876167,2.53125,0.9395061728395061
1.5,35,2.675,2.68125,7,,0.1751262004888403,2.6781249999999996,0.2345049278420877,2.53125,1.0580246913580245
1.5,36,3.08125,3.0875,11,,0.1751262004888403,3.0843749999999996,0.2700774373163834,2.53125,1.2185185185185183
1.5,37,2.4875,2.49375,6,,0.1751262004888403,2.4906249999999996,0.21808684654625893,2.53125,0.9839506172839505
1.5,38,2.9375,2.94375,10,,0.1751262004888403,2.940625,0.257490241656248,2.53125,1.1617283950617283
1.5,39,2.725,2.73125,7,,0.1751262004888403,2.7281250000000004,0.23888308285430876,2.53125,1.077777777777778
