seed,stage,steps,w1,b1,b2,loss,gap,solves,degenerate,status,a,kind,s,frozen_reproduced,grad_norm
41,screen,600,-1.1384428722740745,-1.9940274212996687,16.162685517399563,3.4665549061072487,-0.7914456887052963,False,False,carried,1.35,glob,10.0,True,0.2519756124764069
42,screen,600,1.263332668580842e-13,3.878216655608921,-12.867772723495747,8.422607677822379,0.0,False,True,degenerate,1.35,glob,10.0,True,0.49999995167009453
43,screen,600,-1.1210012649024395,-2.0248750274775835,17.50100991786051,3.129302187355281,-0.71638123126854,False,False,carried,1.35,glob,10.0,True,0.25254924307998033
44,screen,600,-1.4384251209381994e-14,-0.205184689003364,4.802444596131942,0.6931471805599452,-9.353628982466944e-14,False,True,degenerate,1.35,glob,10.0,True,1.0636311479261695e-11
45,screen,600,-1.1385496511191131e-13,3.8782166556089224,-6.856020382989305,11.428483799864093,0.0,False,True,degenerate,1.35,glob,10.0,True,0.4999999998816016
46,screen,600,8.026989407387838e-15,-3.878216655608961,10.873558206851994,9.419714894393039,0.0,False,True,degenerate,1.35,glob,10.0,True,0.49999999342130735
47,screen,600,-1.277027519528241,-1.7479374892438648,7.9471004471596185,5.538875671598344,-1.4707443974602579,False,False,not carried (screen rank > 8),1.35,glob,10.0,True,0.25715770636978713
48,screen,600,-1.3328613710099122,-1.6606698415310732,3.427435089730961,6.677260076466074,-1.7501130127022544,False,False,not carried (screen rank > 8),1.35,glob,10.0,True,0.25292778483154854
49,screen,600,-1.2981985509830651,-1.7228971681540917,5.494212025452015,6.155935520558444,-1.5557432738736463,False,False,not carried (screen rank > 8),1.35,glob,10.0,True,0.25202518561491793
35,full,3600,-0.7989376935103194,-2.4949054247082505,30.771751218300803,0.18039995535201714,0.1050483380193925,True,False,not lowest,1.35,glob,10.0,True,2.529084255507954e-15
19,full,3600,0.7989376935103295,-2.4949054247082496,30.771751218300654,0.1803999553520171,0.1050483380193934,True,False,not lowest,1.35,glob,10.0,True,1.3347630965881585e-14
5,full,3600,0.7989376935103188,-2.494905424708251,30.77175121830081,0.1803999553520171,0.1050483380193925,True,False,not lowest,1.35,glob,10.0,True,3.0289404817169413e-15
43,full,3600,-0.7989376935103292,-2.4949054247082496,30.771751218300658,0.1803999553520171,0.1050483380193934,True,False,not lowest,1.35,glob,10.0,True,1.3011868422730152e-14
41,full,3600,-0.798937693510313,-2.4949054247082514,30.771751218300896,0.18039995535201708,0.1050483380193925,True,False,RETAINED,1.35,glob,10.0,True,1.1957066169417183e-14
15,full,3600,-0.7989376935102862,-2.494905424708254,30.771751218301283,0.1803999553520171,0.10504833801939073,True,False,not lowest,1.35,glob,10.0,True,5.2389888618018466e-14
20,full,3600,0.7989376935103203,-2.4949054247082514,30.77175121830079,0.18039995535201714,0.1050483380193925,True,False,not lowest,1.35,glob,10.0,True,1.700671717284744e-15
34,full,3600,0.7989376935103321,-2.4949054247082496,30.77175121830062,0.1803999553520171,0.1050483380193934,True,False,not lowest,1.35,glob,10.0,True,1.699973361774211e-14
-1,constant,0,0.0,0.0,0.0,0.6931471805599453,0.0,False,True,constant predictor (exact),1.35,glob,10.0,True,0.0
0,screen,600,1.0940557716892367e-14,0.4178515572086244,-10.139625082706752,0.6931471805599453,-6.838973831690964e-14,False,True,degenerate,1.35,glob,10.5,True,3.808288471459652e-12
1,screen,600,1.2637120665671036,-1.7819184788229812,8.163359402883584,5.859703210243174,-1.375935000773166,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25202878058193384
2,screen,600,-2.6466139712714686e-16,-0.15024018665060093,3.6991738417811826,0.6931471805599452,-1.7763568394002505e-15,False,True,degenerate,1.35,glob,10.5,True,1.7582086811934992e-12
3,screen,600,-1.3212177218348882,-1.674275319137497,4.63886238639336,6.749101066706603,-1.7018826325353067,False,False,not carried (screen rank > 8),1.35,glob,10.5,True,0.25615615704548333
4,screen,600,-8.530129046937978e-16,0.3587658095970401,-8.74415127210091,0.6931471805599452,-5.329070518200751e-15,False,True,degenerate,1.35,glob,10.5,True,2.4321996387345674e-13
5,screen,600,1.125684474056013,-2.009573157136647,17.954135539326433,3.3919186987848193,-0.7497299421871113,False,False,carried,1.35,glob,10.5,True,0.25360741876820053
