{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 15, 'uniform_seed': 985519, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 19, 'uniform_seed': 982676, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 12, 'width': 3, 'seed': 8, 'uniform_seed': 980844, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 3, 'width': 3, 'seed': 4, 'uniform_seed': 986803, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 3, 'width': 3, 'seed': 9, 'uniform_seed': 991582, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 3, 'width': 3, 'seed': 11, 'uniform_seed': 990149, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 3, 'width': 3, 'seed': 13, 'uniform_seed': 991961, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 0, 'uniform_seed': 982714, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 4, 'uniform_seed': 984243, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 7, 'uniform_seed': 975545, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 14, 'uniform_seed': 983031, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 15, 'uniform_seed': 977057, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 16, 'uniform_seed': 990123, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 18, 'uniform_seed': 975916, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 5, 'width': 3, 'seed': 19, 'uniform_seed': 990810, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 8, 'width': 3, 'seed': 8, 'uniform_seed': 982777, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 8, 'width': 3, 'seed': 10, 'uniform_seed': 989392, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 8, 'width': 3, 'seed': 19, 'uniform_seed': 982676, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 12, 'width': 3, 'seed': 0, 'uniform_seed': 980126, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 12, 'width': 3, 'seed': 1, 'uniform_seed': 983400, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 12, 'width': 3, 'seed': 6, 'uniform_seed': 979019, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '3', 'depth': 12, 'width': 3, 'seed': 19, 'uniform_seed': 986763, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 3, 'width': 3, 'seed': 4, 'uniform_seed': 975958, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 3, 'width': 3, 'seed': 8, 'uniform_seed': 991085, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 3, 'width': 3, 'seed': 16, 'uniform_seed': 986982, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 5, 'width': 3, 'seed': 8, 'uniform_seed': 985453, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 8, 'width': 3, 'seed': 8, 'uniform_seed': 984668, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 8, 'width': 3, 'seed': 19, 'uniform_seed': 983188, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-1', 'depth': 12, 'width': 3, 'seed': 16, 'uniform_seed': 990336, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.5', 'depth': 3, 'width': 3, 'seed': 4, 'uniform_seed': 975958, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.5', 'depth': 5, 'width': 3, 'seed': 6, 'uniform_seed': 976682, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.5', 'depth': 8, 'width': 3, 'seed': 10, 'uniform_seed': 975504, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.25', 'depth': 5, 'width': 3, 'seed': 14, 'uniform_seed': 991447, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.25', 'depth': 8, 'width': 3, 'seed': 4, 'uniform_seed': 980743, 'uniform_errors': 1, 'area_uniform_control_errors': 1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'pwl_family', 'parameter': '-0.25', 'depth': 8, 'width': 3, 'seed': 5, 'uniform_seed': 990065, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 3, 'width': 3, 'seed': 10, 'uniform_seed': 992416, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 3, 'width': 3, 'seed': 17, 'uniform_seed': 984771, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 5, 'width': 3, 'seed': 0, 'uniform_seed': 976044, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 5, 'width': 3, 'seed': 1, 'uniform_seed': 979962, 'uniform_errors': 2, 'area_uniform_control_errors': 0}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 8, 'width': 3, 'seed': 14, 'uniform_seed': 979178, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 12, 'width': 3, 'seed': 2, 'uniform_seed': 991825, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'protocol_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 12, 'width': 3, 'seed': 13, 'uniform_seed': 984549, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
witness (2a) uniform 1M: 0
offset witness uniform 1M: 0
done
