a,seed,w2,g_own,g_maxorient,margin,bound_perplace,ok,agrees_with_maxorient
2.0,15,-4.560886349907989,0.4244236040427638,0.4244236040427638,0.9239986144677292,4.354133962703118,True,True
2.0,18,4.819223417589893,0.42173016681394904,0.42173016681394904,0.9766136143936937,4.631461969020289,True,True
2.0,19,4.891674952727173,0.4255110185977693,0.4255110185977693,0.960451336878574,4.51434296598781,True,True
2.0,20,3.9563168919414067,0.4323137102656385,0.4323137102656385,0.6761724243374765,3.1281562822608477,True,True
2.0,22,-5.023975249677224,0.427413188252578,0.427413188252578,1.0349493201263424,4.842851594531255,True,True
2.0,23,4.334683089975992,0.4266141484211916,0.4266141484211916,0.6752215860973543,3.1654908239504294,True,True
2.0,24,4.357109883729014,0.4301881033723305,0.4301881033723305,0.8491686509313627,3.947894626906509,True,True
2.0,27,-4.035806288223339,0.42563623091343983,0.42563623091343983,0.5751145550661612,2.7023759412206627,True,True
2.0,28,3.8880538441263717,0.4238693701095073,0.4238693701095073,0.5013875165286326,2.3657643221499978,True,True
2.0,31,3.6390725935832857,0.43268630664649654,0.43268630664649654,0.502859391079296,2.324360088844368,True,True
2.0,32,3.5514163921891972,0.4269113371105373,0.4269113371105373,0.6721780192283262,3.149028666129256,True,True
2.0,33,-3.6879402846606495,0.43205548514959036,0.43205548514959036,0.6264988365124395,2.900085095762768,True,True
2.0,34,4.493032732581186,0.4224514360587195,0.4224514360587195,0.9318938706049272,4.411839047342695,True,True
2.0,35,-2.937291230661306,0.4236413094603675,0.4236413094603675,0.3639006907914455,1.717966037141093,True,True
2.0,36,-3.392340261324788,0.4174639506836737,0.4174639506836737,0.5166633508172218,2.475247742810324,True,True
3.0,1,3.5441769802931815,1.0213192691334179,1.0213192691334179,1.7127037038055075,3.353904612528704,True,True
3.0,2,3.5331280266297402,1.0176853566030672,1.0176853566030672,1.6607822849089129,3.263842353893033,True,True
3.0,3,3.085192558136004,1.0235259203228169,1.0235259203228169,1.5101795583419486,2.9509356399408873,True,True
3.0,5,-2.9143748335945245,1.0153728392164219,1.0153728392164219,1.435872714412076,2.8282669359565697,True,True
3.0,9,-3.035524091235071,1.0112991666853284,1.0112991666853284,1.4941074986804672,2.9548279043433,True,True
3.0,10,3.9873876638936387,1.0147336281243238,1.0147336281243238,1.9652286021374843,3.8733881437833007,True,True
3.0,18,3.767714102816072,1.009635552892696,1.009635552892696,1.8679220608883371,3.7001907382056305,True,True
3.0,19,3.8720364608176165,1.0168068675354855,1.0168068675354855,1.9380719797815384,3.8120749213250207,True,True
3.0,20,3.2650651591088757,1.0207992497049023,1.0207992497049023,1.5556302122803736,3.047867076176012,True,True
3.0,22,-3.910473228448924,1.0230622334022597,1.0230622334022597,1.886866194379758,3.688663568598095,True,True
3.0,23,3.446927232806148,1.0166034981084295,1.0166034981084295,1.4706266492705158,2.8932157955523006,True,True
3.0,27,-3.233489508297894,1.0102280861743975,1.0102280861743975,1.4087622200074836,2.788998324808575,True,True
3.0,28,3.1813924858448255,1.0273572921117897,1.0273572921117897,1.3255674312391932,2.58053832180315,True,True
