configuration,reading,amplitude,frequency,noise,embedded,linking_number,min_between_class_distance,activation,monotonic,depth,width,seed,train_data_seed,eval_data_seed,passed,final_train_accuracy,final_eval_accuracy,perfect_eval,at_chance,eval_errors,max_steps,learning_rate,initialization_scheme,initialization_gain,duration_seconds
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,8,50008,60008,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9295474998652935
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,9,50009,60009,True,1.0,0.9995,False,False,1,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9323671250604093
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,0,50000,60000,False,0.8545,0.863,False,False,274,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.948654874926433
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,1,50001,60001,False,0.966,0.967,False,False,66,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9904275420121849
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,2,50002,60002,False,0.9545,0.951,False,False,98,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9488618329633027
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,3,50003,60003,False,0.734,0.7185,False,False,563,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9550579159986228
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,4,50004,60004,False,0.97,0.96,False,False,80,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9621652078349143
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,5,50005,60005,False,0.967,0.963,False,False,74,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.961744625121355
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,6,50006,60006,False,0.9595,0.9545,False,False,91,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9581929158885032
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,7,50007,60007,False,0.959,0.956,False,False,88,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9536918748635799
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,8,50008,60008,False,0.961,0.955,False,False,90,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9641930419020355
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,3,9,50009,60009,False,0.9655,0.96,False,False,80,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9970308751799166
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,0,50000,60000,False,0.9765,0.969,False,False,62,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9167397909332067
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,1,50001,60001,False,0.966,0.9675,False,False,65,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9168096659705043
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,2,50002,60002,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9084386250469834
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,3,50003,60003,False,0.9745,0.964,False,False,72,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9286629168782383
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,4,50004,60004,False,0.9845,0.98,False,False,40,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9072869159281254
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,12,4,5,50005,60005,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.9154956669081002
