seed,ck_step,level,variant,k,G_4000,placed_4000,dist_4000,w1_4000,b1_4000,G_16000,placed_16000,dist_16000,w1_16000,b1_16000,G_64000,placed_64000,dist_64000,w1_64000,b1_64000,first_hit,settle_step,w2_sign,block4_reproduced_rows,block4_reproduced_all,own_over_pop,w2_own,held_s,placed,own_rule,dist,branch_start,branch_end,T_start,T_end,start_rule_correct,end_rule_correct,seed_gap_rel,gap_exceeds_distance
200035,2442,1.0,preserved,1.420015789318919,-0.009678230406121369,False,0.009555584038566978,0.8370033569212598,2.4425205864394517,-0.009694390553101062,False,0.009572032731567981,0.8370168837566336,2.442508270474899,-0.0097929314991676,False,0.009666663576493288,0.8370303825160155,2.4424118007248277,31.0,,-1.0,3258,False,0.9892812105926859,4.903125,4.956250000000001,False,True,0.01083492670490771,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200035,2442,1.05,preserved,1.4910165787848648,-0.0017944977646324745,False,0.009619618716622856,0.8310556982972731,2.4488104686354184,-0.0014540880136255652,False,0.009329483775211986,0.831342423224423,2.4492499799920995,-0.0017750991521809922,False,0.009599653435296052,0.8310415807786601,2.4488263004550657,5.0,,-1.0,3258,False,0.9892812105926859,4.903125,5.204062500000001,False,True,0.06137667304015304,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200035,2863,1.0,preserved,1.1686673076831604,-0.009678230390972598,False,0.009555584016779835,0.8370033568307652,2.4425205864268813,-0.009678220173755303,False,0.009555576022829441,0.8370033776349923,2.4425206033119027,-0.009682381500490944,False,0.00955781800719875,0.8369821672863368,2.442509779146362,,,-1.0,3258,False,0.9892812105926859,4.903125,4.956250000000001,False,True,0.01083492670490771,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200035,2863,1.05,preserved,1.2271006730673186,-0.0017944944643235594,False,0.009619609990871096,0.8310556394552283,2.4488104542690645,-0.0017947239334952236,False,0.009620203813945113,0.8310595856946379,2.4488114093300255,-0.0017944976270993784,False,0.009619618653704151,0.8310556990301735,2.448810468999442,4.0,,-1.0,3258,False,0.9892812105926859,4.903125,5.204062500000001,False,True,0.06137667304015304,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200035,3357,1.0,preserved,0.9544032368230037,-0.009673199427331358,False,0.009553649721572853,0.8370371739981011,2.442536207030541,-0.009678235272457592,False,0.00955558798133555,0.83700334866516,2.4425205789095203,-0.01024323443188413,False,0.010180886360461664,0.8378386088442279,2.442202986793716,,,-1.0,3258,False,0.9892812105926859,4.903125,4.956250000000001,False,True,0.01083492670490771,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200035,3357,1.05,preserved,1.002123398664154,-0.0013915115778173615,False,0.009274729908458084,0.8313708676193249,2.4493234640785673,-0.0018006834749395573,False,0.009625593182045849,0.8310560393303844,2.448804162856287,-0.001793039730940027,False,0.009618154682028082,0.8310550265304578,2.4488117762286263,,,-1.0,3258,False,0.9892812105926859,4.903125,5.204062500000001,False,True,0.06137667304015304,-1,-1,5.265625,5.265625,True,True,0.07393244104525172,True
200038,801,1.0,preserved,2.131314221374131,-0.015396934900167913,False,0.01637235859625686,0.8440844694539963,-2.4389337100943727,-0.01530262565106888,False,0.016307299427873338,0.8441026392002522,-2.4390348904360866,-0.015306864607670612,False,0.016404292422046163,0.8443276958356647,-2.4391023672601366,,,1.0,3258,False,0.9703656998738965,4.809375,4.956250000000001,False,True,0.03053931124106568,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,801,1.05,preserved,2.237879932442838,-0.007065683813724188,False,0.016081352660560436,0.8378426127892704,-2.4454559973161984,-0.007064190723089947,False,0.016080661465691926,0.8378437819510026,-2.4454578929888755,-0.007065659953727099,False,0.016081264903598763,0.8378424438702958,-2.445455969289863,29.0,,1.0,3258,False,0.9703656998738965,4.809375,5.204062500000001,False,True,0.08206627680311906,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,1291,1.0,preserved,1.4314441141374683,-0.015396934900167913,False,0.016372358596256714,0.8440844694539961,-2.4389337100943727,-0.01711149188368788,False,0.01793833300376078,0.8446745518034516,-2.4373904879098083,-0.015019776619238812,False,0.01612679779587479,0.844186124833151,-2.4393476846087956,,,1.0,3258,False,0.9703656998738965,4.809375,4.956250000000001,False,True,0.03053931124106568,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,1291,1.05,preserved,1.5030163198443418,-0.007065683813724188,False,0.016081352660561044,0.8378426127892703,-2.445455997316198,-0.007065337657147452,False,0.01607791388753778,0.8378348620103248,-2.4454539431088604,-0.006923755429684153,False,0.015949150253718312,0.8377910355294372,-2.4455856309589654,7.0,,1.0,3258,False,0.9703656998738965,4.809375,5.204062500000001,False,True,0.08206627680311906,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,1776,1.0,preserved,1.0767134417165711,-0.015396934900167025,False,0.01637235859625611,0.8440844694539962,-2.438933710094373,-0.015470011988266474,False,0.016419187785914845,0.8440608336910141,-2.438852274034855,-0.015172842866221004,False,0.01622051825317702,0.844132751184769,-2.4391757828111653,,,1.0,3258,False,0.9703656998738965,4.809375,4.956250000000001,False,True,0.03053931124106568,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,1776,1.05,preserved,1.1305491138023998,-0.007065683813723744,False,0.01608135266056051,0.8378426127892705,-2.4454559973161984,-0.00711928713941834,False,0.0161004364582251,0.8377860032395062,-2.4453833957874083,-0.007064309166788352,False,0.016076073302864497,0.8378323285278088,-2.445454210999753,,,1.0,3258,False,0.9703656998738965,4.809375,5.204062500000001,False,True,0.08206627680311906,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,2082,1.0,preserved,0.9298502076494632,-0.015396934900167913,False,0.01637235859625664,0.844084469453996,-2.4389337100943727,-0.015391354293643467,False,0.01638587099009936,0.8441282108690377,-2.438953296373242,-0.015350027145825784,False,0.016331021212003766,0.8440715851063783,-2.438977046749583,,,1.0,3258,False,0.9703656998738965,4.809375,4.956250000000001,False,True,0.03053931124106568,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200038,2082,1.05,preserved,0.9763427180319364,-0.0070656838137246325,False,0.016081352660561113,0.8378426127892704,-2.445455997316198,-0.007066764056646413,False,0.016080228934099813,0.8378377933214926,-2.445453390562749,-0.007066251041997873,False,0.016081257378988214,0.8378412930857134,-2.4454550049719845,,,1.0,3258,False,0.9703656998738965,4.809375,5.204062500000001,False,True,0.08206627680311906,1,1,5.434375,5.434375,True,True,0.1299545159194282,True
200039,1101,1.0,preserved,2.209140086501145,0.006665217998929052,True,0.01107172335159202,-0.8399466547481431,-2.4603780649671765,0.006665225586607537,True,0.011071724723437112,-0.8399466486688919,-2.460378071043895,0.0066712119555392135,True,0.01107281019425483,-0.839941853667658,-2.4603828657787057,34.0,48.0,1.0,3258,False,1.1128625472887765,5.515625,4.956250000000001,True,False,0.10141643059490069,-1,-1,4.765625,4.765625,True,True,0.1359773371104816,True
200039,1101,1.05,preserved,2.3195970908262025,0.014464940328088538,True,0.011063788976892596,-0.833848260913761,-2.4667565946489978,0.014464940307305163,True,0.011063788972851641,-0.8338482609307585,-2.4667565946320003,0.014465320726498643,True,0.01106386223187108,-0.8338479489440359,-2.466756905482276,33.0,33.0,1.0,3258,False,1.1128625472887765,5.515625,5.204062500000001,True,False,0.05648725212464567,-1,-1,4.765625,4.765625,True,True,0.1359773371104816,True
