parametrization,axis_aligned,axis_alignment_b,major_radius_a,major_radius_b,tube_radius_a,tube_radius_b,aspect_a,aspect_b,offset,rotation_degrees,n_per_class,activation,monotonic,depth,width,seed,train_data_seed,eval_data_seed,passed,final_train_accuracy,final_eval_accuracy,perfect_eval,at_chance,max_steps,learning_rate,initialization_scheme,initialization_gain,duration_seconds
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,2,30002,40002,False,0.9545,0.9535,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9077615831047297
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,3,30003,40003,True,1.0,1.0,True,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9057851249817759
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,4,30004,40004,True,1.0,1.0,True,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9074990829685703
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,5,30005,40005,False,0.975,0.9655,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8984757910948247
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,6,30006,40006,False,0.9585,0.953,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9048838330199942
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,7,30007,40007,False,0.9655,0.9685,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9275044170208275
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,8,30008,40008,True,1.0,1.0,True,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9026797920232639
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,5,4,9,30009,40009,True,1.0,1.0,True,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.901825416018255
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,0,30000,40000,False,0.9595,0.954,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.337255666963756
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,1,30001,40001,False,0.968,0.965,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3399931250605732
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,2,30002,40002,False,0.969,0.9665,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3439344159560278
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,3,30003,40003,False,0.9695,0.9715,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3414173329947516
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,4,30004,40004,False,0.97,0.9705,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3431857499526814
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,5,30005,40005,False,0.974,0.9655,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3476434999611229
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,6,30006,40006,False,0.9705,0.9575,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3429257080424577
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,7,30007,40007,False,0.956,0.958,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3800962909590453
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,8,30008,40008,False,0.95,0.948,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3547852500341833
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,3,9,30009,40009,False,0.9615,0.966,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3490346249891445
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,4,0,30000,40000,False,0.9705,0.963,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3335379170021042
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,4,1,30001,40001,False,0.967,0.965,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.3332825839752331
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,4,2,30002,40002,False,0.965,0.9645,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.343526832992211
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,4,3,30003,40003,False,0.969,0.9725,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.332249709055759
baseline,True,0.0,1.0,1.0,0.2,0.2,0.2,0.2,"(1.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",1000,tanh,True,8,4,4,30004,40004,False,0.9995,0.992,False,False,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.33592341595795
