init_seed,alpha,loss,a,kind
9,0.65,1109.3856201171875,1.02,constructed
9,0.7,710.9767456054688,1.02,constructed
9,0.75,370.3269348144531,1.02,constructed
9,0.8,129.91305541992188,1.02,constructed
9,0.85,5.712692737579346,1.02,constructed
9,0.9,30.461915969848633,1.02,constructed
9,0.95,17.49034881591797,1.02,constructed
9,1.0,0.00018327613361179829,1.02,constructed
10,0.0,0.6807555556297302,1.02,constructed
10,0.05,178.76690673828125,1.02,constructed
10,0.1,238.21299743652344,1.02,constructed
10,0.15,124.6653060913086,1.02,constructed
10,0.2,202.91163635253906,1.02,constructed
10,0.25,732.3374633789062,1.02,constructed
10,0.3,1341.36669921875,1.02,constructed
10,0.35,1924.90869140625,1.02,constructed
10,0.4,2382.69189453125,1.02,constructed
10,0.45,2639.98095703125,1.02,constructed
10,0.5,2658.198486328125,1.02,constructed
10,0.55,2442.37646484375,1.02,constructed
10,0.6,2038.3165283203125,1.02,constructed
10,0.65,1523.6256103515625,1.02,constructed
10,0.7,990.3756713867188,1.02,constructed
10,0.75,523.44775390625,1.02,constructed
10,0.8,189.13858032226562,1.02,constructed
10,0.85,11.398635864257812,1.02,constructed
10,0.9,44.399620056152344,1.02,constructed
10,0.95,25.23522186279297,1.02,constructed
10,1.0,0.00018327613361179829,1.02,constructed
11,0.0,1.2472050189971924,1.02,constructed
11,0.05,235.03668212890625,1.02,constructed
11,0.1,561.537353515625,1.02,constructed
11,0.15,965.5549926757812,1.02,constructed
11,0.2,1416.7462158203125,1.02,constructed
11,0.25,1874.212158203125,1.02,constructed
11,0.3,2293.818359375,1.02,constructed
11,0.35,2633.29443359375,1.02,constructed
11,0.4,2858.506591796875,1.02,constructed
11,0.45,2946.604248046875,1.02,constructed
11,0.5,2889.45849609375,1.02,constructed
11,0.55,2694.76904296875,1.02,constructed
11,0.6,2383.438720703125,1.02,constructed
11,0.65,1989.3778076171875,1.02,constructed
11,0.7,1553.2706298828125,1.02,constructed
11,0.75,1118.08935546875,1.02,constructed
11,0.8,726.3423461914062,1.02,constructed
11,0.85,401.9527282714844,1.02,constructed
11,0.9,177.30772399902344,1.02,constructed
11,0.95,47.657325744628906,1.02,constructed
11,1.0,0.00018327613361179829,1.02,constructed
12,0.0,1.096848726272583,1.02,constructed
12,0.05,77.56230926513672,1.02,constructed
12,0.1,47.12791061401367,1.02,constructed
12,0.15,75.71063995361328,1.02,constructed
12,0.2,254.53436279296875,1.02,constructed
12,0.25,474.0616455078125,1.02,constructed
12,0.3,696.8867797851562,1.02,constructed
12,0.35,887.8054809570312,1.02,constructed
12,0.4,1018.47412109375,1.02,constructed
12,0.45,1071.803466796875,1.02,constructed
12,0.5,1043.6005859375,1.02,constructed
12,0.55,941.3028564453125,1.02,constructed
12,0.6,783.6043090820312,1.02,constructed
12,0.65,595.5020141601562,1.02,constructed
12,0.7,404.1540832519531,1.02,constructed
12,0.75,234.992919921875,1.02,constructed
12,0.8,107.1417236328125,1.02,constructed
12,0.85,29.600950241088867,1.02,constructed
12,0.9,9.241798400878906,1.02,constructed
12,0.95,16.4950008392334,1.02,constructed
12,1.0,0.00018327613361179829,1.02,constructed
13,0.0,0.7486701607704163,1.02,constructed
13,0.05,55.7994270324707,1.02,constructed
13,0.1,82.41709899902344,1.02,constructed
13,0.15,95.70289611816406,1.02,constructed
13,0.2,108.2038803100586,1.02,constructed
13,0.25,127.66597747802734,1.02,constructed
13,0.3,158.60528564453125,1.02,constructed
13,0.35,200.69332885742188,1.02,constructed
13,0.4,251.1985626220703,1.02,constructed
13,0.45,303.8108215332031,1.02,constructed
13,0.5,351.4377746582031,1.02,constructed
13,0.55,386.58837890625,1.02,constructed
13,0.6,402.40228271484375,1.02,constructed
13,0.65,394.55413818359375,1.02,constructed
13,0.7,361.8896179199219,1.02,constructed
13,0.75,306.5961608886719,1.02,constructed
13,0.8,236.72384643554688,1.02,constructed
13,0.85,156.57603454589844,1.02,constructed
13,0.9,82.73448944091797,1.02,constructed
13,0.95,29.538599014282227,1.02,constructed
13,1.0,0.00018327613361179829,1.02,constructed
14,0.0,0.7095008492469788,1.02,constructed
14,0.05,48.13686752319336,1.02,constructed
14,0.1,129.9000244140625,1.02,constructed
14,0.15,181.82188415527344,1.02,constructed
14,0.2,173.0640869140625,1.02,constructed
14,0.25,98.21047973632812,1.02,constructed
14,0.3,37.924076080322266,1.02,constructed
14,0.35,235.00758361816406,1.02,constructed
14,0.4,441.9617919921875,1.02,constructed
14,0.45,628.2382202148438,1.02,constructed
14,0.5,767.9261474609375,1.02,constructed
14,0.55,843.920166015625,1.02,constructed
14,0.6,850.2142333984375,1.02,constructed
14,0.65,789.529296875,1.02,constructed
14,0.7,675.7092895507812,1.02,constructed
14,0.75,527.78369140625,1.02,constructed
14,0.8,369.3377990722656,1.02,constructed
14,0.85,220.89346313476562,1.02,constructed
14,0.9,105.26036834716797,1.02,constructed
14,0.95,27.34946060180664,1.02,constructed
14,1.0,0.00018327613361179829,1.02,constructed
15,0.0,0.7762954831123352,1.02,constructed
15,0.05,95.07151794433594,1.02,constructed
15,0.1,42.26270294189453,1.02,constructed
15,0.15,94.6213150024414,1.02,constructed
15,0.2,269.80694580078125,1.02,constructed
15,0.25,455.7333984375,1.02,constructed
15,0.3,618.5386352539062,1.02,constructed
15,0.35,732.2412719726562,1.02,constructed
15,0.4,780.4735107421875,1.02,constructed
15,0.45,759.1527709960938,1.02,constructed
15,0.5,675.1079711914062,1.02,constructed
15,0.55,543.6300048828125,1.02,constructed
15,0.6,386.9623718261719,1.02,constructed
15,0.65,229.44166564941406,1.02,constructed
15,0.7,93.28742980957031,1.02,constructed
15,0.75,5.84730339050293,1.02,constructed
15,0.8,90.78506469726562,1.02,constructed
15,0.85,109.90306854248047,1.02,constructed
15,0.9,77.34981536865234,1.02,constructed
15,0.95,35.92756652832031,1.02,constructed
15,1.0,0.00018327613361179829,1.02,constructed
16,0.0,0.769501805305481,1.02,constructed
16,0.05,10.023838996887207,1.02,constructed
16,0.1,37.23316192626953,1.02,constructed
16,0.15,100.21430969238281,1.02,constructed
16,0.2,149.66038513183594,1.02,constructed
16,0.25,168.1065216064453,1.02,constructed
16,0.3,148.67677307128906,1.02,constructed
16,0.35,93.3099594116211,1.02,constructed
16,0.4,10.658204078674316,1.02,constructed
16,0.45,87.10106658935547,1.02,constructed
16,0.5,186.31259155273438,1.02,constructed
16,0.55,272.29229736328125,1.02,constructed
16,0.6,333.3096618652344,1.02,constructed
16,0.65,361.2155456542969,1.02,constructed
16,0.7,352.2854919433594,1.02,constructed
16,0.75,310.1924743652344,1.02,constructed
16,0.8,243.36892700195312,1.02,constructed
16,0.85,164.8878631591797,1.02,constructed
16,0.9,86.12541198730469,1.02,constructed
16,0.95,24.558635711669922,1.02,constructed
16,1.0,0.00018327613361179829,1.02,constructed
17,0.0,0.6360636353492737,1.02,constructed
17,0.05,81.47892761230469,1.02,constructed
17,0.1,102.01851654052734,1.02,constructed
17,0.15,35.7281494140625,1.02,constructed
17,0.2,102.52129364013672,1.02,constructed
17,0.25,285.566162109375,1.02,constructed
17,0.3,479.0444030761719,1.02,constructed
17,0.35,646.53662109375,1.02,constructed
17,0.4,756.9442749023438,1.02,constructed
17,0.45,790.8556518554688,1.02,constructed
17,0.5,744.5089111328125,1.02,constructed
17,0.55,628.4266967773438,1.02,constructed
17,0.6,465.4411926269531,1.02,constructed
17,0.65,285.09600830078125,1.02,constructed
17,0.7,119.4810791015625,1.02,constructed
17,0.75,6.390353679656982,1.02,constructed
17,0.8,92.04226684570312,1.02,constructed
17,0.85,114.35655212402344,1.02,constructed
17,0.9,85.53389739990234,1.02,constructed
17,0.95,36.03302001953125,1.02,constructed
17,1.0,0.00018327613361179829,1.02,constructed
18,0.0,0.8482142686843872,1.02,constructed
18,0.05,362.8638610839844,1.02,constructed
18,0.1,829.7648315429688,1.02,constructed
18,0.15,1372.3836669921875,1.02,constructed
18,0.2,1938.3016357421875,1.02,constructed
18,0.25,2463.91796875,1.02,constructed
18,0.3,2886.65185546875,1.02,constructed
18,0.35,3155.75537109375,1.02,constructed
18,0.4,3239.281982421875,1.02,constructed
18,0.45,3129.66259765625,1.02,constructed
18,0.5,2843.406494140625,1.02,constructed
18,0.55,2419.134521484375,1.02,constructed
18,0.6,1911.808349609375,1.02,constructed
18,0.65,1383.223388671875,1.02,constructed
18,0.7,894.8793334960938,1.02,constructed
18,0.75,495.23712158203125,1.02,constructed
18,0.8,213.8290557861328,1.02,constructed
18,0.85,55.28034973144531,1.02,constructed
18,0.9,6.431585788726807,1.02,constructed
18,0.95,18.881067276000977,1.02,constructed
18,1.0,0.00018327613361179829,1.02,constructed
19,0.0,0.7176340222358704,1.02,constructed
19,0.05,15.373261451721191,1.02,constructed
19,0.1,49.65978240966797,1.02,constructed
19,0.15,138.75497436523438,1.02,constructed
19,0.2,285.3031311035156,1.02,constructed
19,0.25,470.3778076171875,1.02,constructed
19,0.3,663.9393920898438,1.02,constructed
19,0.35,833.6502685546875,1.02,constructed
19,0.4,952.0841064453125,1.02,constructed
19,0.45,1001.0308227539062,1.02,constructed
19,0.5,974.6123657226562,1.02,constructed
19,0.55,878.60302734375,1.02,constructed
19,0.6,729.8410034179688,1.02,constructed
19,0.65,551.7823486328125,1.02,constructed
19,0.7,370.9136962890625,1.02,constructed
19,0.75,212.90003967285156,1.02,constructed
19,0.8,94.76783752441406,1.02,constructed
19,0.85,23.267183303833008,1.02,constructed
19,0.9,18.222280502319336,1.02,constructed
19,0.95,13.543704986572266,1.02,constructed
19,1.0,0.00018327613361179829,1.02,constructed
0,0.0,0.9573503732681274,1.05,constructed
0,0.05,1.2665314674377441,1.05,constructed
0,0.1,2.8614063262939453,1.05,constructed
0,0.15,11.520895957946777,1.05,constructed
0,0.2,28.89826202392578,1.05,constructed
0,0.25,53.542415618896484,1.05,constructed
0,0.3,82.15653991699219,1.05,constructed
0,0.35,110.22662353515625,1.05,constructed
0,0.4,134.1400909423828,1.05,constructed
0,0.45,150.05203247070312,1.05,constructed
0,0.5,155.99618530273438,1.05,constructed
0,0.55,151.40179443359375,1.05,constructed
0,0.6,137.5082244873047,1.05,constructed
0,0.65,115.72244262695312,1.05,constructed
0,0.7,89.62981414794922,1.05,constructed
0,0.75,62.94587707519531,1.05,constructed
0,0.8,38.30546188354492,1.05,constructed
0,0.85,20.707136154174805,1.05,constructed
0,0.9,9.448736190795898,1.05,constructed
0,0.95,6.4891533851623535,1.05,constructed
0,1.0,1.7451695384806953e-05,1.05,constructed
1,0.0,0.8552120923995972,1.05,constructed
1,0.05,13.08203411102295,1.05,constructed
1,0.1,30.343935012817383,1.05,constructed
1,0.15,50.72832107543945,1.05,constructed
1,0.2,72.20771789550781,1.05,constructed
1,0.25,92.47844696044922,1.05,constructed
1,0.3,109.51889038085938,1.05,constructed
1,0.35,121.3453140258789,1.05,constructed
1,0.4,126.77861785888672,1.05,constructed
1,0.45,125.47872161865234,1.05,constructed
1,0.5,117.5682373046875,1.05,constructed
1,0.55,103.92745208740234,1.05,constructed
1,0.6,86.13215637207031,1.05,constructed
1,0.65,66.69070434570312,1.05,constructed
1,0.7,47.03182601928711,1.05,constructed
1,0.75,29.61388397216797,1.05,constructed
1,0.8,15.467100143432617,1.05,constructed
1,0.85,7.495492935180664,1.05,constructed
1,0.9,5.97914981842041,1.05,constructed
1,0.95,5.702558994293213,1.05,constructed
1,1.0,1.7451695384806953e-05,1.05,constructed
2,0.0,0.711426317691803,1.05,constructed
2,0.05,1.063010334968567,1.05,constructed
2,0.1,4.452505588531494,1.05,constructed
2,0.15,10.812041282653809,1.05,constructed
2,0.2,14.89600658416748,1.05,constructed
2,0.25,15.503089904785156,1.05,constructed
2,0.3,12.66541862487793,1.05,constructed
2,0.35,7.448111534118652,1.05,constructed
2,0.4,1.53130304813385,1.05,constructed
2,0.45,3.1308956146240234,1.05,constructed
2,0.5,6.107552528381348,1.05,constructed
2,0.55,7.516478538513184,1.05,constructed
2,0.6,7.475252628326416,1.05,constructed
2,0.65,5.751793384552002,1.05,constructed
2,0.7,3.7586939334869385,1.05,constructed
2,0.75,2.3948121070861816,1.05,constructed
2,0.8,1.8029162883758545,1.05,constructed
2,0.85,2.7479641437530518,1.05,constructed
2,0.9,5.09849739074707,1.05,constructed
2,0.95,5.136541366577148,1.05,constructed
2,1.0,1.7451695384806953e-05,1.05,constructed
3,0.0,0.6752505302429199,1.05,constructed
3,0.05,5.439735412597656,1.05,constructed
3,0.1,5.067055702209473,1.05,constructed
3,0.15,4.615427017211914,1.05,constructed
3,0.2,23.430574417114258,1.05,constructed
3,0.25,49.414920806884766,1.05,constructed
3,0.3,78.7406997680664,1.05,constructed
3,0.35,107.22090148925781,1.05,constructed
3,0.4,130.68568420410156,1.05,constructed
3,0.45,145.99757385253906,1.05,constructed
3,0.5,151.48760986328125,1.05,constructed
3,0.55,146.52569580078125,1.05,constructed
3,0.6,132.32240295410156,1.05,constructed
3,0.65,111.0330810546875,1.05,constructed
3,0.7,86.61195373535156,1.05,constructed
3,0.75,61.40546798706055,1.05,constructed
3,0.8,38.14057922363281,1.05,constructed
3,0.85,20.771528244018555,1.05,constructed
3,0.9,9.381673812866211,1.05,constructed
3,0.95,7.0254316329956055,1.05,constructed
3,1.0,1.7451695384806953e-05,1.05,constructed
4,0.0,0.81489098072052,1.05,constructed
4,0.05,10.747018814086914,1.05,constructed
4,0.1,4.878779411315918,1.05,constructed
4,0.15,17.879337310791016,1.05,constructed
4,0.2,54.054962158203125,1.05,constructed
4,0.25,97.7994613647461,1.05,constructed
4,0.3,142.8174285888672,1.05,constructed
4,0.35,182.54437255859375,1.05,constructed
4,0.4,212.802734375,1.05,constructed
4,0.45,228.19383239746094,1.05,constructed
4,0.5,229.6923370361328,1.05,constructed
4,0.55,216.33819580078125,1.05,constructed
4,0.6,190.5794677734375,1.05,constructed
4,0.65,154.8461456298828,1.05,constructed
4,0.7,118.49116516113281,1.05,constructed
4,0.75,80.7615966796875,1.05,constructed
4,0.8,49.60609436035156,1.05,constructed
4,0.85,27.25666046142578,1.05,constructed
4,0.9,12.612278938293457,1.05,constructed
4,0.95,6.194758415222168,1.05,constructed
4,1.0,1.7451695384806953e-05,1.05,constructed
5,0.0,0.721776008605957,1.05,constructed
5,0.05,5.62333345413208,1.05,constructed
5,0.1,4.542214870452881,1.05,constructed
5,0.15,1.7029967308044434,1.05,constructed
5,0.2,0.7660656571388245,1.05,constructed
5,0.25,1.4723631143569946,1.05,constructed
5,0.3,6.07465124130249,1.05,constructed
5,0.35,13.161520004272461,1.05,constructed
5,0.4,20.72774887084961,1.05,constructed
5,0.45,28.26840591430664,1.05,constructed
5,0.5,34.0074462890625,1.05,constructed
5,0.55,36.97075653076172,1.05,constructed
5,0.6,36.45452117919922,1.05,constructed
5,0.65,34.2667236328125,1.05,constructed
5,0.7,29.485992431640625,1.05,constructed
5,0.75,23.439767837524414,1.05,constructed
5,0.8,16.459680557250977,1.05,constructed
5,0.85,10.847738265991211,1.05,constructed
5,0.9,5.6621575355529785,1.05,constructed
5,0.95,4.326516151428223,1.05,constructed
5,1.0,1.7451695384806953e-05,1.05,constructed
6,0.0,0.6426726579666138,1.05,constructed
6,0.05,1.359457015991211,1.05,constructed
6,0.1,6.624875545501709,1.05,constructed
6,0.15,25.466943740844727,1.05,constructed
6,0.2,53.54450225830078,1.05,constructed
6,0.25,87.16289520263672,1.05,constructed
6,0.3,121.70500946044922,1.05,constructed
6,0.35,152.50318908691406,1.05,constructed
6,0.4,175.40090942382812,1.05,constructed
6,0.45,187.54896545410156,1.05,constructed
6,0.5,187.50625610351562,1.05,constructed
6,0.55,175.82562255859375,1.05,constructed
6,0.6,154.31129455566406,1.05,constructed
6,0.65,125.75916290283203,1.05,constructed
6,0.7,94.16918182373047,1.05,constructed
6,0.75,63.065975189208984,1.05,constructed
6,0.8,36.4490852355957,1.05,constructed
6,0.85,16.211124420166016,1.05,constructed
6,0.9,7.005855083465576,1.05,constructed
6,0.95,5.965177059173584,1.05,constructed
6,1.0,1.7451695384806953e-05,1.05,constructed
7,0.0,0.992257833480835,1.05,constructed
7,0.05,22.763689041137695,1.05,constructed
7,0.1,42.578216552734375,1.05,constructed
7,0.15,56.00302505493164,1.05,constructed
7,0.2,61.59960174560547,1.05,constructed
7,0.25,59.40441131591797,1.05,constructed
7,0.3,50.40876388549805,1.05,constructed
7,0.35,36.95977783203125,1.05,constructed
7,0.4,20.92603874206543,1.05,constructed
7,0.45,5.021501541137695,1.05,constructed
7,0.5,5.7074432373046875,1.05,constructed
7,0.55,13.731124877929688,1.05,constructed
7,0.6,17.29881477355957,1.05,constructed
7,0.65,18.708690643310547,1.05,constructed
7,0.7,17.30940055847168,1.05,constructed
7,0.75,14.391714096069336,1.05,constructed
7,0.8,10.781827926635742,1.05,constructed
7,0.85,7.482490062713623,1.05,constructed
7,0.9,5.929627418518066,1.05,constructed
7,0.95,6.013822078704834,1.05,constructed
7,1.0,1.7451695384806953e-05,1.05,constructed
8,0.0,0.6256470680236816,1.05,constructed
8,0.05,6.999561786651611,1.05,constructed
8,0.1,14.732895851135254,1.05,constructed
8,0.15,23.91999626159668,1.05,constructed
8,0.2,33.911399841308594,1.05,constructed
8,0.25,44.279605865478516,1.05,constructed
8,0.3,53.74501037597656,1.05,constructed
8,0.35,61.41933059692383,1.05,constructed
8,0.4,66.33172607421875,1.05,constructed
8,0.45,68.14656066894531,1.05,constructed
8,0.5,66.40475463867188,1.05,constructed
8,0.55,61.28176498413086,1.05,constructed
8,0.6,53.970550537109375,1.05,constructed
8,0.65,44.917510986328125,1.05,constructed
8,0.7,35.007999420166016,1.05,constructed
8,0.75,25.345062255859375,1.05,constructed
8,0.8,16.88494110107422,1.05,constructed
8,0.85,9.556504249572754,1.05,constructed
8,0.9,5.417055606842041,1.05,constructed
8,0.95,5.076995372772217,1.05,constructed
8,1.0,1.7451695384806953e-05,1.05,constructed
9,0.0,0.7528873682022095,1.05,constructed
9,0.05,6.972451210021973,1.05,constructed
9,0.1,11.033167839050293,1.05,constructed
9,0.15,9.17505931854248,1.05,constructed
9,0.2,0.8106556534767151,1.05,constructed
9,0.25,19.7311954498291,1.05,constructed
9,0.3,44.836578369140625,1.05,constructed
9,0.35,71.54551696777344,1.05,constructed
9,0.4,95.82098388671875,1.05,constructed
9,0.45,114.18610382080078,1.05,constructed
9,0.5,124.31433868408203,1.05,constructed
9,0.55,125.11003875732422,1.05,constructed
9,0.6,116.33515930175781,1.05,constructed
9,0.65,100.52790069580078,1.05,constructed
9,0.7,80.14126586914062,1.05,constructed
9,0.75,58.42053985595703,1.05,constructed
9,0.8,36.783870697021484,1.05,constructed
9,0.85,21.58452033996582,1.05,constructed
9,0.9,9.440051078796387,1.05,constructed
9,0.95,5.831315994262695,1.05,constructed
