a,seed,precision,w1,b1,w2,b2,solved,gap,gap_continuous,placement_ok,bias_ok,bias_lo,bias_hi,bias_width,margin_grid,lipschitz,certify_threshold,certified,rho,R,predicted_solved,failure
1.1,195,float32,-0.8237951993942261,2.38205623626709,-2.798212766647339,8.090534210205078,False,-0.3659166334661217,-0.3659166334661217,False,False,8.887730015094021,7.863817419800505,-1.0239125952935166,-0.7971958048889434,4.840823912500198,0.0009686491070535666,False,-20.844649368704655,0.024560561734148886,False,placement
1.1,195,float64,-0.7682801081516331,-2.475276243944131,3.1775068426608364,9.358474159142393,False,-0.25613596256312565,-0.25613596256312565,False,False,10.075561913351532,9.26168813965568,-0.8138737736958516,-0.717087754209139,5.126552131537245,0.0010258233379764373,False,-14.590930944488841,0.02788971371299858,False,placement
1.1,196,float32,-0.0088056707754731,0.1003633216023445,0.6394840478897095,-0.135235995054245,False,-0.0516541609995782,-0.0516541609995782,False,False,-0.11106258577256231,-0.14409459773891933,-0.03303201196635703,-0.024173409281682684,0.011825280582955676,2.36623923620924e-06,False,-2.942508691861677,0.005612899642015708,False,placement
1.1,196,float64,-0.8837497921580991,-2.353256417460599,2.079154486493692,5.840324759920586,False,-0.46459561936013527,-0.46459561936013527,False,False,6.669349278402487,5.703383212004546,-0.9659660663979408,-0.8290245184819014,3.8586499251370974,0.000772116043048944,False,-26.465953985376327,0.01824922062004041,False,placement
1.1,197,float32,-1.172764539718628,-2.020397424697876,0.8643354177474976,2.0251705646514893,False,-1.2778183673153767,-1.2778183673153767,False,False,2.879350791297864,1.7748871189789026,-1.1044636723189614,-0.8541802266463749,2.1286900495500194,0.00042595098540270526,False,-72.79165085029057,0.007586472208127923,False,placement
1.1,197,float64,0.7452598729635507,2.463589382095142,-3.888789276423041,11.529259926777163,False,-0.23613158211648777,-0.23613158211648777,False,False,12.271024572111687,11.352758607752282,-0.9182659643594043,-0.7417646453345235,6.086133064471013,0.0012178355306595324,False,-13.451370022378029,0.034132804421845304,False,placement
1.1,198,float32,-0.8091787099838257,-2.418506145477295,2.852961301803589,8.296184539794922,False,-0.3292910307508996,-0.3292910307508996,False,False,9.06798686469175,8.12853229692842,-0.9394545677633321,-0.7718023248968287,4.847966646237128,0.0009700783684316415,False,-18.75825105637714,0.025041102311186704,False,placement
1.1,198,float64,0.7726754458643748,2.455722611136474,-3.3680857729668077,9.920420205850098,False,-0.2691515941500553,-0.2691515941500553,False,False,10.669487387548209,9.762961732520072,-0.9065256550281375,-0.7490671816981109,5.46511807030683,0.0010935703992609965,False,-15.332373808596587,0.02956246913703163,False,placement
1.1,199,float32,0.8473366498947144,-2.3717052936553955,2.48384690284729,7.068584442138672,False,-0.4025173282175607,-0.4025173282175607,False,False,7.918597035096383,6.918805616060829,-0.9997914190355542,-0.8500125929577109,4.419774478370968,0.0008843970942213044,False,-22.929628784693325,0.02180129971626416,False,placement
1.1,199,float64,-0.4843196147441933,0.6178571847221384,-0.1887777476416973,0.2011380486794598,False,-2.2047540852060155,-2.2047540852060155,False,False,0.5071251498580065,0.09091663954898417,-0.4162085103090224,-0.30598710117854666,0.19200040862121712,3.841929136992839e-05,False,-125.59507179274901,0.0016569460264962855,False,placement
1.15,0,float32,-1.445745587348938,1.6593413352966309,-0.4615712463855743,0.6122480630874634,False,-2.358955352092055,-2.358955352092055,False,False,1.5766386079856378,0.4878126459525867,-1.0888259620330512,-0.9643905448981744,1.4347263743245509,0.00028708881927454747,False,-74.52652021816925,0.007304956402402911,False,placement
