seed,ck_step,level,variant,k,G_4000,placed_4000,dist_4000,w1_4000,b1_4000,G_16000,placed_16000,dist_16000,w1_16000,b1_16000,G_64000,placed_64000,dist_64000,w1_64000,b1_64000,first_hit,settle_step,w2_sign,block4_reproduced_rows,block4_reproduced_all
200001,1514,1.05,preserved,1.0846263396480484,0.010891469014251864,True,0.006274858369944946,-0.8213617053770179,2.4592417259577903,0.010978330557278149,True,0.006217264122832565,-0.821451967211557,2.459360007067051,0.010891543997166853,True,0.006274803355307446,-0.821361787736531,2.4592418293382314,3.0,3.0,-1.0,3258,False
200001,1514,1.05,reset,1.0846263396480484,0.010867819844708748,True,0.006300775024508385,-0.8213263829047559,2.4592064172588337,0.010893495901894035,True,0.006274639133709419,-0.8213625246632869,2.459244113370336,0.010891522625138705,True,0.006274898551479621,-0.8213616759877833,2.4592417743309016,1.0,1.0,-1.0,3258,False
200001,1514,1.1,preserved,1.136275212964622,0.017500370313028757,True,0.0058898293681168175,-0.81605281397508,2.4647815167445617,0.017500005592959944,True,0.005890256729359325,-0.8160522685087646,2.4647809709568684,0.017500371503742063,True,0.005889827932633857,-0.8160528157995384,2.464781518538726,2.0,2.0,-1.0,3258,False
200001,1514,1.1,reset,1.136275212964622,0.017385661464142554,True,0.006030629336633258,-0.8158780598566417,2.4646089888994345,0.017193295853287438,True,0.006272913649203074,-0.8155936582295321,2.464322238218214,0.017500369423763207,True,0.005889830410772724,-0.816052812644313,2.4647815154135873,1.0,1.0,-1.0,3258,False
200002,1776,0.9,preserved,2.0295989483935055,-0.023657569221314123,False,0.015504786461234198,0.8617494398377892,-2.4426277355722235,-0.0236575692081189,False,0.015504786456965132,0.861749439830027,-2.4426277355799826,-0.02365756921498008,False,0.015504786459185103,0.8617494398340632,-2.4426277355759485,,,1.0,3258,False
200002,1776,0.9,reset,2.0295989483935055,-0.02365756922131501,False,0.015504786461233967,0.8617494398377893,-2.442627735572223,-0.023657795163277928,False,0.0155048596045614,0.8617495727697753,-2.4426276027752967,-0.023657067129986054,False,0.015504624180925318,0.8617491445603929,-2.442628031037212,,,1.0,3258,False
200002,1776,0.95,preserved,2.142354445526478,-0.010758298220352014,False,0.015264049781314567,0.854131714839167,-2.450478933439202,-0.010987008148480637,False,0.015336221653192329,0.8542693625609737,-2.450340868113367,-0.010758298141703815,False,0.01526404975678237,0.8541317147917851,-2.4504789334865817,,,1.0,3258,False
200002,1776,0.95,reset,2.142354445526478,-0.010758298220352902,False,0.015264049781314416,0.8541317148391673,-2.4504789334392014,-0.008675877673961718,False,0.014708874541204642,0.8528756703215901,-2.451738827561927,-0.010758183558207346,False,0.015264013965379726,0.8541316457356618,-2.450479002444105,,,1.0,3258,False
200002,1776,1.0,preserved,2.2551099426594505,0.0007823257879220336,True,0.015053148328887052,0.8471559933894216,-2.457665771986567,0.0007823211399213825,True,0.015053149738802988,0.8471559962522568,-2.4576657691210197,0.0007823257869046252,True,0.015053148329196487,0.8471559933900487,-2.4576657719859414,64.0,61976.0,1.0,3258,False
200002,1776,1.0,reset,2.2551099426594505,0.0007823257879215895,True,0.015053148328886582,0.8471559933894215,-2.457665771986566,0.0007823322937503541,True,0.015053146347950819,0.8471559893787356,-2.457665775987319,0.0007827485435090153,True,0.015053019890057806,0.8471557329045006,-2.457666032341665,216.0,63351.0,1.0,3258,False
