seed,level,held_s,global_branch,global_G,global_L
200035,1.0,4.956250000000001,1,0.0018526667507465788,0.3393128216505158
200035,1.05,5.204062500000001,1,0.009925769151780894,0.3315990061509028
200035,1.1,5.451875000000001,1,0.01721579426920039,0.3240764087899701
200036,0.9,4.460625000000001,1,-0.03400694934338011,0.3647780740428868
200036,0.95,4.7084375000000005,1,-0.02357005060748829,0.3568104911311727
200036,1.0,4.956250000000001,1,-0.014233273695101634,0.34904619518400465
200036,1.05,5.204062500000001,1,-0.005838611509551228,0.3414755020677602
200036,1.1,5.451875000000001,1,0.0017432445619949277,0.3340899138217047
200037,0.9,4.460625000000001,1,-0.038132316551508616,0.36303355254723363
200037,0.95,4.7084375000000005,1,-0.027722969659664365,0.3549292314025064
200037,1.0,4.956250000000001,1,-0.01840691080896928,0.3470305514482571
200037,1.05,5.204062500000001,1,-0.010027020847970913,0.33932781863946215
200037,1.1,5.451875000000001,1,-0.0024547002619961233,0.33181253167167485
200038,0.9,4.460625000000001,-1,-0.017090302733472562,0.3617570185995406
200038,0.95,4.7084375000000005,-1,-0.00467760625670266,0.35354711670604566
200038,1.0,4.956250000000001,-1,0.0052694278797189575,0.34554607703567425
200038,1.05,5.204062500000001,-1,0.013219150260023849,0.3377441214626961
200038,1.1,5.451875000000001,-1,0.020403664920962683,0.3301326749987038
200039,0.9,4.460625000000001,1,-0.03670983048132426,0.3669573932988392
200039,0.95,4.7084375000000005,1,-0.02650317423912174,0.3588402724165972
200039,1.0,4.956250000000001,1,-0.017365643022310362,0.3509284003813981
200039,1.05,5.204062500000001,1,-0.009143524763140842,0.3432122779970917
200039,1.1,5.451875000000001,1,-0.0017110298403300028,0.3356835693163417
200040,0.9,4.460625000000001,-1,-0.01280546344376976,0.3633468467027725
200040,0.95,4.7084375000000005,-1,-0.0032408538712629387,0.3552162294881006
200040,1.0,4.956250000000001,-1,0.005298874607363224,0.3472948435666268
200040,1.05,5.204062500000001,-1,0.012961467753308753,0.3395727272484135
200040,1.1,5.451875000000001,-1,0.019867829498903866,0.33204113449477085
200041,0.9,4.460625000000001,-1,-0.015808210752124907,0.36431076858733574
200041,0.95,4.7084375000000005,-1,-0.006173025809733446,0.3562421572610414
200041,1.0,4.956250000000001,-1,0.002438745744403281,0.3483781135291879
200041,1.05,5.204062500000001,-1,0.010174803553309797,0.3407090398467594
200041,1.1,5.451875000000001,-1,0.017155941997051727,0.3332265186039595
200042,0.9,4.460625000000001,-1,-0.05355576111860483,0.34842033294646113
200042,0.95,4.7084375000000005,-1,-0.0424272119522624,0.34052677907838486
200042,1.0,4.956250000000001,-1,-0.03246912938044755,0.3328369284315387
200042,1.05,5.204062500000001,-1,-0.023512585447842405,0.32534094284218296
200042,1.1,5.451875000000001,-1,-0.015419410530778777,0.31803021494249406
200043,0.9,4.460625000000001,1,-0.001907352454594502,0.36114636023853164
200043,0.95,4.7084375000000005,1,0.009808281009763054,0.3530611593505103
200043,1.0,4.956250000000001,1,0.02012802490990806,0.3451811615185668
200043,1.05,5.204062500000001,1,0.027499936969552774,0.33749655326145583
200043,1.1,5.451875000000001,1,0.03414772568039215,0.3299987476112402
200044,0.9,4.460625000000001,1,-0.04442425920208937,0.34131798720824863
200044,0.95,4.7084375000000005,1,-0.03138989108315959,0.3337390304784468
200044,1.0,4.956250000000001,1,-0.02131801362752883,0.32635727297079
200044,1.05,5.204062500000001,1,-0.012268788887058957,0.3191626745896133
200044,1.1,5.451875000000001,1,-0.004100849340646029,0.3121464882166361
200045,0.9,4.460625000000001,1,-0.01834043975189248,0.3606288712436724
200045,0.95,4.7084375000000005,1,-0.008175127528805337,0.35263293965052056
200045,1.0,4.956250000000001,1,0.0009119026277928377,0.34484378052692977
200045,1.05,5.204062500000001,1,0.009075775995726065,0.3372514086590837
200045,1.1,5.451875000000001,1,0.016443424557020414,0.32984706911601025
200046,0.9,4.460625000000001,1,-0.043184139184595516,0.35077303936762183
200046,0.95,4.7084375000000005,1,-0.0325595771391356,0.3430271718181276
200046,1.0,4.956250000000001,1,-0.023069893795730767,0.3354791534525492
200046,1.05,5.204062500000001,1,-0.014550455159356712,0.32811929370573245
200046,1.1,5.451875000000001,1,-0.006866697262399413,0.32093912340781544
200047,0.9,4.460625000000001,-1,-0.01619464129047188,0.3597420333526745
200047,0.95,4.7084375000000005,-1,-0.006484372241037928,0.3516735280180985
200047,1.0,4.956250000000001,-1,0.0021925074968907055,0.34381156646222233
200047,1.05,5.204062500000001,-1,0.009985168745469952,0.33614630925448813
200047,1.1,5.451875000000001,-1,0.01701562264112777,0.32866913168331235
200048,0.9,4.460625000000001,-1,-0.011273474563354036,0.3600029211982838
200048,0.95,4.7084375000000005,-1,-0.0016116347531927033,0.35182628775839986
200048,1.0,4.956250000000001,-1,0.00702651646240815,0.3438587460462621
200048,1.05,5.204062500000001,-1,0.0147886946257203,0.3360904202027834
200048,1.1,5.451875000000001,-1,0.02179573075344221,0.32851265609375635
200049,0.9,4.460625000000001,-1,-0.03326739574571702,0.3473585918196946
200049,0.95,4.7084375000000005,-1,-0.022734967712878085,0.3393298652735695
200049,1.0,4.956250000000001,-1,-0.013319140912123384,0.33151155537077764
200049,1.05,5.204062500000001,-1,-0.004858774726941739,0.3238934601847893
200049,1.1,5.451875000000001,-1,0.002777944373084207,0.3164666494140851
200050,0.9,4.460625000000001,-1,-0.013778574889629525,0.3526339895570784
200050,0.95,4.7084375000000005,-1,-0.004022808802453426,0.34475236383017155
200050,1.0,4.956250000000001,-1,0.0046818897416658345,0.33707580761534733
200050,1.05,5.204062500000001,-1,0.012488044452514835,0.3295943174846629
200050,1.1,5.451875000000001,-1,0.019520318778150525,0.3222991349393709
200051,0.9,4.460625000000001,-1,-0.011631297986747224,0.3577253115555856
200051,0.95,4.7084375000000005,-1,-0.001920069680930503,0.3496601830911301
200051,1.0,4.956250000000001,-1,0.0067577949721076,0.3418035538621963
200051,1.05,5.204062500000001,-1,0.014551502926304138,0.3341454580934382
200051,1.1,5.451875000000001,-1,0.021583081164480156,0.3266771599787296
200052,0.9,4.460625000000001,1,-0.01562894473425347,0.3601127350431977
200052,0.95,4.7084375000000005,1,-0.0032967863718891266,0.3521308884806517
200052,1.0,4.956250000000001,1,0.00676107393258496,0.34435345635836023
200052,1.05,5.204062500000001,1,0.014514139929607595,0.3367705994950083
200052,1.1,5.451875000000001,1,0.021504646861486343,0.32937369843725134
200053,0.9,4.460625000000001,1,-0.021374153681645414,0.3615156173315853
200053,0.95,4.7084375000000005,1,-0.011305743867326523,0.3534514985817986
200053,1.0,4.956250000000001,1,-0.0023011976804996337,0.34559327739842943
200053,1.05,5.204062500000001,1,0.005792834031103755,0.3379311969557379
