a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,16,control,12000,3700.0,True,0.08161327053336631,26.61528214639445,1.14157072592283,0.05563011892673364,0.032765341849307746,5.3634347854649736e-05,6.534232126311611e-05,0.0032706922574340276,0.0013732222253484436
1.3,17,control,12000,,False,-0.0110684651257138,0.9834707329745837,0.042182584892031465,0.6931443460749388,0.0020231242498792447,1.1411871048145943e-06,1.1328159060884424e-06,8.650804465472752e-07,7.5748290421734325e-06
1.3,18,control,12000,2650.0,True,0.08138347555388847,27.741718667896237,1.189885335194443,0.0491750747668918,0.0020765424044984844,0.02045901623929205,0.010799601578270666,0.002905206791278048,0.0011944774882585941
1.3,19,control,12000,2200.0,True,0.08192503485957525,29.22972463792609,1.2537082188310382,0.04369640102486148,0.07221319091899794,0.019716186116026657,0.009884081860865033,0.0024803093493049816,0.0010547142838442983
1.3,20,control,12000,3400.0,True,0.08226556682771369,26.291926348993915,1.1277014943159847,0.05370444871940348,0.012857138047490734,0.025960086515203377,0.011569761211965018,0.0033139765629639716,0.001375525975523146
1.3,21,control,12000,8500.0,True,0.08395211605645736,14.722493458549517,0.631470575905478,0.1445121163212709,0.008929078836618545,0.00019509265685748223,0.00013849541255800965,0.010918370822873452,0.003932794813035826
1.3,22,control,12000,3550.0,True,0.08260192130800847,24.896146687293523,1.0678343400671053,0.06220089341776042,0.05827689066510935,0.05118737976275874,0.01308692070237103,0.0038034473517956184,0.0015709827713021821
1.3,23,control,12000,2800.0,True,0.08135720918480205,28.18662812427675,1.2089681917389128,0.043386435478121585,0.00014810155101776018,9.61581233196169e-05,0.012142745913779129,0.002745106961048545,0.001115147091562157
1.3,24,control,12000,2800.0,True,0.0820627154508844,28.2167045556462,1.2102582165225217,0.03826534790974535,0.004302427105371999,0.0008327158011106048,0.01102617123492286,0.0035158017647835124,0.0010576470185020832
1.3,25,control,12000,4350.0,True,0.08208214707646899,24.128098273644877,1.034891552525342,0.060168643073428854,0.05200591684483761,0.001769129561525281,0.015046230070371648,0.0038740431732579815,0.0016247499462720583
1.3,26,control,12000,3250.0,True,0.08234729172926825,27.984206556594383,1.2002860167880491,0.04866870217882061,0.03723388856953014,0.00011659072224611611,0.001172238688347891,0.002815159606224221,0.0028237505491706073
1.3,27,control,12000,3200.0,True,0.08122982890635777,25.87395431950371,1.1097740257850823,0.05380837534380393,0.06790451790568791,0.022117801376200296,0.01105952756911172,0.003138045172539248,0.001303027589882609
1.3,28,control,12000,3150.0,True,0.08245366347414818,27.163179759741258,1.165070904232397,0.0528091119511249,0.007642565485907501,0.03794179265900726,0.010776292107869602,0.0030750566901791474,0.0012943275545911268
1.3,29,control,12000,6850.0,True,0.08279067313712662,18.3901804178544,0.7887833573955126,0.09956532330972646,0.034150593816927345,0.00016977819336928362,0.0001569127190248597,0.006890803430331037,0.0027728671525003483
1.3,30,control,12000,2800.0,True,0.08219289960916143,27.66916984696069,1.186773603756666,0.050917929254093296,0.05669051497535537,0.01926823871649634,0.010649300392860377,0.002906779915918414,0.0036602638167164366
1.3,31,control,12000,2100.0,True,0.08171124763661242,29.592054861181637,1.2692491240038828,0.04074125475855292,0.01170022032756511,0.01588308147729931,0.008764148678416876,0.0023425559493924584,0.0009697781339696589
1.3,32,control,12000,3050.0,True,0.08183560150924496,27.38857050563668,1.1747382628571479,0.052559500281781,0.0790014249724179,0.02067116597875865,0.011045217759870298,0.0031150999861595478,0.0013027810009441033
1.3,33,control,12000,2550.0,True,0.08182460527475266,28.35672205027717,1.2162637840047146,0.0430863124757976,0.0013221809964909822,0.0008098272769957431,0.010362364950526335,0.0026464990229117472,0.00109184609075511
1.3,34,control,12000,2550.0,True,0.08126244230465529,27.33467709762708,1.172426691010358,0.04978776292055727,0.05419359497704183,0.02012456745869739,0.010925057588046355,0.0029991550370819004,0.0012363253435568736
1.3,35,control,12000,3700.0,True,0.08209579615239582,25.12444390452057,1.077626361754591,0.0588117078517367,0.04474618165397766,0.035325879766005076,0.012725373014439328,0.003645503891920029,0.005227309398392206
1.3,36,control,12000,2450.0,True,0.0826759791682452,29.305760438637893,1.2569695122389857,0.03922262618993006,0.0009445300501620974,0.11512841242300914,0.009278246921380875,0.0024028507587077123,0.0009868253267394265
1.3,37,control,12000,3650.0,True,0.08148078528590696,25.88480182235571,1.1102392920045834,0.05411087306542976,0.01576128674313857,0.00019491568183173347,0.00014684354403546565,0.003419613345491436,0.0013957538277660961
1.3,38,control,12000,2000.0,True,0.08154097603958954,30.067009248024235,1.2896206542091933,0.03501562740715122,0.15933880174319345,0.013440711228911183,0.008103326367822343,0.002085687427583416,0.00086075469343604
1.3,39,control,12000,2150.0,True,0.08165952281699385,29.837016053218527,1.279755889413257,0.041010184033744554,0.06005950700980831,0.020486709900947808,0.009540447921712825,0.0023022137643680424,0.0009743873648000276
1.3,0,jump,12000,,False,-0.030960627301858,5.157639905032564,0.22121917393365667,0.6925460369221845,0.24125950168239552,1.4777999630055982e-05,1.475279876419688e-05,1.519806595887831e-05,1.1239095204195695e-05
1.3,1,jump,12000,,False,-0.013895230405531311,5.66063272841083,0.24279331616365693,0.6930198902135021,5.464032766738244,1.2523622557550015e-05,1.252598737144778e-05,0.0009884837853343146,0.006631420595383793
1.3,2,jump,12000,,False,-0.009865181907589976,4.767369928527418,0.20447988941529888,0.6930920468041424,0.06678440210566594,5.519803069758671e-07,5.519131042493768e-07,5.539550191656234e-07,0.002545952668388218
1.3,3,jump,12000,,False,-0.04449196626210261,6.078289786795717,0.2607072750953987,0.691406339037867,1.5464268953164606,0.0005383285274670024,0.0004931338841834502,0.005276423892302601,0.00046145454409574603
