a,seed,precision,exact_sep,grid_solved,agree,exact_gap,grid_gap,certified,inner_max_logit,outer_min_logit
1.02,96,float64,False,False,True,-0.08672041272930292,-0.0868363398914913,False,0.03404758933127039,-0.09721142219051276
1.02,97,float32,False,False,True,-0.7233290971675665,-0.7233290971675665,False,0.24719162623650082,-0.894227860916879
1.02,97,float64,False,False,True,-0.3325436620743214,-0.3325436620743214,False,0.23605275609374665,-0.8939295963159566
1.02,98,float32,False,False,True,-0.4439284384863713,-0.4439284384863713,False,0.29770292392346853,-0.9182186931117453
1.02,98,float64,False,False,True,-0.5661406848392159,-0.5661406848392159,False,0.3021322537617559,-0.9190520809124969
1.02,99,float32,False,False,True,-0.049721075537414006,-0.0497631698751703,False,0.0030232998596643884,-0.007113591618115166
1.02,99,float64,False,False,True,-0.36123709212789423,-0.3612370921278942,False,0.22079189309157776,-0.8688712351612384
1.02,100,float32,False,False,True,-0.47583169007331616,-0.4758316900733161,False,0.17815900059191225,-0.8140869085837092
1.02,100,float64,False,False,True,-0.07999160905616914,-0.0800406170258582,False,0.06314582454649514,-0.15039366421310404
1.02,101,float32,False,False,True,-0.9985441177960901,-0.99854411779609,False,0.2655241212813073,-0.8853488360674806
1.02,101,float64,False,False,True,-0.6247849459729138,-0.6247849459729138,False,0.26233803188079285,-0.8912842768718194
1.02,102,float32,False,False,True,-0.6869383719272482,-0.6869383719272482,False,0.26231388415429446,-0.8654320423218724
1.02,102,float64,False,False,True,-0.4008407970185055,-0.4008407970185055,False,0.23870064935668545,-0.8115098163039987
1.02,103,float32,False,False,True,-0.11441882532887523,-0.114578652035353,False,0.007308896422889795,-0.01957351162374927
1.02,103,float64,False,False,True,-0.38627617295514804,-0.386276172955148,False,0.24202052920569095,-0.8831822557807243
1.02,104,float32,False,False,True,-0.5414940074090779,-0.5414940074090779,False,0.27383620777104145,-0.9069217018317888
1.02,104,float64,False,False,True,-0.5339268887379389,-0.5339268887379389,False,0.2521591909758101,-0.793267854539371
1.02,105,float32,False,False,True,-0.6157835676117154,-0.6157835676117154,False,0.22717138132450554,-0.9901988165791575
1.02,105,float64,False,False,True,-0.8498499118880591,-0.8498499118880591,False,0.23302684336613178,-0.9891123006473928
1.02,106,float32,False,False,True,-0.42690813931801497,-0.4269081393180149,False,0.21482272065927788,-0.9219241816160899
1.02,106,float64,False,False,True,-0.42025960078066893,-0.4202596007806689,False,0.2144395967124053,-0.9218671328519852
1.02,107,float32,False,False,True,-0.6985030277629276,-0.6985030277629276,False,0.2685832274579285,-0.9144544997422335
1.02,107,float64,False,False,True,-1.8658522957546326,-1.865852295754633,False,0.3807126791173556,-1.0317718794991404
1.02,108,float32,False,False,True,-0.47568737234626646,-0.4756873723462664,False,0.2616703315591691,-0.8769644440231295
1.02,108,float64,False,False,True,-0.06499468665889718,-0.0650011226914762,False,0.015909476634230403,-0.04133770606979696
1.02,109,float32,False,False,True,-0.525997074057198,-0.525997074057198,False,0.24517055681429412,-1.0292022709510888
1.02,109,float64,False,False,True,-0.4018725943610013,-0.4018725943610013,False,0.23975682710993418,-1.0253515611162225
1.02,110,float32,False,False,True,-0.49236254083244724,-0.4923625408324472,False,0.2034921184615719,-1.011175195045185
1.02,110,float64,False,False,True,-0.677991596610962,-0.677991596610962,False,0.2094522993439334,-1.0119988815798244
1.02,111,float32,False,False,True,-0.6728646929041631,-0.6728646929041631,False,0.18827427443768396,-0.9236027287803692
1.02,111,float64,False,False,True,-0.055491848599197424,-0.0555746953461332,False,0.008792762966426282,-0.025200170098184538
1.02,112,float32,False,False,True,-0.7385613635515482,-0.7385613635515482,False,0.29365287982561883,-0.8735523233478286
1.02,112,float64,False,False,True,-0.6003445497777848,-0.6003445497777848,False,0.2907537768035562,-0.8780472915047941
1.02,113,float32,False,False,True,-0.5517420741827088,-0.5517420741827088,False,0.20319834036323758,-1.0776878889573647
1.02,113,float64,False,False,True,-0.7567985385691101,-0.7567985385691101,False,0.21074585371015608,-1.0804925173690778
1.02,114,float32,False,False,True,-0.5135730166424572,-0.5135730166424572,False,0.2527200090793915,-0.8020547151750428
1.02,114,float64,False,False,True,-0.006251187739312103,-0.0062536856945303,False,0.0009325186106977634,-0.0021764066145957273
1.02,115,float32,False,False,True,-0.6124723832189307,-0.6124723832189307,False,0.25308445526497003,-0.9493110892631638
1.02,115,float64,False,False,True,-0.34145662392478426,-0.3414566239247842,False,0.24101951116950104,-0.9498538999489092
1.02,116,float32,False,False,True,-0.32466459243869217,-0.3246645924386921,False,0.24667923165256234,-0.8134123119508061
1.02,116,float64,False,False,True,-0.5324255222365122,-0.5324255222365122,False,0.2789870813609836,-0.9291057310925117
1.02,117,float32,False,False,True,-0.05599573185812734,-0.0561192230590734,False,0.004653724765923295,-0.012249912188145251
1.02,117,float64,False,False,True,-0.023104470859253157,-0.0231518423015717,False,0.004826906186011559,-0.0126880891613812
1.02,118,float32,False,False,True,-0.4084052484755043,-0.4084052484755043,False,0.11936344455111403,-1.2172435260624042
1.02,118,float64,False,False,True,-1.0393527645154421,-1.039352764515442,False,0.14854508033030456,-1.2261284333339026
1.02,119,float32,False,False,True,-0.5432154362274004,-0.5432154362274004,False,0.22247072992512607,-0.8953783578625485
1.02,119,float64,False,False,True,-0.6658352181101881,-0.6658352181101881,False,0.2250658484485859,-0.8965095574099964
1.02,120,float32,False,False,True,-0.230045529442125,-0.230045529442125,False,0.04463264721662684,-0.10431819453866045
1.02,120,float64,False,False,True,-0.1488801303330006,-0.1490486583994105,False,0.042777723190003725,-0.09892083672467536
1.02,121,float32,False,False,True,-0.033598622027619096,-0.033598622027619,False,0.00701690804618324,-0.01777583419481793
1.02,121,float64,False,False,True,-0.15562156175187503,-0.155621561751875,False,0.007183328867883936,-0.0189844287450784
1.02,122,float32,False,False,True,-0.7409961557571005,-0.7409961557571005,False,0.24441944511449698,-1.0002152035678584
1.02,122,float64,False,False,True,-0.31746070087784983,-0.3174607008778498,False,0.05353754135581853,-0.16200193494778384
