activation,width,depth,seed,layer,final_layer,distortion,native_min_distance,reportable_native,rand_n,rand_n_reportable,rand_frac_zero_all,rand_frac_zero_reportable,rand_any_nonzero_reportable,rand_distinct_all,rand_distinct_reportable,rand_min_proj_dist,rand_median_proj_dist,pca_n,pca_n_reportable,pca_frac_zero_all,pca_frac_zero_reportable,pca_any_nonzero_reportable,pca_distinct_all,pca_distinct_reportable,pca_min_proj_dist,pca_median_proj_dist
gelu,4,12,0,2,False,0.9030893201864976,0.21010317425833985,True,48,47,0.9791666666666666,1.0,False,"(-1, 0)","(0,)",0.00136613366879938,0.1741129734394812,4,3,0.75,1.0,False,"(-1, 0)","(0,)",0.004539732172779508,0.13941378650489433
gelu,4,12,0,3,False,0.9087344867290948,0.3450953235836317,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.12568835186524407,0.3111291943947112,4,4,1.0,1.0,False,"(0,)","(0,)",0.08710688996919445,0.32989627222004064
gelu,4,12,0,4,False,0.9861481997738729,0.5065091550224611,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.14439965407909788,0.4790726407091245,4,4,1.0,1.0,False,"(0,)","(0,)",0.037239982482500995,0.5044166965743809
gelu,4,12,0,5,False,0.9960174973246271,0.7186434370269513,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.3347033930575757,0.6582308823930083,4,3,1.0,1.0,False,"(0,)","(0,)",0.006683689609893495,0.708609115371545
gelu,4,12,0,6,False,0.9995805514380517,0.5694670990842521,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.17332349792487858,0.4837548690004385,4,3,1.0,1.0,False,"(0,)","(0,)",0.01441228702030877,0.5453603400960386
gelu,4,12,0,7,False,0.9998911439472036,0.5721134822405344,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.22012122932324157,0.5477060904058213,4,3,1.0,1.0,False,"(0,)","(0,)",0.005430725006428276,0.5669459009660114
gelu,4,12,0,8,False,0.9999952912592557,1.380690946276839,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.18511219518944078,1.2967147461333797,4,3,1.0,1.0,False,"(0,)","(0,)",9.760430921645758e-05,1.3805097928898864
gelu,4,12,0,9,False,0.9999988649570892,1.740183575905984,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.7365209534097298,1.5213809869265498,4,3,1.0,1.0,False,"(0,)","(0,)",0.0007297330244889069,1.7388169712051422
gelu,4,12,0,10,False,0.9999996771337143,3.248444874579156,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.360745588468633,2.944747994320788,4,3,1.0,1.0,False,"(0,)","(0,)",0.003286768706180109,3.244329029663662
gelu,4,12,0,11,False,0.9999999821676633,6.282014625589724,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.369949533406711,5.848098143625069,4,3,1.0,1.0,False,"(0,)","(0,)",5.116654369747859e-05,6.281194371117451
gelu,4,12,0,12,True,0.999999997184387,11.856035702193989,True,48,48,1.0,1.0,False,"(0,)","(0,)",6.061548218788123,11.417061938848285,4,3,0.75,1.0,False,"(0, 2)","(0,)",9.30970941066875e-05,11.847428773356334
gelu,5,12,0,1,False,0.5700260819167094,0.23440137360204166,True,48,37,0.5833333333333334,0.6486486486486487,True,"(-1, 0, 1)","(-1, 0, 1)",0.003588036182060568,0.05317212004527502,10,9,0.7,0.6666666666666666,True,"(-1, 0, 1)","(-1, 0, 1)",0.013918104713814291,0.06508687555229561
gelu,5,12,0,2,False,0.6573115805273535,0.07025664684619337,True,48,37,0.9166666666666666,0.972972972972973,True,"(-1, 0, 1)","(0, 1)",0.0018995790304592243,0.04204007914975999,10,3,0.8,1.0,False,"(-1, 0, 1)","(0,)",0.002181244285724405,0.011489868814222742
gelu,5,12,0,3,False,0.9541289071943149,0.034010463599158734,True,48,16,0.9791666666666666,1.0,False,"(-2, 0)","(0,)",0.0008529356272472463,0.014324053892900696,10,2,0.8,1.0,False,"(-1, 0, 1)","(0,)",0.001523006018986807,0.008833760593826812
