a,seed,precision,w1,b1,w2,b2,solved
1.02,44,float64,1.105799725955772,2.108653459691814,-1.0207341694088576,2.506459275658955,False
1.02,45,float32,-0.9870532751083374,2.245891809463501,-1.5551689863204956,4.051078796386719,False
1.02,45,float64,-0.8329174069167925,2.389027541542804,-2.5409191398352546,7.137722258364639,False
1.02,46,float32,-0.04435743764042854,-0.04939733445644379,-0.5868241190910339,-0.058908797800540924,False
1.02,46,float64,-0.03735438584944653,-0.22050683200235305,-0.6338488584363398,-0.2808022458001199,False
1.02,47,float32,-0.9087895750999451,-2.285511016845703,1.8187963962554932,4.953568935394287,False
1.02,47,float64,0.8342197460030366,2.3575690362655566,-2.336905218872269,6.575102642191908,False
1.02,48,float32,0.010179372504353523,-0.18911245465278625,-0.8889215588569641,-0.3387819528579712,False
1.02,48,float64,0.8620439175448604,2.3198856010029507,-1.8903624118246884,5.265077154078468,False
1.02,49,float32,-0.9651228189468384,2.256725788116455,-1.481652855873108,3.930428981781006,False
1.02,49,float64,-1.0279767322561186,2.196974007414549,-1.2359925278219848,3.1622767266860308,False
1.02,50,float32,-0.05404836684465408,0.05391761288046837,-1.0568675994873047,0.10869985818862915,False
1.02,50,float64,0.9331268533883367,-2.2560574913212683,1.6449136797386843,4.431934282188338,False
1.02,51,float32,0.7795584797859192,2.4118411540985107,-2.2431082725524902,6.481395721435547,False
1.02,51,float64,-0.8736720977989773,2.3215669686919145,-1.9894377211078624,5.510435256129906,False
1.02,52,float32,0.7939642071723938,-2.393444776535034,2.4521594047546387,7.048087120056152,False
1.02,52,float64,0.6782309042476465,-2.5059080663246176,3.9400961158936676,11.71774874434813,False
1.02,53,float32,0.8515347242355347,-2.329105854034424,2.0993409156799316,5.864940166473389,False
1.02,53,float64,0.8893798047747535,-2.2917311200856236,1.8495289790346028,5.080941438498813,False
1.02,54,float32,0.9840981960296631,-2.183737277984619,1.321922779083252,3.4524612426757812,False
1.02,54,float64,0.7770311064850012,-2.391731112239927,2.631373607953748,7.557056200499992,False
1.02,55,float32,-0.028629790991544724,0.5024235844612122,0.11928008496761322,-0.11857195198535919,False
1.02,55,float64,-0.018242603536196823,0.33259686251679726,0.38745498985485327,-0.25827659503201944,False
1.02,56,float32,0.9013877511024475,2.2838637828826904,-1.6543421745300293,4.609438419342041,False
1.02,56,float64,0.7736466787412953,-2.4354234100159755,2.863523543901761,8.27043943530826,False
1.02,57,float32,0.01849876530468464,0.08549342304468155,-0.7251890897750854,0.12437932938337326,False
1.02,57,float64,0.895985905130611,-2.307259388263913,1.6724232933291867,4.637805478575672,False
1.02,58,float32,-1.0268888473510742,2.181994915008545,-1.217858076095581,3.119565725326538,False
1.02,58,float64,0.800691110053204,-2.3994206312404804,2.510178605017787,7.168556490315895,False
1.02,59,float32,-0.011584833264350891,0.7604544162750244,0.17917494475841522,-0.26237615942955017,False
1.02,59,float64,0.01229434344016547,-0.15665401128138776,-0.395779170552048,-0.12551608035054068,False
1.02,60,float32,-0.8285526633262634,-2.35239839553833,1.985611915588379,5.627866268157959,False
1.02,60,float64,0.03660923483175885,0.27966966802020615,0.4501770571508709,-0.25397866585885714,False
1.02,61,float32,-0.7633119225502014,2.4252140522003174,-2.7605443000793457,7.960596561431885,False
1.02,61,float64,0.02436280860478966,0.1896656512725408,0.7460454160959448,-0.2865461374138838,False
1.02,62,float32,0.8586739301681519,2.3141233921051025,-2.2275843620300293,6.19950008392334,False
1.02,62,float64,-0.8440081521446366,-2.32891029266365,2.3414856559790054,6.558275424478409,False
1.02,63,float32,0.7641398906707764,-2.412403106689453,2.890148162841797,8.334334373474121,False
1.02,63,float64,0.748715779500889,-2.4275116604383866,3.0726495579838984,8.905970903145544,False
1.02,64,float32,-0.9641173481941223,-2.2513511180877686,1.77324378490448,4.682688236236572,False
1.02,64,float64,-0.8708210894536454,-2.3389907683082156,2.3687744562252884,6.545837970214409,False
1.02,65,float32,-0.012031632475554943,-0.05708181485533714,-0.26673632860183716,-0.030795089900493622,False
1.02,65,float64,-0.006097497423778343,-0.08138350056807814,-0.540583630412378,-0.08882125002079341,False
1.02,66,float32,-0.01408056914806366,-0.5967288613319397,-0.20586727559566498,-0.24084345996379852,False
1.02,66,float64,0.9503687436532755,2.244863734746464,-1.4018242652456778,3.7714786212026175,False
1.02,67,float32,-0.7622085213661194,-2.421304225921631,2.8277440071105957,8.150651931762695,False
1.02,67,float64,0.8307650613057134,2.3542695195010106,-2.1898233565211473,6.150011083025809,False
1.02,68,float32,-0.016336796805262566,-0.09697850793600082,-0.7136054039001465,-0.14062701165676117,False
1.02,68,float64,0.01693430524709136,0.2992475490114457,0.6115926473271892,-0.36771941917714673,False
1.02,69,float32,0.8287517428398132,2.3498740196228027,-2.07173752784729,5.832526206970215,False
1.02,69,float64,0.7269253133275281,2.4497948956205304,-3.0646595835240866,8.944624873813689,False
1.02,70,float32,-0.020875729620456696,-0.05703625828027725,-0.8377014398574829,-0.09726771712303162,False
1.02,70,float64,-0.7501189993417727,2.4403840342219305,-2.8971041804086837,8.4191499641507,False
1.02,71,float32,0.7099908590316772,-2.480644941329956,3.9166808128356934,11.475610733032227,False
1.02,71,float64,-0.9759830880959406,2.2238635760044456,-1.5422637477334304,4.030355707849029,False
1.02,72,float32,0.831548810005188,2.3535313606262207,-2.24273419380188,6.322763919830322,False
1.02,72,float64,-0.023052622067820945,0.23724339012840878,0.9037372602437153,-0.4329447506393374,False
1.02,73,float32,0.87140291929245,-2.359482765197754,2.0561983585357666,5.735775470733643,False
1.02,73,float64,-0.9024476590279467,-2.2913367299943057,1.5847502842015393,4.4026937324571565,False
1.02,74,float32,0.0166180282831192,0.09764038771390915,0.33840933442115784,-0.06706522405147552,False
1.02,74,float64,-0.8078038897460593,2.3851279331631168,-2.3138946905101876,6.583655843017386,False
1.02,75,float32,-0.749416172504425,-2.4376657009124756,2.938716411590576,8.52080249786377,False
1.02,75,float64,-0.6810615141764156,-2.5040578562159608,3.921377112404685,11.60570411238268,False
