a,seed,optimiser,cross_step,cross_w2,cross_R,local_rate,final_placed,final_solved,R_final
1.25,30,adamw,4075.0,7.204810690391856,0.23864621149825055,0.001824795896757664,True,True,0.8268645723062885
1.25,31,adamw,3150.0,7.089941340602302,0.2348413738248469,0.0019433694840599992,True,True,0.8451185490683735
1.25,32,adamw,4375.0,7.393753959640459,0.24490461263214913,0.0018274762606925767,True,True,0.8253603247308944
1.25,33,adamw,3600.0,7.090869015885334,0.23487210137638287,0.0019068435079195147,True,True,0.834920024306771
1.25,34,adamw,3625.0,6.120860173347537,0.20274232790431154,0.0018154263573385136,True,True,0.8251033456213909
1.25,35,adamw,5100.0,6.922018603522293,0.22927923947452972,0.0017575572400575735,True,True,0.8056079802104407
1.25,36,adamw,3650.0,7.961109072014304,0.26369721579141664,0.0018798234494654445,True,True,0.8430099160947261
1.25,37,adamw,4150.0,6.402447570848872,0.21206939679023817,0.0022321496513281053,True,True,0.8221167758216074
1.25,38,adamw,3100.0,7.587828001494175,0.25133296124931775,0.0019086285302353006,True,True,0.8491682372152517
1.25,39,adamw,3175.0,6.940006204628513,0.22987504594917668,0.0020278929690168185,True,True,0.8470453247637296
1.25,40,adamw,3575.0,7.123327807743475,0.23594723964713382,0.001890811677315145,True,True,0.8366947933696068
1.25,41,adamw,5350.0,7.8907399062646775,0.26136636553953757,0.00177810328212259,True,True,0.8106856006803501
1.25,42,adamw,3425.0,6.869337306319762,0.22753426760303233,0.0018995443409169795,True,True,0.83571126706912
1.25,43,adamw,5050.0,7.455134815166064,0.2469377415038406,0.001781401794963479,True,True,0.8120523494687207
1.25,44,adamw,2850.0,7.11521542899228,0.23567853189915738,0.0021856461406359997,True,True,0.8545035688182796
1.25,45,adamw,5225.0,7.227516867153923,0.23939831218413024,0.0017674914889371923,True,True,0.8073842637839668
1.25,46,adamw,5200.0,7.844087230014408,0.2598210807400038,0.0019104029291308966,True,True,0.8138878427367757
1.25,47,adamw,4500.0,7.320074174486324,0.2424641041515463,0.0018332807106191246,True,True,0.8245452124650371
1.25,48,adamw,5525.0,6.701907059119204,0.2219884460815989,0.0022459306732685994,True,True,0.7970968184639928
1.25,49,adamw,4625.0,6.32344113927075,0.2094524528634174,0.0017365586339086545,True,True,0.8083218668378623
1.25,50,adamw,4350.0,7.2242442653852015,0.2392899132202422,0.002029581326292817,True,True,0.8259965579163732
1.25,51,adamw,3000.0,5.891674914734661,0.19515098427995395,0.0018982993422374203,True,True,0.8341535976088573
1.25,52,adamw,3275.0,6.762131872519017,0.22398328316666224,0.0020618789720636245,True,True,0.8421450780742085
1.25,53,adamw,4025.0,7.344453493408343,0.24327162461942012,0.0018581691256321293,True,True,0.8313400733943042
1.25,54,adamw,4600.0,7.283849994413333,0.2412642442647934,0.0018881509326810154,True,True,0.8199133497763177
1.25,55,adamw,6000.0,6.335184927510774,0.209841444426493,0.002251250966034971,True,True,0.7844521255956102
1.25,56,adamw,4625.0,7.431910639005442,0.24616848303278993,0.0017831441695090407,True,True,0.8170900024903139
1.25,57,adamw,5625.0,6.828706926370235,0.22618846038291762,0.002170861039231562,True,True,0.7961148181900679
1.25,58,adamw,4075.0,6.549095162445934,0.21692683075538768,0.001944807046650565,True,True,0.8228145924996152
1.25,59,adamw,7025.0,5.992571980693882,0.1984930155389526,0.002358594169094815,True,True,0.7575398402664111
