activation,parameter,depth,seed,layer,layer_determinant,linking_number,converged,residual,min_distance,regime
sin_family,1.0,3,4,1,-0.36463946926831414,1.0,True,2.6917405326898347e-07,0.11372535536724059,exact (d=3)
sin_family,1.0,3,4,2,-3.3816336138115086,-1.0,True,1.1402072158661625e-05,0.4746552694575194,exact (d=3)
sin_family,1.0,3,4,3,0.9932098963884627,-1.0,True,0.0008151376527698595,0.10268976060480499,exact (d=3)
sin_family,0.95,8,1,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
sin_family,0.95,8,1,1,-6.688326846084146,1.0,True,3.4913355517751654e-07,0.8792947022445095,exact (d=3)
sin_family,0.95,8,1,2,-0.0004933977487025868,,True,,0.003816385228485454,artifact (too close)
sin_family,0.95,8,1,3,0.2786117890409863,,True,,0.002693633753443369,artifact (too close)
sin_family,0.95,8,1,4,-0.16400052663903228,,True,,0.0015404515675989186,artifact (too close)
sin_family,0.95,8,1,5,0.36315290785135385,,True,,0.0032503268993496455,artifact (too close)
sin_family,0.95,8,1,6,-0.05107080940834307,,True,,0.00167400067539288,artifact (too close)
sin_family,0.95,8,1,7,-0.15821970972866015,,True,,0.0028253580292610125,artifact (too close)
sin_family,0.95,8,1,8,0.5147462523788715,,True,,0.008177247064933491,artifact (too close)
sin_family,1.0,5,14,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
sin_family,1.0,5,14,1,0.7915962629935139,-1.0,True,1.1958924606148003e-07,0.8158994812758801,exact (d=3)
sin_family,1.0,5,14,2,-1.4619992271900095,1.0,True,1.2605610528737543e-06,0.646945200182667,exact (d=3)
sin_family,1.0,5,14,3,-1.1483554663671252,-1.0,True,8.813469289936648e-07,0.7982492015574986,exact (d=3)
sin_family,1.0,5,14,4,-0.0010493189764008625,,False,,0.0024455862784740845,artifact (too close)
sin_family,1.0,5,14,5,-0.002692515179528934,,True,,0.0015020181507527561,artifact (too close)
tanh,,8,8,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
tanh,,8,8,1,1.3456960907741347,-1.0,True,8.102198989501375e-08,0.10469549178647984,exact (d=3)
tanh,,8,8,2,0.01197046410398898,,True,,0.002641603053788957,artifact (too close)
tanh,,8,8,3,-0.696958347042961,,True,,0.00041102626257921916,artifact (too close)
tanh,,8,8,4,-3.5550129008112497,,True,,0.00040094575247250747,artifact (too close)
tanh,,8,8,5,1.6160814169188114,,True,,8.754311342622582e-05,artifact (too close)
tanh,,8,8,6,0.6963090735106127,,True,,0.00010035020584899441,artifact (too close)
tanh,,8,8,7,0.3225761875335273,,True,,8.102867393152548e-05,artifact (too close)
tanh,,8,8,8,0.19300700435474816,,True,,0.00010025492682717136,artifact (too close)
tanh,,5,12,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
tanh,,5,12,1,-0.003423920694044693,,True,,0.0009606043757375778,artifact (too close)
tanh,,5,12,2,-3.499042487026213,,True,,0.0014648596363609763,artifact (too close)
tanh,,5,12,3,-0.3424107642601305,,True,,0.0006155186740137866,artifact (too close)
tanh,,5,12,4,0.10970462424639296,,True,,0.00023454052980083042,artifact (too close)
tanh,,5,12,5,2.116221513460192,,True,,0.00016763959244852004,artifact (too close)
gelu,,3,10,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
gelu,,3,10,1,-7.241082828817177,0.0,True,3.732114432455072e-08,0.1469644560495473,exact (d=3)
gelu,,3,10,2,-0.7427460771966823,0.0,True,9.06035717521562e-09,0.40005439621015537,exact (d=3)
gelu,,3,10,3,0.18692935186165408,0.0,True,3.0233024865760917e-10,2.399278975336495,exact (d=3)
