seed,raw_distance,normalized_distance,init_norm,a,kind
192,23381.935546875,1.000018460772529,2.282733678817749,1.02,constructed
193,23382.05078125,1.000023389214064,2.700817108154297,1.02,constructed
194,23381.8359375,1.0000142005942532,2.482640027999878,1.02,constructed
195,23381.724609375,1.000009439218533,2.6759424209594727,1.02,constructed
196,23381.4140625,0.9999961574862609,2.524729013442993,1.02,constructed
197,23381.251953125,0.9999892242549491,2.5909712314605713,1.02,constructed
198,23381.33203125,0.9999926491041513,2.3976314067840576,1.02,constructed
199,23381.185546875,0.9999863841360985,2.5958476066589355,1.02,constructed
0,6017.4677734375,1.0000012983052735,2.5122170448303223,1.05,constructed
1,6017.03515625,0.9999294046507567,2.4922006130218506,1.05,constructed
2,6017.298828125,0.9999732224537353,2.3620190620422363,1.05,constructed
3,6017.4638671875,1.0000006491526368,2.552370309829712,1.05,constructed
4,6017.05908203125,0.9999333807106566,2.7002878189086914,1.05,constructed
5,6017.3447265625,0.9999808499972167,2.389878511428833,1.05,constructed
6,6017.1044921875,0.9999409271100584,2.6552016735076904,1.05,constructed
7,6017.958984375,1.000082929249341,2.6164448261260986,1.05,constructed
8,6017.1845703125,0.9999542347391113,2.557216167449951,1.05,constructed
9,6016.9951171875,0.9999227508362303,2.6168580055236816,1.05,constructed
10,6017.341796875,0.9999803631327392,2.445600986480713,1.05,constructed
11,6017.9072265625,1.0000743279769044,2.4674220085144043,1.05,constructed
12,6017.412109375,0.9999920478802001,2.631342887878418,1.05,constructed
13,6017.27880859375,0.9999698955464721,2.2976980209350586,1.05,constructed
14,6017.59765625,1.0000228826304445,2.424558162689209,1.05,constructed
15,6017.92724609375,1.0000776548841677,2.6178224086761475,1.05,constructed
16,6017.14794921875,0.999948148933142,2.6108415126800537,1.05,constructed
17,6018.02880859375,1.0000945328527224,2.579878807067871,1.05,constructed
18,6017.17822265625,0.9999531798660766,2.4322378635406494,1.05,constructed
19,6017.087890625,0.9999381682113524,2.4904282093048096,1.05,constructed
20,6017.6533203125,1.0000321330555177,2.7252163887023926,1.05,constructed
