a,s,w1,gap,source,w2_glob,x
1.5,2.1,1.0534105967427403,-0.0673352151475699,conditional audit,2.53125,0.8296296296296297
1.5,2.15,1.0492002125202318,-0.0580126332917316,conditional audit,2.53125,0.8493827160493826
1.5,2.2,1.0451478244990475,-0.0491268714222346,conditional audit,2.53125,0.8691358024691359
1.5,2.25,1.041244634361718,-0.0406493992569259,conditional audit,2.53125,0.8888888888888888
1.5,2.3,1.0374824968928915,-0.0325540800536523,conditional audit,2.53125,0.9086419753086419
1.5,2.35,1.0338538598086768,-0.0248169278173167,conditional audit,2.53125,0.9283950617283951
1.5,2.4,1.0303517101380526,-0.0174158931131036,conditional audit,2.53125,0.9481481481481481
1.5,2.45,1.026969526341875,-0.0103306736808064,conditional audit,2.53125,0.9679012345679013
1.5,2.5,1.0237012354676327,-0.003542546604272,conditional audit,2.53125,0.9876543209876543
1.5,2.55,1.0205411747337565,0.0029657807398151,conditional audit,2.53125,1.0074074074074073
1.5,3.0,0.9962005451542724,0.0512438569175563,conditional audit,2.53125,1.1851851851851851
1.5,3.05,0.9938807340643228,0.0556696430486081,conditional audit,2.53125,1.2049382716049382
1.5,3.1,0.9916260968137406,0.0599410345392068,conditional audit,2.53125,1.2246913580246914
1.5,3.15,0.9894339591361608,0.0640654054888156,conditional audit,2.53125,1.2444444444444445
1.5,3.2,0.9873017928741736,0.0680496744154419,conditional audit,2.53125,1.2641975308641975
1.5,3.25,0.9852272059991448,0.0719003386465915,conditional audit,2.53125,1.2839506172839505
1.5,3.3,0.9832079334468647,0.0756235056603262,conditional audit,2.53125,1.3037037037037036
1.5,3.35,0.981241828691792,0.0792249216856149,conditional audit,2.53125,1.3234567901234568
1.5,3.4,0.9793268559909052,0.0827099978359813,conditional audit,2.53125,1.34320987654321
1.5,3.45,0.9774610832354936,0.0860838340198202,conditional audit,2.53125,1.362962962962963
1.5,3.5,0.9756426753556132,0.0893512408438188,conditional audit,2.53125,1.382716049382716
1.5,4.0,0.9597183856087772,0.1170589474087884,conditional audit,2.53125,1.5802469135802468
1.5,4.5,0.947045746763772,0.137872024111457,conditional audit,2.53125,1.7777777777777777
1.5,5.0,0.9367443737474104,0.1538959160172353,conditional audit,2.53125,1.9753086419753085
1.5,5.5,0.9282258559951722,0.1664693665620515,conditional audit,2.53125,2.1728395061728394
1.5,6.0,0.9210817679543256,0.1729174457006865,conditional audit,2.53125,2.3703703703703702
1.5,6.5,0.9150198185330752,0.1718833936291335,conditional audit,2.53125,2.567901234567901
1.5,7.0,0.909825492911531,0.1710125681774146,conditional audit,2.53125,2.765432098765432
1.5,7.5,0.9053379958269868,0.1702739228818397,conditional audit,2.53125,2.962962962962963
1.5,8.0,0.9014346110590044,0.1696436262226988,conditional audit,2.53125,3.1604938271604937
1.5,8.5,0.8980202170584011,0.1691031090274535,conditional audit,2.53125,3.3580246913580245
1.5,9.0,0.8950200717993263,0.1686377152608171,conditional audit,2.53125,3.5555555555555554
1.5,9.5,0.892374732889213,0.1682357479539233,conditional audit,2.53125,3.753086419753086
1.5,10.0,0.890036408944866,0.1678877806277667,conditional audit,2.53125,3.950617283950617
1.5,10.5,0.8879662926040458,0.1675861512233241,conditional audit,2.53125,4.148148148148148
1.5,11.0,0.8861325825414867,0.1673245842349322,conditional audit,2.53125,4.345679012345679
