dimension,seed,expected,recovered,raw,residual,min_distance,defined,correct
12,0,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
12,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
12,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
12,3,-1,1,1.0000251002374543,2.5100237454278584e-05,0.9999999999999993,True,True
12,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
12,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
12,6,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
12,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
12,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999994,True,True
12,9,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999992,True,True
15,0,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,3,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
15,5,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,6,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
15,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
15,9,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
