family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.3,100067,2500,6.409241046477504,2500,6.409241046477504,0.0018839412973949976,True,2450,-0.00025047477762241144,6.284791159186532,6.299395414752817
Block 3,H10,1.3,100068,7900,7.329622664254339,7900,7.329622664254339,0.0009207857726911683,True,7850,-0.0008887051488497555,7.190852032019445,7.259007209759306
Block 3,H10,1.3,100069,6000,7.656667627261796,6000,7.656667627261796,0.0002668963327452367,True,5950,-0.001483798772761169,7.519205358125333,7.6357112794614475
Block 3,H10,1.3,100070,3950,7.517002673011148,3950,7.517002673011148,0.0009235496547281841,True,3900,-0.000610610667285183,7.401817730929275,7.447662453502673
Block 3,H10,1.3,100071,4400,8.130779364556963,4400,8.130779364556963,0.001093303030709869,True,4350,-0.00011570335376287488,8.014333884141928,8.025477855577964
Block 3,H10,1.3,100073,5800,11.5986884220996,5800,11.5986884220996,0.0006958995189982886,True,5750,-9.8203869689506e-06,11.478925848471864,11.480592394657506
Block 3,H10,1.3,100074,4400,7.400895370737616,4400,7.400895370737616,0.0008732943153773043,True,4350,-0.0006888954198664976,7.288232277850812,7.337914519979743
Block 3,H10,1.3,100075,3700,7.646352610214553,3700,7.646352610214553,3.699717019500781e-05,True,3650,-0.0013093145777545168,7.527351482203762,7.643082412956661
Block 3,H10,1.3,100076,11050,7.2502271599943,11050,7.2502271599943,0.0011018308255006382,True,11000,-0.0008043887203736944,7.104731013890776,7.166127645268741
Block 3,H10,1.3,100077,4200,7.7060714408288185,4200,7.7060714408288185,0.00010027562525793954,True,4150,-0.0013379762227008207,7.593164499827573,7.69819951344633
Block 3,H10,1.3,100078,8950,7.699579657009705,8950,7.699579657009705,0.001657709754003367,True,8900,-6.332060669400619e-05,7.564032596942343,7.569019680421554
Block 3,H10,1.3,100079,7950,7.454240070241253,7950,7.454240070241253,0.00013806222308021532,True,7900,-0.001741842551138184,7.318170666927056,7.4442469873083335
Block 3,H10,1.3,100080,3600,6.482335375042412,3600,6.482335375042412,0.0018204535527761578,True,3550,-0.0001152914039423969,6.366095121249627,6.373018296747451
Block 3,H10,1.3,100081,3000,6.90905916143407,3000,6.90905916143407,0.0015800359397246666,True,2950,-0.0004395410008735112,6.7757869579047245,6.8047923384625735
Block 3,H10,1.3,100082,4900,8.686112089072992,4900,8.686112089072992,0.0009896483858331528,True,4850,-0.00017131546940651887,8.566622487870477,8.584254748364048
Block 3,H10,1.3,100083,3550,8.395563318883319,3550,8.395563318883319,4.017981381609914e-05,True,3500,-0.0012969262924502623,8.265162346898403,8.391644791586765
Block 3,H10,1.3,100084,8900,9.296886336379421,8900,9.296886336379421,0.000791550244061856,True,8850,-0.0004257605234117001,9.166538560201072,9.212128346222949
Block 3,H10,1.3,100085,3900,7.6323540698798285,3900,7.6323540698798285,7.071419058712891e-05,True,3850,-0.0013928109582264092,7.516679754981371,7.626764951335199
