tag,A_lo,A_hi,centre_p,centre_q,ring_certified,ring_boxes,ring_depth,ring_final_side,ring_grad_lower,ring_left,outer_certified,outer_margin,branch_upper,localised,outer_P,outer_lower,outer_attained,outer_rounds,outer_peak_cells,outer_final_h,certified
annulus,0.685,0.68625,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.007028397056425101,0,True,0.00010300928306350432,0.35259668793073196,True,24.0,0.35269969721379546,0.35729934871473756,7,39072,0.001953125,True
annulus,0.68625,0.6875,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006847993734003342,0,True,0.0001118733282090556,0.35232881778560876,True,24.0,0.3524406911138178,0.3570047871715167,7,39072,0.001953125,True
annulus,0.6875,0.68875,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006667823992798052,0,True,0.00011356139628643236,0.35206136607966776,True,24.0,0.3521749274759542,0.3567106801023771,7,39072,0.001953125,True
annulus,0.68875,0.69,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006487887959015155,0,True,0.00010267709636996303,0.3517943311626038,True,24.0,0.35189700825897374,0.35641702591534746,7,39072,0.001953125,True
annulus,0.69,0.69125,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006308185751814488,0,True,0.00011877480051841749,0.35152771139380845,True,24.0,0.35164648619432687,0.35612382302680046,7,39072,0.001953125,True
annulus,0.69125,0.6925,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006128717483386237,0,True,0.00012229584128137239,0.3512615051423058,True,24.0,0.3513838009835872,0.35583106986140267,7,39072,0.001953125,True
annulus,0.6925,0.69375,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005949483259026467,0,True,0.0001257518916815692,0.3509957107866887,True,24.0,0.35112146267837024,0.35553876485206387,7,39072,0.001953125,True
annulus,0.69375,0.695,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005770483177212662,0,True,0.00013115592843337964,0.35073032671505433,True,24.0,0.3508614826434877,0.3552469064398876,7,39072,0.001953125,True
annulus,0.695,0.69625,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005591717329677528,0,True,0.00010925676750123126,0.3504653513249425,True,24.0,0.35057460809244373,0.3549554930741215,7,39072,0.001953125,True
annulus,0.69625,0.6975,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0054097459800754475,0,True,0.00010093306516162359,0.3502007830232715,True,24.0,0.35030171608843313,0.3546645232121084,7,39072,0.001953125,True
annulus,0.6975,0.69875,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005227979924153493,0,True,0.0001078440547310211,0.3499366202262773,True,24.0,0.3500444642810083,0.3543739953192371,7,39072,0.001953125,True
annulus,0.69875,0.7,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005046443278003155,0,True,0.00011535078623042816,0.34967286135945075,True,24.0,0.3497882121456812,0.3540839078688942,7,39072,0.001953125,True
annulus,0.7,0.7012499999999999,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0048651361794441956,0,True,0.00012345115770007187,0.34940950485747674,True,24.0,0.3495329560151768,0.35379425934241554,7,39072,0.001953125,True
annulus,0.7012499999999999,0.7025,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004684058759592871,0,True,0.00010548851498415335,0.34914654916417315,True,24.0,0.3492520376791573,0.35350504822903817,7,39072,0.001953125,True
annulus,0.7025,0.70375,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004503211142933307,0,True,0.0001268209866370218,0.3488839927324309,True,24.0,0.34901081371906795,0.3532162730258533,7,39072,0.001953125,True
annulus,0.70375,0.705,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004322593447388098,0,True,0.0001512932880268214,0.34862183402415364,True,24.0,0.34877312731218046,0.35292793223775815,7,39072,0.001953125,True
annulus,0.705,0.7062499999999999,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004142205784387827,0,True,0.00010023664423419731,0.3483600715101978,True,24.0,0.348460308154432,0.35264002437740954,7,39072,0.001953125,True
annulus,0.7062499999999999,0.7075,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.003962048258940512,0,True,0.00010318982679952127,0.348098703670314,True,24.0,0.3482018934971135,0.35235254796517695,7,39072,0.001953125,True
annulus,0.7075,0.70875,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0037821209696998355,0,True,0.00012215123738051892,0.3478377289930884,True,24.0,0.3479598802304689,0.3520655015290959,7,39072,0.001953125,True
annulus,0.70875,0.71,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.003602424009032737,0,True,0.00012132360928601704,0.3475771459758842,True,24.0,0.3476984695851702,0.351778883604822,7,39072,0.001953125,True
