group,a,seed,init_branch,branch,R_cross,matches_init
phase 2b crossing a=1.30,1.3,3,1,-1,0.2556228980168836,False
phase 2b crossing a=1.30,1.3,4,-1,1,0.1946335356656553,False
phase 2b crossing a=1.30,1.3,5,1,1,0.233631465200389,True
phase 2b crossing a=1.30,1.3,6,1,1,0.209240499591598,True
phase 2b crossing a=1.30,1.3,7,1,-1,0.2234403705101423,False
phase 2b crossing a=1.30,1.3,9,-1,-1,0.2555475097224767,True
phase 2b crossing a=1.30,1.3,10,1,1,0.2320964238586,True
phase 2b crossing a=1.30,1.3,11,-1,1,0.2386471851074995,False
phase 2b crossing a=1.30,1.3,12,1,-1,0.2113920980697498,False
phase 2b crossing a=1.30,1.3,13,-1,-1,0.2493226304951589,True
phase 2b crossing a=1.30,1.3,14,1,1,0.212162148856326,True
phase 2b crossing a=1.30,1.3,15,-1,1,0.2214188791604773,False
phase 2b crossing a=1.30,1.3,16,-1,1,0.2224794816153886,False
phase 2b crossing a=1.30,1.3,18,1,-1,0.2340508491581853,False
phase 2b crossing a=1.30,1.3,19,1,1,0.2177015385687827,True
phase 2b crossing a=1.30,1.3,20,1,1,0.2471343838430095,True
phase 2b crossing a=1.30,1.3,21,1,1,0.2404956634404542,True
phase 2b crossing a=1.30,1.3,22,1,-1,0.2207069907945257,False
phase 2b crossing a=1.30,1.3,23,1,-1,0.2421111401760869,False
phase 2b crossing a=1.30,1.3,24,-1,-1,0.2470635592986513,True
phase 2b crossing a=1.30,1.3,25,-1,1,0.2561100066921535,False
phase 2b crossing a=1.30,1.3,26,1,-1,0.243105790887239,False
phase 2b crossing a=1.30,1.3,27,1,1,0.2286283441525256,True
phase 2b crossing a=1.30,1.3,28,1,-1,0.2535999346335313,False
phase 2b crossing a=1.30,1.3,29,-1,-1,0.2286569246048757,True
phase 2b crossing a=1.30,1.3,30,-1,-1,0.2433108481009835,True
phase 2b crossing a=1.30,1.3,31,1,1,0.2388271613617621,True
phase 2b crossing a=1.30,1.3,32,-1,1,0.2493845889076831,False
phase 2b crossing a=1.30,1.3,33,-1,-1,0.2388431014675527,True
phase 2b crossing a=1.30,1.3,34,1,1,0.2066426763182295,True
phase 2b crossing a=1.30,1.3,35,-1,-1,0.2335704554320304,True
phase 2b crossing a=1.30,1.3,36,1,1,0.2677313440089386,True
phase 2b crossing a=1.30,1.3,37,1,-1,0.2160993355979792,False
phase 2b crossing a=1.30,1.3,38,-1,-1,0.2560272465892694,True
phase 2b crossing a=1.30,1.3,39,1,1,0.2342981415945404,True
phase 2b crossing a=1.50,1.5,0,1,1,0.2284474832788896,True
phase 2b crossing a=1.50,1.5,1,-1,1,0.2441397085504213,False
phase 2b crossing a=1.50,1.5,2,1,-1,0.2330654499768348,False
phase 2b crossing a=1.50,1.5,3,1,-1,0.2717693494344497,False
phase 2b crossing a=1.50,1.5,4,-1,1,0.2112104852509474,False
phase 2b crossing a=1.50,1.5,5,1,1,0.2484888711865721,True
phase 2b crossing a=1.50,1.5,6,1,1,0.2256969910991167,True
phase 2b crossing a=1.50,1.5,7,1,-1,0.2397146432430741,False
phase 2b crossing a=1.50,1.5,9,-1,-1,0.2725644679591179,True
phase 2b crossing a=1.50,1.5,10,1,1,0.2490671038755004,True
phase 2b crossing a=1.50,1.5,11,-1,1,0.2535497176985142,False
phase 2b crossing a=1.50,1.5,12,1,-1,0.2277467999052032,False
phase 2b crossing a=1.50,1.5,13,-1,-1,0.2657476604328578,True
phase 2b crossing a=1.50,1.5,14,1,1,0.2279701470841887,True
phase 2b crossing a=1.50,1.5,15,-1,1,0.2375593117533204,False
phase 2b crossing a=1.50,1.5,16,-1,1,0.2385945422656625,False
phase 2b crossing a=1.50,1.5,18,1,-1,0.2514149790452719,False
phase 2b crossing a=1.50,1.5,19,1,1,0.2339658104634205,True
phase 2b crossing a=1.50,1.5,20,1,1,0.2634572830058642,True
phase 2b crossing a=1.50,1.5,21,1,1,0.2581572136613201,True
phase 2b crossing a=1.50,1.5,22,1,-1,0.2381611638999558,False
phase 2b crossing a=1.50,1.5,23,1,-1,0.2601713339109754,False
phase 2b crossing a=1.50,1.5,24,-1,-1,0.2634416173600551,True
phase 2b crossing a=1.50,1.5,25,-1,1,0.2736753742153575,False
phase 2b crossing a=1.50,1.5,26,1,-1,0.2593480691519561,False
phase 2b crossing a=1.50,1.5,27,1,1,0.2465864691769801,True
phase 2b crossing a=1.50,1.5,28,1,-1,0.2706866847022315,False
