a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.3,4000,33,1569,4.869447372773807,4.869447372773807,1,32.758970694439775,True
1.35,16000,16,15745,4.46763104052617,4.46763104052617,1,115.39627241226684,True
1.4,8000,21,36,4.65452962541365,4.65452962541365,1,14.738369374406053,False
1.6,2000,7,1999,5.621381486268498,5.612793344429244,14,20.23464711947089,True
1.5,2000,2,1981,5.126408081585691,5.117856905607726,10,20.74601509103111,True
1.3,16000,26,15817,4.814994036349338,4.814994036349338,1,125.82251744612995,True
1.5,2000,22,223,4.290872672405456,4.290872672405456,1,12.370996835611475,False
1.4,32000,28,29943,4.905768770939472,4.871531976669257,156,233.95733138979065,True
1.4,16000,2,15980,5.112978801167967,5.106759280267946,9,120.203186341099,True
1.3,2000,7,1999,5.58169842651043,5.578977903822284,11,20.969366075795637,False
1.3,16000,30,13329,5.170786218973593,4.6600474173551225,87,125.24150602120696,True
1.6,4000,2,3981,5.13011631083921,5.118996978129274,12,32.19016424634835,True
1.6,8000,34,7159,5.512050482101658,5.509323932751651,3,49.503977253203615,True
1.45,8000,2,7980,5.1211334103601915,5.113716701981825,10,60.76497311888398,True
1.4,16000,5,14461,5.9232731520842155,5.9232731520842155,1,117.81631187348901,True
1.6,4000,15,3960,5.194116323192144,5.119888819532866,61,27.21186070469879,True
1.45,2000,24,155,5.465884886223762,5.017017382407851,1114,14.684541522683753,False
1.3,2000,15,1959,5.134614947949181,5.087462418229574,40,13.925345431586143,False
1.45,4000,9,2523,5.6410283413616025,5.531033379784308,15,31.06121223033514,True
1.6,2000,26,1830,4.849811930832871,4.849811930832871,1,5.447519333299156,False
1.5,8000,23,7994,5.251239732905228,4.605787734475117,1423,55.48283419484864,True
1.45,32000,21,24101,4.666773288844964,4.666773288844964,1,187.66202256272842,True
1.5,32000,19,31044,5.662461406451332,5.662461406451332,1,220.78875321171148,True
1.45,16000,21,8104,4.666773288844964,4.666773288844964,1,72.27237149446809,True
1.6,4000,23,3995,5.260333617052228,4.596378269554512,1366,29.583395636766088,True
1.3,2000,33,35,4.869447372773807,4.837920845425631,754,16.56213756606891,False
1.3,16000,20,12741,5.22336472553029,5.1913006674044215,25,120.05974573975912,True
1.45,32000,19,30874,5.657315366574905,5.657315366574905,1,229.89714610543223,True
1.3,16000,9,13272,5.615889256365183,5.502979379926949,15,125.02948369111061,True
1.6,4000,31,3325,5.271795958914013,4.7243485635867675,203,32.11551188645329,True
1.4,4000,12,3983,5.52503051438905,5.287559846131992,46,34.329826290609255,True
1.35,16000,6,15976,4.93987480827862,4.93987480827862,1,107.20981334962686,True
1.35,8000,7,7999,5.59687482899301,5.593230100714968,11,65.6359397797115,True
1.4,16000,13,12599,4.509008973746849,4.309684304195019,87,106.48753130079679,True
1.5,16000,1,14818,5.668884670618583,5.263289855231704,53,105.45166816277178,True
1.4,2000,11,1875,4.604214928071613,4.515772714677656,27,4.98271148764528,False
1.45,8000,1,6612,5.666073673920876,5.2580179102296425,50,56.30050659109405,True
1.45,4000,15,2176,5.178055625009995,5.1172451871028075,56,28.730175290182434,True
1.3,4000,13,36,4.46764982216127,4.288492019621599,87,19.383059878984852,False
1.5,8000,32,6636,5.756446089224883,5.382824973398852,39,53.94609761740609,True
1.45,2000,5,720,5.929587319218599,5.929587319218599,1,18.420380231810896,True
1.35,16000,13,12258,4.490534977081737,4.301165288437471,87,110.50795615734359,True
1.35,32000,27,29499,5.425246783573651,5.407932346938974,6,238.86464817574907,True
1.6,8000,23,7994,5.260333617052228,4.596378269554512,1366,51.495157614450406,True
1.4,4000,2,3981,5.112978801167967,5.106731660038899,10,35.46252047779058,True
1.5,4000,13,1030,4.535947593194653,4.317203861046878,87,21.27940463375804,True
1.5,8000,18,6846,5.400284700612519,4.619439132351411,200,54.90231030238722,True
1.45,32000,25,31942,6.182536547940251,4.750875514384156,1333,216.0910765561863,True
1.4,32000,33,30295,4.896461239984817,4.881272633273102,772,236.15541862363548,True
1.5,32000,35,30208,5.219032623127191,5.168882907772258,31,209.57593549117905,True
1.45,16000,26,15822,4.845843243416589,4.845843243416589,1,109.47487493280467,True
1.45,32000,0,29044,4.44434193109745,4.44434193109745,1,215.07975304425943,True
1.3,8000,25,7943,6.159500122342157,4.7413102637245546,1274,50.34360505821381,True
1.6,32000,23,31994,5.260333617052228,4.596378269554512,1366,201.64238943761285,True
1.4,8000,33,6298,4.896461239984817,4.748038543925756,798,60.377923452292514,True
1.35,8000,28,5531,4.902519969656838,4.862234710621156,159,58.595348510917766,True
1.35,8000,32,5670,5.739922473125474,5.361774765513829,39,59.30312643859545,True
1.3,32000,4,31995,4.804764867955381,4.701053009446291,27096,54.20411841132044,True
1.35,2000,29,35,4.58889098107261,4.560526137735256,33,4.613107214994082,False
1.5,16000,8,15956,4.11510286303715,4.11510286303715,1,4.334233596928759,False
1.35,8000,35,5086,5.173426465305522,5.130698863633612,31,52.6089637401618,True
1.6,2000,33,821,4.914530259723471,4.914530259723471,1,17.124036784173487,True
1.3,16000,4,15996,4.804764867955381,4.804764867955381,1,5.132156042244648,False
1.35,4000,7,4000,5.59687482899301,5.593230100714968,11,36.13596247383168,True
1.6,16000,21,8161,4.689360520047775,4.689360520047775,1,63.51125865508875,True
1.4,8000,30,6271,5.177987071592812,4.680408622923097,100,58.748544719195934,True
1.5,16000,21,8145,4.676375445260395,4.676375445260395,1,69.14306564473101,True
1.3,2000,18,35,5.37971574218654,4.607262729546804,192,16.15410478138712,False
1.6,32000,33,30813,4.914530259723471,4.914530259723471,1,201.39265521248487,True
1.3,4000,31,1998,5.234387119051137,4.758313951669967,164,36.250432001453404,True
1.6,8000,13,5276,4.5531352985905915,4.315961640953331,100,44.55764766578907,True
1.5,2000,6,1977,4.953489556693552,4.953489556693552,1,5.0354620245971615,False
1.3,4000,3,887,5.363047394525775,5.363047394525775,1,28.021670421142545,False
1.4,2000,4,1997,4.835504373197885,4.835504373197885,1,5.156571397522763,False
1.5,2000,18,851,5.400284700612519,4.644415151085851,192,17.401112142376114,False
1.45,8000,28,6253,4.905811045339136,4.877303075227172,159,55.30735331909341,True
1.35,4000,14,36,5.9523816576069075,5.930887929049793,24,15.414326402066466,False
1.4,8000,31,6726,5.258984608018571,4.772451381466943,200,63.42895036220851,True
1.45,32000,6,31974,4.951952695190006,4.951952695190006,1,211.79484774888945,True
1.4,8000,6,3971,4.947610678195732,4.947610678195732,1,46.43934525493699,True
1.45,8000,7,7999,5.615046754451699,5.6094912129400045,12,60.59414508500276,True
1.3,32000,25,31942,6.159500122342157,4.7413102637245546,1274,240.4693593740968,True
1.4,8000,0,4844,4.435380972383588,4.435380972383588,1,47.61790584245246,True
1.6,4000,30,3103,5.157547757927924,4.687036580468807,87,29.193495073784895,True
1.3,8000,37,7832,4.290843593896492,4.260516808500979,20,55.92868288249965,True
1.3,4000,5,1650,5.899060964333391,5.899060964333391,1,32.88289144376572,True
1.5,16000,16,15764,4.48504720340954,4.48504720340954,1,96.08037902557508,True
1.5,4000,10,3117,5.238730255061094,4.804068964186202,107,33.23051786788647,True
1.5,16000,30,14786,5.172243895558839,4.689489760588005,87,107.26889847962212,True
