a,seed,solved32,solved64,first_divergence,final_dist,final_rel,w2_32,w2_64
1.4,59,False,False,2000,1.494506533613376e-06,1.828924054518587e-06,0.1606801599264145,0.16067945330715366
1.45,0,False,False,2000,4.053769908269695e-06,1.1402349067117866e-05,-0.2726348042488098,-0.27263259991407757
1.45,1,False,False,2000,2.051086773705737e-05,1.4816972491760429e-06,4.331075191497803,4.331080693127669
1.45,2,True,True,2000,4.8997688637305706e-05,2.7961451526946476e-06,5.466699600219727,5.466715042984306
1.45,3,False,False,2000,4.5834719005135e-05,3.6719411412014287e-06,3.9224495887756348,3.9224632250065774
1.45,4,False,False,2000,3.7376870902805612e-06,5.01719141344609e-06,-0.6684407591819763,-0.6684432732283823
1.45,5,True,True,2000,5.497284133902469e-05,3.67519897984157e-06,4.6612348556518555,4.661251377736609
1.45,6,False,False,2000,7.558159774033825e-07,9.969369692895613e-07,0.745353102684021,0.7453528604603018
1.45,7,True,True,2000,4.991825267796875e-05,2.8484472209561713e-06,5.46549129486084,5.4655067805258275
1.45,8,False,False,2000,1.0093400636200721e-06,9.895333189679456e-07,0.6408175230026245,0.6408173696287873
1.45,9,False,False,2000,2.5915599377035554e-05,1.8035206121385869e-06,4.492852687835693,4.492860496276299
1.45,10,True,True,2000,0.0007770321483700699,4.586924346734937e-05,-5.293097019195557,-5.293869765927451
1.45,11,False,False,2000,2.668990359019081e-06,5.354177984791778e-06,0.49000802636146545,0.49000825844251206
1.45,12,True,True,2000,3.277670969251234e-05,1.9728466576141914e-06,5.196598052978516,5.196607578578723
1.45,13,False,False,2000,3.4605198330348118e-06,6.296194985319861e-06,0.5456666946411133,0.5456674421218268
1.45,14,False,False,2000,1.8507475380388555e-06,1.5640395712345562e-06,0.4702359139919281,0.47023519748513537
1.45,15,False,False,2000,2.5584030948506224e-05,2.3795559314621195e-06,3.378816843032837,3.3788249631124025
1.45,16,False,False,2000,3.736697611091041e-07,8.891602252297256e-07,0.3382691442966461,0.3382690218348816
1.45,17,False,False,2000,8.319793167086875e-06,8.009268366611418e-06,0.8397777676582336,0.8397717585821258
1.45,18,False,False,2000,4.487013477689675e-05,3.1317271112377857e-06,-4.49418830871582,-4.4942019245072276
1.45,19,True,True,2000,4.9861078844527596e-05,3.1695496652556163e-06,4.9232072830200195,4.923222363336747
