activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
sin_family,1.5,3,3,175,0,0,0,True,400,1.0,False,0.1111111111111111,0.7064001250546426
sin_family,1.5,3,3,176,91,85,-1,False,-1,0.9575,False,0.1111111111111111,0.7115939578507096
sin_family,1.5,3,3,177,85,95,-1,False,-1,0.9525,False,0.0,0.7113783750683069
sin_family,1.5,3,3,178,64,70,-1,False,-1,0.965,False,0.0,0.7051998330280185
sin_family,1.5,3,3,179,63,81,-1,False,-1,0.9595,False,0.1111111111111111,0.7034759158268571
sin_family,1.5,3,3,180,49,67,-1,False,-1,0.9665,False,0.0,0.7074852921068668
sin_family,1.5,3,3,181,66,75,-1,False,-1,0.9625,False,0.0,0.7089881671126932
sin_family,1.5,3,3,182,53,66,-1,False,-1,0.967,False,0.0,0.7012081670109183
sin_family,1.5,3,3,183,83,89,-1,False,-1,0.9555,False,0.0,0.7150420409161597
sin_family,1.5,3,3,184,78,100,-1,False,-1,0.95,False,0.0,0.7048439590726048
sin_family,1.5,3,3,185,0,0,0,True,1500,1.0,False,0.0,0.7179882091004401
sin_family,1.5,3,3,186,53,88,-1,False,-1,0.956,False,0.1111111111111111,0.7077560001052916
sin_family,1.5,3,3,187,3,14,-1,False,-1,0.993,False,0.0,0.7056909999810159
sin_family,1.5,3,3,188,79,85,-1,False,-1,0.9575,False,0.0,0.7061175410635769
sin_family,1.5,3,3,189,87,95,-1,False,-1,0.9525,False,0.0,0.7102887078654021
sin_family,1.5,3,3,190,50,65,-1,False,-1,0.9675,False,0.0,0.706831166986376
sin_family,1.5,3,3,191,0,0,0,True,1200,1.0,False,0.0,0.7110640408936888
sin_family,1.5,3,3,192,86,90,-1,False,-1,0.955,False,0.0,0.6971617501694709
sin_family,1.5,3,3,193,70,65,-1,False,-1,0.9675,False,0.0,0.7027479158714414
sin_family,1.5,3,3,194,83,81,-1,False,-1,0.9595,False,0.0,0.705525207798928
sin_family,1.5,3,3,195,85,69,-1,False,-1,0.9655,False,0.0,0.7038864579517394
