a,opt,budget,w2,gstar,R,solved
1.05,adam,2000,0.1178345680236816,0.0063357906771699,0.0003732875787663,False
1.05,adam,2000,1.8767377138137815,0.0063357906771699,0.0059453086553372,False
1.05,adam,2000,0.7256256937980652,0.0063357906771699,0.0022987062529403,False
1.05,adam,2000,1.285659670829773,0.0063357906771699,0.0040728352782283,False
1.05,adam,2000,0.1775567382574081,0.0063357906771699,0.0005624811634599,False
1.05,adam,2000,2.297811985015869,0.0063357906771699,0.0072792278762764,False
1.05,adam,2000,3.2565112113952637,0.0063357906771699,0.0103162866866287,False
1.05,adam,2000,2.520320177078247,0.0063357906771699,0.0079841105407078,False
1.05,adam,2000,3.3938844203948975,0.0063357906771699,0.0107514706350651,False
1.05,adam,2000,1.9216365814208984,0.0063357906771699,0.0060875435687376,False
1.05,adam,2000,0.2645022869110107,0.0063357906771699,0.0008379155617504,False
1.05,adam,2000,0.2043193727731704,0.0063357906771699,0.0006472623885907,False
1.05,adam,2000,3.336601495742798,0.0063357906771699,0.0105700043250792,False
1.05,adam,2000,0.7105845808982849,0.0063357906771699,0.002251057581498,False
1.05,adam,2000,2.3757801055908203,0.0063357906771699,0.007526222722004,False
1.05,adam,2000,0.8363484740257263,0.0063357906771699,0.0026494644322987,False
1.05,adam,2000,4.51348876953125,0.0063357906771699,0.0142982600337536,False
1.05,adam,2000,2.532869577407837,0.0063357906771699,0.0080238657275139,False
1.05,adam,2000,2.327014684677124,0.0063357906771699,0.0073717389724074,False
1.05,adam,2000,0.3379831314086914,0.0063357906771699,0.0010706951865099,False
1.05,adam,2000,3.4603986740112305,0.0063357906771699,0.0109621808290457,False
1.05,adam,2000,2.7942678928375244,0.0063357906771699,0.0088519482324776,False
1.05,adam,2000,4.018264293670654,0.0063357906771699,0.0127294407251216,False
1.05,adam,2000,1.9118144512176511,0.0063357906771699,0.0060564280882517,False
1.05,adam,2000,0.2540155053138733,0.0063357906771699,0.0008046945352121,False
1.05,adam,2000,0.505097508430481,0.0063357906771699,0.0016000960424878,False
1.05,adam,2000,1.5352729558944702,0.0063357906771699,0.0048635840404336,False
1.05,adam,2000,1.1809779405593872,0.0063357906771699,0.0037412145128697,False
1.05,adam,2000,2.3272109031677246,0.0063357906771699,0.0073723605720491,False
1.05,adam,2000,3.0128660202026367,0.0063357906771699,0.0095444442211809,False
1.05,adam,2000,2.690119743347168,0.0063357906771699,0.0085220177951848,False
1.05,adam,2000,0.5144023299217224,0.0063357906771699,0.0016295727431162,False
1.05,adam,2000,2.0650579929351807,0.0063357906771699,0.0065418875897269,False
1.05,adam,2000,3.0498335361480713,0.0063357906771699,0.0096615534426235,False
1.05,adam,2000,3.5661442279815674,0.0063357906771699,0.0112971716765445,False
1.05,adam,2000,3.7385642528533936,0.0063357906771699,0.0118433802696146,False
1.05,adam,2000,2.646629571914673,0.0063357906771699,0.0083842454838296,False
1.05,adam,2000,0.7239630222320557,0.0063357906771699,0.0022934390834368,False
1.05,adam,2000,2.5143797397613525,0.0063357906771699,0.0079652918570224,False
1.05,adam,2000,1.9764198064804075,0.0063357906771699,0.0062610910920362,False
1.05,adam,2000,3.809882640838623,0.0063357906771699,0.0120693094584684,False
1.05,adam,2000,2.9453439712524414,0.0063357906771699,0.0093305414370599,False
