width,activation,seed,test_errors,test_accuracy,train_errors_10k,batches_to_criterion,dead_bottleneck_fraction,duration_seconds
10,gelu,1,444,0.9556,389,-1,,0.43015308282338083
10,gelu,2,429,0.9571,373,-1,,0.4308984999079257
10,gelu,3,477,0.9523,400,-1,,0.4381701659876853
10,gelu,4,435,0.9565,366,-1,,0.42680049990303814
10,gelu,5,461,0.9539,414,-1,,0.43977958406321704
10,gelu,6,465,0.9535,422,-1,,0.43018224998377264
10,gelu,7,435,0.9565,355,-1,,0.43275066604837775
10,gelu,8,469,0.9531000000000001,417,-1,,0.43273704103194177
10,gelu,9,482,0.9518,434,-1,,0.43274162500165403
10,tanh,0,392,0.9608,318,-1,,0.45618991600349545
10,tanh,1,367,0.9633,292,-1,,0.45301254093647003
10,tanh,2,359,0.9641,285,-1,,0.4524375831242651
10,tanh,3,372,0.9628,292,-1,,0.4507099168840796
10,tanh,4,408,0.9592,288,-1,,0.5328437499701977
10,tanh,5,394,0.9606,297,-1,,0.5586382090114057
10,tanh,6,392,0.9608,319,-1,,0.5593462919350713
10,tanh,7,391,0.9609,281,-1,,0.6222156658768654
10,tanh,8,383,0.9617,297,-1,,0.6129627919290215
10,tanh,9,375,0.9625,303,-1,,0.7423675421159714
10,relu,0,501,0.9499,435,-1,0.10000000149011612,0.3364443751052022
10,relu,1,436,0.9564,384,-1,0.0,0.3414252500515431
10,relu,2,477,0.9523,386,-1,0.0,0.33513558306731284
10,relu,3,436,0.9564,387,-1,0.0,0.5277917499188334
10,relu,4,466,0.9534,371,-1,0.30000001192092896,0.5064798749517649
10,leaky_relu,0,473,0.9527,419,-1,,0.6119223330169916
10,leaky_relu,1,428,0.9572,393,-1,,1.1264107499737293
10,leaky_relu,2,485,0.9515,398,-1,,1.6069283338729292
10,leaky_relu,3,424,0.9576,351,-1,,0.6382083748467267
10,leaky_relu,4,439,0.9561,335,-1,,0.5646656658500433
12,gelu,0,427,0.9573,355,-1,,0.7671140839811414
12,gelu,1,496,0.9504,403,-1,,0.5869066671002656
12,gelu,2,486,0.9514,412,-1,,0.44969962490722537
12,gelu,3,480,0.952,456,-1,,0.5886554170865566
12,gelu,4,401,0.9599,314,-1,,0.7420311670284718
12,gelu,5,423,0.9577,376,-1,,0.6805417079012841
12,gelu,6,467,0.9533,429,-1,,0.7493594160769135
12,gelu,7,526,0.9474,420,-1,,0.5320368751417845
12,gelu,8,429,0.9571,382,-1,,0.48762337514199317
12,gelu,9,458,0.9542,388,-1,,0.5088948751799762
12,tanh,0,370,0.963,293,-1,,0.5050934171304107
12,tanh,1,390,0.961,299,-1,,0.48654062487185
12,tanh,2,405,0.9595,327,-1,,0.483438084134832
12,tanh,3,401,0.9599,328,-1,,0.48212587484158576
12,tanh,4,399,0.9601,278,-1,,0.5942932500038296
12,tanh,5,407,0.9593,334,-1,,0.48257262515835464
12,tanh,6,378,0.9621999999999999,312,-1,,0.49790595890954137
12,tanh,7,408,0.9592,319,-1,,0.567860082956031
12,tanh,8,390,0.961,307,-1,,0.6008532920386642
12,tanh,9,375,0.9625,295,-1,,0.5957483339589089
12,relu,0,440,0.956,393,-1,0.25,0.5184641249943525
12,relu,1,432,0.9568,368,-1,0.0,0.3783738750498742
12,relu,2,508,0.9492,451,-1,0.1666666716337204,0.37106524989940226
12,relu,3,461,0.9539,397,-1,0.0,0.364084041910246
12,relu,4,406,0.9594,330,-1,0.0833333358168602,0.34587854193523526
12,leaky_relu,0,438,0.9562,373,-1,,0.335085165919736
12,leaky_relu,1,442,0.9558,374,-1,,0.34105962491594255
12,leaky_relu,2,505,0.9495,433,-1,,0.3381204579491168
12,leaky_relu,3,433,0.9567,390,-1,,0.3715006250422448
12,leaky_relu,4,440,0.956,360,-1,,0.34769829199649394
16,gelu,0,405,0.9595,346,-1,,0.5040579589549452
16,gelu,1,459,0.9541,395,-1,,0.4453751251567155
16,gelu,2,457,0.9543,387,-1,,0.4468225829768926
16,gelu,3,458,0.9542,398,-1,,0.44761670799925923
16,gelu,4,466,0.9534,389,-1,,0.4549235000740737
16,gelu,5,532,0.9468,477,-1,,0.4597854169551283
16,gelu,6,439,0.9561,369,-1,,0.4597948750015348
16,gelu,7,436,0.9564,339,-1,,0.5108639169484377
16,gelu,8,483,0.9517,389,-1,,0.5657323747873306
16,gelu,9,421,0.9579,359,-1,,0.4968952911440283
16,tanh,0,364,0.9636,282,-1,,0.47308854199945927
16,tanh,1,371,0.9629,315,-1,,0.47528337500989437
16,tanh,2,376,0.9624,283,-1,,0.47328916704282165
16,tanh,3,386,0.9614,309,-1,,0.46556250005960464
16,tanh,4,382,0.9618,290,-1,,0.468287083087489
16,tanh,5,360,0.964,303,-1,,0.4643432500306517
16,tanh,6,387,0.9613,301,-1,,0.46832333295606077
