window,a,seed,cross_step,cross_w2,final_w2,early_defined,early_step,early_branch,early_w2,branch_cross
V20,1.5,400015,3250.0,3.3009654544130944,22.073273232125313,True,1700.0,-1.0,0.38896520609371427,-1.0
V20,1.5,400016,1550.0,3.958231544405971,25.675537046696338,True,0.0,1.0,0.2031757738105591,-1.0
V20,1.5,400017,3150.0,3.1958133317703457,21.822498466551707,True,2650.0,1.0,0.3198244023281973,1.0
V20,1.5,400018,1700.0,3.0224258121098315,25.285123975778866,True,750.0,1.0,0.08142635093660566,1.0
V20,1.5,400019,2250.0,4.379716328176379,23.953989293078877,True,100.0,1.0,0.16017784357087095,1.0
V20,1.5,400020,1300.0,3.860196699705161,25.872334599199014,True,0.0,1.0,0.0858807640531015,-1.0
V20,1.5,400021,1050.0,3.3989730661293454,26.948258139023622,True,200.0,-1.0,0.05465284498101233,-1.0
V20,1.5,400022,1700.0,3.6145592379457,26.328049166378566,True,1050.0,-1.0,0.27947404700004136,-1.0
V20,1.5,400023,1700.0,3.7766398123649063,25.315898159832727,True,300.0,-1.0,0.08017796311087313,-1.0
V20,1.5,400024,3100.0,4.204728924945806,23.745375688607865,True,1550.0,1.0,0.5980061109192033,1.0
V20,1.5,400025,2150.0,3.3990656516609765,22.437467057956706,True,100.0,1.0,0.23687771671893773,1.0
V20,1.5,400026,1850.0,3.711373094772589,23.96671698497985,True,0.0,1.0,0.7469446565659946,1.0
V20,1.5,400027,1850.0,3.023785168101283,24.263651367645608,True,600.0,1.0,0.05307789387554521,1.0
V20,1.5,400028,1250.0,3.5757170772686715,25.609882899936245,True,0.0,-1.0,0.5222400336085461,-1.0
V20,1.5,400029,5250.0,3.6064517763079817,18.340756384440375,True,4750.0,-1.0,0.7093252966920917,-1.0
V20,1.5,400030,1550.0,3.6831231838970497,24.981680879002067,True,0.0,1.0,0.05865955236988847,-1.0
V20,1.5,400031,8550.0,3.5456695810895416,11.867000044746229,True,8150.0,1.0,0.8335295975047854,1.0
V20,1.5,400032,3800.0,3.344825802198524,20.67526618229768,True,3250.0,1.0,0.7328985278163352,1.0
V20,1.5,400033,3150.0,3.355220796166034,20.602731679654955,True,0.0,-1.0,0.9816681052901212,-1.0
V20,1.5,400034,1400.0,3.119540728867311,24.375274577053972,True,0.0,1.0,0.8684139158375274,1.0
V20,1.5,400035,1250.0,3.7847889318904517,26.255586749700495,True,200.0,1.0,0.13993512550720302,1.0
V20,1.5,400036,2050.0,3.195669336118296,22.569884249086144,True,300.0,-1.0,0.0790097808256493,-1.0
V20,1.5,400037,7500.0,3.0233844636516243,13.801190113346653,True,7200.0,-1.0,0.37006170086524465,-1.0
V20,1.5,400038,1600.0,3.444717052304613,24.46337119339937,True,100.0,-1.0,0.0886610144072427,-1.0
V20,1.5,400039,1900.0,3.416564272314681,24.38013254997,True,1400.0,1.0,0.2667752095090578,1.0
V20,1.5,400040,1200.0,3.589588890301818,26.29929308823231,True,150.0,1.0,0.1007421302630483,1.0
V20,1.5,400041,,,0.917656644457897,False,,,,
V20,1.5,400042,4150.0,3.655609622959533,20.30647898624592,True,700.0,1.0,0.31111271512122,1.0
V20,1.5,400043,1850.0,3.7884156063904353,23.381002193100805,True,0.0,-1.0,0.23567520678257872,-1.0
V20,1.5,400044,5200.0,3.9774795969130574,18.604525383914392,True,4550.0,1.0,0.5863118636660154,1.0
V20,1.5,400045,1200.0,3.7991728035484154,25.941772165830596,True,0.0,-1.0,0.20962357052705982,-1.0
V20,1.5,400046,2950.0,3.3308082042332186,22.841238542242436,True,2450.0,-1.0,0.4445436650553696,-1.0
V20,1.5,400047,1300.0,2.8820911425915288,24.044336913235384,True,0.0,-1.0,0.12847758249811572,-1.0
V20,1.5,400048,3200.0,3.3903805697848903,20.823488105161537,True,0.0,-1.0,0.9594904090343656,1.0
V20,1.5,400049,1150.0,3.090644964176275,24.645220858174383,True,50.0,1.0,0.060465850489823184,1.0
V20,1.5,400050,1650.0,3.497183218889375,25.23413343198793,True,400.0,1.0,0.06817205357727127,1.0
V20,1.5,400051,,,0.7515768721894674,False,,,,
V20,1.5,400052,3150.0,2.9659759011278912,21.69170757110303,True,2450.0,1.0,0.18559702261470007,1.0
V20,1.5,400053,1450.0,3.7584376025700528,25.05228182449147,True,0.0,1.0,0.2346625251467806,1.0
V20,1.5,400054,1250.0,3.685623276890249,27.375459912035357,True,0.0,1.0,0.9745103026911448,1.0
