optimizer,budget,seed,w2,solved,gstar,R
adamw,2000,29,0.2996232509613037,False,0.06624635170956061,0.009924473631772235
adamw,1000,0,0.33464497327804565,False,0.06624635170956061,0.011084504298806962
adamw,1000,1,1.8124643564224243,False,0.06624635170956061,0.06003457560830117
adamw,1000,2,2.69736647605896,False,0.06624635170956061,0.08934534413128999
adamw,1000,3,1.601818561553955,False,0.06624635170956061,0.05305731790180289
adamw,1000,4,0.6269135475158691,False,0.06624635170956061,0.020765367680112303
adamw,1000,5,2.077289581298828,False,0.06624635170956061,0.06880642810266403
adamw,1000,6,0.6971968412399292,False,0.06624635170956061,0.023093373577787523
adamw,1000,7,2.820709228515625,False,0.06624635170956061,0.09343084781132474
adamw,1000,8,0.6053154468536377,False,0.06624635170956061,0.020049969993747963
adamw,1000,9,1.9238953590393066,False,0.06624635170956061,0.06372552430365465
adamw,1000,10,2.5582213401794434,False,0.06624635170956061,0.08473641532621545
adamw,1000,11,0.4404263198375702,False,0.06624635170956061,0.014588318443053553
adamw,1000,12,2.4809281826019287,False,0.06624635170956061,0.0821762204754042
adamw,1000,13,0.42458808422088623,False,0.06624635170956061,0.014063705779492687
adamw,1000,14,0.47762221097946167,False,0.06624635170956061,0.01582036448642169
adamw,1000,15,0.363884836435318,False,0.06624635170956061,0.012053021428135005
adamw,1000,16,0.3058011829853058,False,0.06624635170956061,0.010129106360622135
adamw,1000,17,0.7985116243362427,False,0.06624635170956061,0.026449240954975636
adamw,1000,18,1.9159079790115356,False,0.06624635170956061,0.06346095691037583
adamw,1000,19,2.2206978797912598,False,0.06624635170956061,0.07355656639266367
adamw,1000,20,1.395038366317749,False,0.06624635170956061,0.04620810113170823
adamw,1000,21,0.822545051574707,False,0.06624635170956061,0.027245304391788357
adamw,1000,22,1.0201481580734253,False,0.06624635170956061,0.03379054683779628
adamw,1000,23,0.43381112813949585,False,0.06624635170956061,0.014369202285125155
adamw,1000,24,0.3235519826412201,False,0.06624635170956061,0.010717069219187959
adamw,1000,25,0.28093403577804565,False,0.06624635170956061,0.009305427470669349
adamw,1000,26,0.37948277592658997,False,0.06624635170956061,0.01256967472087663
adamw,1000,27,1.553638219833374,False,0.06624635170956061,0.051461431970248675
adamw,1000,28,1.4853016138076782,False,0.06624635170956061,0.04919790655154071
adamw,1000,29,0.3076021373271942,False,0.06624635170956061,0.010188759687994936
adamw,16000,0,21.100996017456055,True,0.06624635170956061,0.6989320017972158
adamw,16000,1,22.338411331176758,True,0.06624635170956061,0.7399191268389848
adamw,16000,2,23.051786422729492,True,0.06624635170956061,0.763548375446906
adamw,16000,3,22.09017562866211,True,0.06624635170956061,0.7316967720111571
adamw,16000,4,11.226800918579102,True,0.06624635170956061,0.37186730111270466
adamw,16000,5,22.74978256225586,True,0.06624635170956061,0.7535450484676154
adamw,16000,6,21.803091049194336,True,0.06624635170956061,0.7221876190002504
adamw,16000,7,23.067462921142578,True,0.06624635170956061,0.7640676308606299
adamw,16000,8,11.235114097595215,True,0.06624635170956061,0.37214266000316765
adamw,16000,9,22.39798927307129,True,0.06624635170956061,0.7418925374854233
adamw,16000,10,22.898345947265625,True,0.06624635170956061,0.7584659395948753
adamw,16000,11,22.308712005615234,True,0.06624635170956061,0.7389353908556421
adamw,16000,12,22.912904739379883,True,0.06624635170956061,0.758948173026309
adamw,16000,13,21.525028228759766,True,0.06624635170956061,0.71297729530032
adamw,16000,14,20.20459747314453,True,0.06624635170956061,0.6692404351780161
adamw,16000,15,22.239336013793945,True,0.06624635170956061,0.7366374376784457
adamw,16000,16,22.580711364746094,True,0.06624635170956061,0.7479448734605211
adamw,16000,17,11.726555824279785,True,0.06624635170956061,0.38842077073851755
adamw,16000,18,22.37389373779297,True,0.06624635170956061,0.7410944168330844
adamw,16000,19,22.970056533813477,True,0.06624635170956061,0.7608412219637491
adamw,16000,20,21.868200302124023,True,0.06624635170956061,0.7243442442348139
adamw,16000,21,19.2763729095459,True,0.06624635170956061,0.638494689725212
adamw,16000,22,21.31723403930664,True,0.06624635170956061,0.7060944918214626
adamw,16000,23,22.790924072265625,True,0.06624635170956061,0.7549077859386
adamw,16000,24,22.71453094482422,True,0.06624635170956061,0.7523774029442617
adamw,16000,25,21.105085372924805,True,0.06624635170956061,0.6990674542375399
adamw,16000,26,22.86313247680664,True,0.06624635170956061,0.7572995576204052
