dataset,depth,width,activation,seed,quantizer,n_inputs,output_full_precision_pairs,output_post_hoc_pairs,output_interleaved_pairs,post_hoc_superset_holds,interleaved_superset_holds,f_not_g_pairs,f_not_g_within_class,f_not_g_between_class,final_post_hoc_pairs,final_interleaved_pairs,final_qf_not_g,final_qf_not_g_within,final_qf_not_g_between,final_g_not_qf,final_g_not_qf_within,final_g_not_qf_between,final_containment_holds,recovery_max_saturation_deviation
linked_tori,6,30,tanh,0,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,0,float16,2000,0,15032,14896,True,True,0,0,0,183,189,19,19,0,25,25,0,False,0.0
linked_tori,6,30,tanh,0,bfloat16,2000,0,94904,95166,True,True,0,0,0,3580,3590,665,665,0,675,675,0,False,0.0
linked_tori,6,30,tanh,0,fixed-8,2000,0,999000,999000,True,True,0,0,0,15681,16122,2386,2386,0,2827,2827,0,False,0.0
linked_tori,6,30,tanh,0,fixed-6,2000,0,999000,999000,True,True,0,0,0,108354,108918,22389,22389,0,22953,22953,0,False,0.0
linked_tori,6,30,tanh,0,fixed-4,2000,0,999000,996006,True,True,0,0,0,490828,492824,74315,74315,0,76311,76311,0,False,0.0
linked_tori,6,30,tanh,1,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,1,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,1,float16,2000,0,17055,16996,True,True,0,0,0,411,396,50,50,0,35,35,0,False,0.0
linked_tori,6,30,tanh,1,bfloat16,2000,0,91377,98806,True,True,0,0,0,5592,5676,1212,1212,0,1296,1296,0,False,0.0
linked_tori,6,30,tanh,1,fixed-8,2000,0,999000,999000,True,True,0,0,0,28135,28165,3756,3756,0,3786,3786,0,False,0.0
linked_tori,6,30,tanh,1,fixed-6,2000,0,999000,999000,True,True,0,0,0,163230,164379,26148,26148,0,27297,27297,0,False,0.0
linked_tori,6,30,tanh,1,fixed-4,2000,0,999000,997019,True,True,0,0,0,486872,483856,122211,122211,0,119195,119195,0,False,0.0
linked_tori,6,30,tanh,2,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,2,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,2,float16,2000,0,30278,29056,True,True,0,0,0,622,587,75,75,0,40,40,0,False,0.0
linked_tori,6,30,tanh,2,bfloat16,2000,0,99766,118118,True,True,0,0,0,10844,10667,1193,1193,0,1016,1016,0,False,0.0
linked_tori,6,30,tanh,2,fixed-8,2000,0,999000,999000,True,True,0,0,0,28698,28863,4224,4224,0,4389,4389,0,False,0.0
linked_tori,6,30,tanh,2,fixed-6,2000,0,999000,999000,True,True,0,0,0,122032,119500,27277,27277,0,24745,24745,0,False,0.0
linked_tori,6,30,tanh,2,fixed-4,2000,0,999000,991048,True,True,0,0,0,536475,504425,102020,102020,0,69970,69962,8,False,0.0
linked_tori,6,30,tanh,3,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,3,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,3,float16,2000,0,34264,34156,True,True,0,0,0,1457,1439,91,91,0,73,73,0,False,0.0
linked_tori,6,30,tanh,3,bfloat16,2000,0,211745,241068,True,True,0,0,0,27268,26812,2221,2221,0,1765,1765,0,False,0.0
linked_tori,6,30,tanh,3,fixed-8,2000,0,999000,999000,True,True,0,0,0,86235,86316,5836,5836,0,5917,5917,0,False,0.0
linked_tori,6,30,tanh,3,fixed-6,2000,0,999000,999000,True,True,0,0,0,264111,261454,29799,29799,0,27142,27142,0,False,0.0
linked_tori,6,30,tanh,3,fixed-4,2000,0,999000,993016,True,True,0,0,0,673401,675100,84815,84815,0,86514,86514,0,False,0.0
linked_tori,6,30,tanh,4,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,4,float32,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,30,tanh,4,float16,2000,0,7676,7532,True,True,0,0,0,108,113,10,10,0,15,15,0,False,0.0
linked_tori,6,30,tanh,4,bfloat16,2000,0,62442,63757,True,True,0,0,0,2190,2143,626,626,0,579,579,0,False,0.0
linked_tori,6,30,tanh,4,fixed-8,2000,0,999000,999000,True,True,0,0,0,13138,12809,2695,2695,0,2366,2366,0,False,0.0
linked_tori,6,30,tanh,4,fixed-6,2000,0,999000,999000,True,True,0,0,0,189063,191162,25595,25595,0,27694,27694,0,False,0.0
linked_tori,6,30,tanh,4,fixed-4,2000,0,999000,997003,True,True,0,0,0,730740,710195,119333,119333,0,98788,98788,0,False,0.0
linked_tori,6,50,tanh,0,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
