eps,a,Ghat_lo,Ghat_hi,converged,surviving,u,G,inner_active,outer_active,active_set,margin_inner_inactive,margin_outer_inactive,margin_inner_abs,margin_outer_abs,w1_canon,b1_canon,K_eps
0.3,1.3,0.08610318620387192,0.08610318671739027,True,106100,1.4546746457241242,0.08610318620387147,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.8837046463095823,inf,0.16219297191429183,0.7967581172939388,3.7441336531532583,0.5240073039658697
0.325,1.325,0.09636824675866684,0.09636824727215311,True,92852,1.444064148321439,0.09636824675866684,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.856849292176022,inf,0.17894131078207476,0.8232432270914106,3.7645280589505554,0.5201264223153685
0.35,1.35,0.10691421712474014,0.10691421817410372,True,83008,1.4336983498141014,0.10691421712474014,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.8307926565597705,inf,0.19573776359381112,0.8481873822398486,3.7837709979801053,0.5163371742511004
0.375,1.375,0.11772152455393625,0.11772152560340382,True,74308,1.4235675809379575,0.11772152455393581,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.8054981880734724,inf,0.2125459992793779,0.871753546916547,3.8019834874696103,0.5126358522660709
0.4,1.4,0.1287727430649186,0.12877274413660905,True,67172,1.4136627137080024,0.12877274306491948,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.780931595308631,inf,0.22933544673887551,0.8940788037143647,3.8192673033729108,0.5090189607909933
0.425,1.425,0.1400522601372396,0.1400522612072002,True,60932,1.4039751229349817,0.1400522601372396,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.7570606726411615,inf,0.24608031840165312,0.9152797998282417,3.835709037157935,0.5054832006315624
0.45,1.45,0.15154601085732322,0.15154601195134057,True,56210,1.394496648486055,0.15154601085732322,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.7338551356060408,inf,0.2627588292055787,0.9354567901231344,3.8513831076995837,0.5020254548087346
0.475,1.475,0.16324126282432916,0.16324126391875318,True,51394,1.385219566605294,0.16324126282432916,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.7112864887141241,inf,0.27935256747190573,0.954696701921833,3.866354039345055,0.4986427756505986
0.5,1.5,0.17512643990317445,0.17512644101951869,True,47746,1.3761365575122428,0.1751264399031749,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.6893278835532508,inf,0.295845978075846,0.9730754916556184,3.8806782163009372,0.49533237288237214
0.525,1.525,0.18719097629831438,0.187190977415202,True,44206,1.3672406781879014,0.18719097629831483,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.6679540003483997,inf,0.3122259377458967,0.9906599885168216,3.8944052533177866,0.4920916029071912
0.55,1.55,0.1994251944668095,0.19942519560548064,True,41108,1.3585253360945682,0.1994251944668095,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.6471409336991516,inf,0.3284814010171955,1.0075093542225664,3.9075790812217766,0.48891795884083006
0.575,1.575,0.21182020213136576,0.2118202032707084,True,38222,1.3499842712479255,0.21182020213136576,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.626866111165756,inf,0.3446031085077994,1.0236762580301721,3.9202388159344888,0.48580906141276964
0.6,1.6,0.2243678047238662,0.2243678058848642,True,36100,1.341611527349857,0.2243678047238662,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.6071081732838453,inf,0.3605833327934791,1.0392078205011785,3.9324194645746973,0.4827626506225842
0.625,1.625,0.23706043041780456,0.23706043274138436,True,33660,1.3334014403883359,0.2370604304178041,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.5878469188492492,inf,0.3764156740199871,1.0541463967440934,3.944152500687054,0.4797765780608793
