a,seed,cross_step,cross_w2,final_w2,n_checks,branch_cross,early_w1_defined,early_w1_step,early_w1_branch,early_w1_w2,early_w1w2_defined,early_w1w2_step,early_w1w2_branch,early_w1w2_w2,ever_on_plateau_w1,ever_on_plateau_w1w2,reproduced
1.5,28,1600.0,3.1253157503627516,23.54797668714908,33,-1.0,True,100.0,-1.0,0.03551147199847012,True,150.0,-1.0,0.08740999438550358,True,True,True
1.5,29,6250.0,2.942157930809711,15.646760574920602,126,-1.0,True,5750.0,-1.0,0.35405413461828417,True,5750.0,-1.0,0.35405413461828417,True,True,True
1.5,30,1300.0,3.016753554444774,23.964049155965025,27,-1.0,True,0.0,-1.0,0.06677258925427462,True,0.0,-1.0,0.06677258925427462,False,False,True
1.5,31,950.0,2.9289353769267104,25.202102638306474,20,1.0,True,0.0,1.0,0.439949264996202,True,0.0,1.0,0.439949264996202,False,False,True
1.5,32,1450.0,3.0741058608635816,23.66201262908334,30,1.0,True,0.0,-1.0,0.16188966300239466,True,0.0,-1.0,0.16188966300239466,False,False,True
1.5,33,1450.0,3.051634263013746,24.10904931365554,30,-1.0,True,0.0,-1.0,0.6025841154578313,True,0.0,-1.0,0.6025841154578313,False,False,True
1.5,34,1200.0,2.5789875533194975,23.41956258411022,25,1.0,True,0.0,1.0,0.4014353659720456,True,0.0,1.0,0.4014353659720456,False,False,True
1.5,35,1900.0,2.9145757770125647,21.944500505412503,39,-1.0,True,0.0,-1.0,0.8649976159942808,True,0.0,-1.0,0.8649976159942808,False,False,True
1.5,36,1250.0,3.298403007918231,24.6919181656713,26,1.0,True,50.0,1.0,0.8090032021907273,True,50.0,1.0,0.8090032021907273,True,True,True
1.5,37,2600.0,2.7571526736926,22.743767918193594,53,-1.0,True,2150.0,-1.0,0.2812291864504212,True,2150.0,-1.0,0.2812291864504212,True,True,True
1.5,38,850.0,3.172049598311692,25.276810966971208,18,-1.0,True,50.0,-1.0,0.7088030132328443,True,50.0,-1.0,0.7088030132328443,True,True,True
1.5,39,1000.0,2.9411694619353663,25.527997686998233,21,1.0,True,0.0,1.0,0.46570312043156503,True,0.0,1.0,0.46570312043156503,False,False,True
