eps_lo,eps_hi,krawczyk_ok,u_mid,v_mid,box_width_u,box_width_v,shape_ok,inner_decreasing_on_negative_part,outer_minus_window_negative_sigma,outer_plus_increasing,outer_plus_dominated,other_orientation_negative,strict_max_barycentric_min,strict_max,all_ok
-0.027500000000000004,-0.027250000000000003,True,1.622047072193313,1.2154457904624985,0.00028697005736311176,0.0002843816750246475,True,True,True,True,True,True,0.00461161255088828,True,True
-0.027250000000000003,-0.027000000000000003,True,1.6218941263846751,1.2153412836080606,0.00028689807298953873,0.00028430487019370787,True,True,True,True,True,True,0.004610633550915465,True,True
-0.027000000000000003,-0.026750000000000003,True,1.6217412279752055,1.2152368075402586,0.0002868261246540271,0.0002842281044221906,True,True,True,True,True,True,0.004609655355562422,True,True
-0.026750000000000003,-0.026500000000000003,True,1.6215883769390114,1.2151323622427104,0.0002867542123294875,0.0002841513776798976,True,True,True,True,True,True,0.004608677964336724,True,True
-0.026500000000000003,-0.026250000000000002,True,1.621435573250219,1.2150279476990449,0.00028668233598949655,0.00028407468993840723,True,True,True,True,True,True,0.004607701376746282,True,True
-0.026250000000000002,-0.026000000000000002,True,1.6212828168829767,1.2149235638929055,0.0002866104956067428,0.00028399804116752136,True,True,True,True,True,True,0.004606725592299383,True,True
-0.026000000000000002,-0.025750000000000002,True,1.6211301078114526,1.2148192108079476,0.0002865386911548029,0.00028392143133748604,True,True,True,True,True,True,0.00460575061050464,True,True
-0.025750000000000002,-0.025500000000000002,True,1.620977446009835,1.214714888427839,0.0002864669226068095,0.00028384486041943546,True,True,True,True,True,True,0.004604776430871038,True,True
-0.025500000000000002,-0.02525,True,1.620824831452333,1.214610596736261,0.00028639518993611723,0.0002837683283833936,True,True,True,True,True,True,0.0046038030529079055,True,True
-0.02525,-0.025,True,1.620672264113176,1.2145063357169075,0.0002863234931163028,0.00028369183520027264,True,True,True,True,True,True,0.0046028304761249385,True,True
-0.025,-0.02475,True,1.620519743966614,1.2144021053534844,0.0002862518321202767,0.0002836153808409847,True,True,True,True,True,True,0.004601858700032118,True,True
-0.02475,-0.0245,True,1.6203672709869168,1.2142979056297112,0.0002861802069220598,0.00028353896527533173,True,True,True,True,True,True,0.004600887724139925,True,True
-0.0245,-0.02425,True,1.6202148451483753,1.2141937365293198,0.0002861086174943406,0.00028346258847467,True,True,True,True,True,True,0.004599917547958998,True,True
-0.02425,-0.024,True,1.6200624664253005,1.2140895980360547,0.0002860370638111398,0.0002833862504092455,True,True,True,True,True,True,0.004598948171000487,True,True
-0.024,-0.023750000000000004,True,1.6199101347920226,1.2139854901336724,0.0002859655458455901,0.00028330995105041445,True,True,True,True,True,True,0.004597979592775814,True,True
-0.023750000000000004,-0.023500000000000004,True,1.6197578502228938,1.2138814128059439,0.0002858940635712681,0.000283233690368645,True,True,True,True,True,True,0.00459701181279677,True,True
-0.023500000000000004,-0.023250000000000003,True,1.6196056126922858,1.213777366036651,0.00028582261696152855,0.00028315746833440514,True,True,True,True,True,True,0.004596044830575489,True,True
-0.023250000000000003,-0.023000000000000003,True,1.6194534221745898,1.2136733498095889,0.00028575120599039217,0.0002830812849188291,True,True,True,True,True,True,0.0045950786456244435,True,True
-0.023000000000000003,-0.022750000000000003,True,1.6193012786442187,1.2135693641085654,0.0002856798306312136,0.00028300514009282907,True,True,True,True,True,True,0.004594113257456496,True,True
-0.022750000000000003,-0.022500000000000003,True,1.6191491820756045,1.2134654089174008,0.0002856084908573475,0.00028292903382687307,True,True,True,True,True,True,0.004593148665584827,True,True
-0.022500000000000003,-0.022250000000000002,True,1.6189971324432,1.213361484219928,0.00028553718664259264,0.0002828529660925394,True,True,True,True,True,True,0.004592184869522948,True,True
-0.022250000000000002,-0.022000000000000002,True,1.6188451297214772,1.2132575899999924,0.0002854659179607477,0.00028277693686029615,True,True,True,True,True,True,0.004591221868784807,True,True
-0.022000000000000002,-0.021750000000000002,True,1.6186931738849295,1.2131537262414525,0.0002853946847851674,0.0002827009461012775,True,True,True,True,True,True,0.004590259662884563,True,True
-0.021750000000000002,-0.021500000000000002,True,1.6185412649080697,1.213049892928179,0.00028532348708987243,0.0002826249937863956,True,True,True,True,True,True,0.004589298251336836,True,True
-0.021500000000000002,-0.02125,True,1.6183894027654306,1.2129460900440545,0.00028525232484843954,0.00028254907988656264,True,True,True,True,True,True,0.004588337633656539,True,True
-0.02125,-0.021,True,1.618237587431565,1.2128423175729743,0.00028518119803466746,0.0002824732043733569,True,True,True,True,True,True,0.004587377809358964,True,True
-0.021,-0.02075,True,1.618085818881047,1.212738575498848,0.0002851101066223549,0.0002823973672172464,True,True,True,True,True,True,0.00458641877795974,True,True
-0.02075,-0.0205,True,1.6179340970884686,1.2126348638055955,0.0002850390505855227,0.00028232156838958744,True,True,True,True,True,True,0.004585460538974784,True,True
-0.0205,-0.02025,True,1.6177824220284434,1.2125311824771499,0.0002849680298973034,0.00028224580786173625,True,True,True,True,True,True,0.004584503091920461,True,True
-0.02025,-0.020000000000000004,True,1.6176307936756047,1.212427531497457,0.0002848970445321619,0.000282170085604605,True,True,True,True,True,True,0.004583546436313416,True,True
-0.020000000000000004,-0.019750000000000004,True,1.6174792120046053,1.2123239108504749,0.000284826094464119,0.00028209440158932786,True,True,True,True,True,True,0.004582590571670654,True,True
-0.019750000000000004,-0.019500000000000003,True,1.617327676990119,1.2122203205201747,0.00028475517966675135,0.00028201875578748314,True,True,True,True,True,True,0.004581635497509534,True,True
-0.019500000000000003,-0.019250000000000003,True,1.6171761886068379,1.2121167604905387,0.0002846843001138577,0.00028194314817020505,True,True,True,True,True,True,0.004580681213347725,True,True
-0.019250000000000003,-0.019000000000000003,True,1.6170247468294752,1.212013230745563,0.00028461345577990294,0.00028186757870840573,True,True,True,True,True,True,0.004579727718703335,True,True
-0.019000000000000003,-0.018750000000000003,True,1.6168733516327636,1.2119097312692548,0.0002845426466382417,0.00028179204737410757,True,True,True,True,True,True,0.0045787750130946835,True,True
-0.018750000000000003,-0.018500000000000003,True,1.6167220029914555,1.2118062620456345,0.00028447187266333884,0.00028171655413777863,True,True,True,True,True,True,0.004577823096040532,True,True
-0.018500000000000003,-0.018250000000000002,True,1.616570700880324,1.2117028230587352,0.00028440113382921517,0.00028164109897166334,True,True,True,True,True,True,0.00457687196705994,True,True
-0.018250000000000002,-0.018000000000000002,True,1.6164194452741611,1.2115994142926017,0.00028433043010989145,0.00028156568184667385,True,True,True,True,True,True,0.004575921625672342,True,True
-0.018000000000000002,-0.017750000000000002,True,1.6162682361477785,1.2114960357312907,0.0002842597614793885,0.00028149030273438846,True,True,True,True,True,True,0.004574972071397506,True,True
-0.017750000000000002,-0.0175,True,1.6161170734760084,1.2113926873588732,0.00028418912791194906,0.00028141496160638546,True,True,True,True,True,True,0.004574023303755509,True,True
-0.0175,-0.01725,True,1.6159659572337028,1.2112893691594306,0.000284118529381594,0.000281339658433577,True,True,True,True,True,True,0.004573075322266811,True,True
-0.01725,-0.017,True,1.6158148873957328,1.2111860811170572,0.00028404796586234404,0.0002812643931882075,True,True,True,True,True,True,0.004572128126452209,True,True
-0.017,-0.01675,True,1.6156638639369891,1.2110828232158595,0.0002839774373286641,0.0002811891658414112,True,True,True,True,True,True,0.004571181715832831,True,True
-0.01675,-0.0165,True,1.6155128868323827,1.2109795954399567,0.00028390694375479697,0.0002811139763652104,True,True,True,True,True,True,0.004570236089930162,True,True
-0.0165,-0.01625,True,1.6153619560568446,1.2108763977734809,0.00028383648511476345,0.0002810388247307394,True,True,True,True,True,True,0.004569291248265988,True,True
-0.01625,-0.016,True,1.615211071585324,1.210773230200574,0.00028376606138325045,0.0002809637109095764,True,True,True,True,True,True,0.0045683471903625004,True,True
-0.016,-0.01575,True,1.615060233392792,1.2106700927053933,0.0002836956725340567,0.0002808886348737438,True,True,True,True,True,True,0.004567403915742197,True,True
-0.01575,-0.0155,True,1.6149094414542364,1.210566985272106,0.0002836253185418691,0.00028081359659481997,True,True,True,True,True,True,0.004566461423927887,True,True
-0.0155,-0.01525,True,1.6147586957446678,1.2104639078848929,0.0002835549993807085,0.0002807385960443831,True,True,True,True,True,True,0.004565519714442759,True,True
-0.01525,-0.015,True,1.6146079962391136,1.210360860527946,0.0002834847150250397,0.00028066363319445564,True,True,True,True,True,True,0.004564578786810342,True,True
-0.015,-0.01475,True,1.6144573429126219,1.2102578431854703,0.00028341446544977167,0.00028058870801661584,True,True,True,True,True,True,0.004563638640554488,True,True
-0.01475,-0.014499999999999999,True,1.6143067357402614,1.2101548558416826,0.00028334425062870316,0.00028051382048266404,True,True,True,True,True,True,0.004562699275199415,True,True
-0.014499999999999999,-0.014249999999999999,True,1.6141561746971183,1.2100518984808124,0.000283274070536077,0.0002804389705644006,True,True,True,True,True,True,0.004561760690269621,True,True
-0.014249999999999999,-0.013999999999999999,True,1.6140056597583001,1.2099489710871005,0.00028320392514724624,0.0002803641582336258,True,True,True,True,True,True,0.0045608228852900235,True,True
-0.013999999999999999,-0.013750000000000005,True,1.613855190898932,1.2098460736448007,0.0002831338144360096,0.00028028938346258414,True,True,True,True,True,True,0.0045598858597858186,True,True
-0.013750000000000005,-0.013500000000000005,True,1.6137047680941605,1.209743206138178,0.0002830637383774981,0.00028021464622285386,True,True,True,True,True,True,0.00455894961328255,True,True
-0.013500000000000005,-0.013250000000000005,True,1.61355439131915,1.2096403685515107,0.0002829936969457325,0.0002801399464866794,True,True,True,True,True,True,0.0045580141453061265,True,True
-0.013250000000000005,-0.013000000000000005,True,1.6134040605490854,1.2095375608690886,0.0002829236901151777,0.000280065284225417,True,True,True,True,True,True,0.004557079455382761,True,True
-0.013000000000000005,-0.012750000000000004,True,1.6132537757591705,1.2094347830752137,0.0002828537178609647,0.00027999065941175516,True,True,True,True,True,True,0.004556145543039041,True,True
-0.012750000000000004,-0.012500000000000004,True,1.6131035369246285,1.2093320351541994,0.0002827837801573363,0.00027991607201749424,True,True,True,True,True,True,0.004555212407801855,True,True
-0.012500000000000004,-0.012250000000000004,True,1.6129533440207018,1.2092293170903723,0.00028271387697897943,0.0002798415220146566,True,True,True,True,True,True,0.004554280049198449,True,True
-0.012250000000000004,-0.012000000000000004,True,1.6128031970226528,1.2091266288680707,0.00028264400830080305,0.0002797670093750426,True,True,True,True,True,True,0.00455334846675641,True,True
-0.012000000000000004,-0.011750000000000003,True,1.6126530959057623,1.2090239704716448,0.0002825741740974941,0.00027969253407134076,True,True,True,True,True,True,0.004552417660003619,True,True
-0.011750000000000003,-0.011500000000000003,True,1.6125030406453316,1.2089213418854572,0.00028250437434329534,0.0002796180960753514,True,True,True,True,True,True,0.004551487628468366,True,True
-0.011500000000000003,-0.011250000000000003,True,1.6123530312166796,1.2088187430938813,0.0002824346090135599,0.0002795436953593189,True,True,True,True,True,True,0.004550558371679215,True,True
-0.011250000000000003,-0.011000000000000003,True,1.612203067595146,1.2087161740813042,0.00028236487808275257,0.0002794693318952657,True,True,True,True,True,True,0.0045496298891650805,True,True
-0.011000000000000003,-0.010750000000000003,True,1.6120531497560884,1.2086136348321241,0.00028229518152578237,0.0002793950056556582,True,True,True,True,True,True,0.004548702180455242,True,True
-0.010750000000000003,-0.010500000000000002,True,1.6119032776748854,1.2085111253307514,0.00028222551931755824,0.00027932071661274094,True,True,True,True,True,True,0.004547775245079256,True,True
-0.010500000000000002,-0.010250000000000002,True,1.6117534513269332,1.208408645561609,0.000282155891432323,0.0002792464647385362,True,True,True,True,True,True,0.0045468490825670786,True,True
-0.010250000000000002,-0.010000000000000002,True,1.6116036706876478,1.2083061955091303,0.0002820862978458738,0.0002791722500055105,True,True,True,True,True,True,0.0045459236924489535,True,True
-0.010000000000000002,-0.009750000000000002,True,1.6114539357324642,1.2082037751577623,0.00028201673853245346,0.00027909807238613027,True,True,True,True,True,True,0.004544999074255486,True,True
-0.009750000000000002,-0.009500000000000001,True,1.6113042464368366,1.208101384491963,0.000281947213467193,0.00027902393185263996,True,True,True,True,True,True,0.004544075227517591,True,True
-0.009500000000000001,-0.009250000000000001,True,1.611154602776239,1.2079990234962028,0.0002818777226250013,0.000278949828377284,True,True,True,True,True,True,0.004543152151766515,True,True
-0.009250000000000001,-0.009000000000000001,True,1.6110050047261633,1.2078966921549636,0.0002818082659810095,0.0002788757619327509,True,True,True,True,True,True,0.004542229846533905,True,True
-0.009000000000000001,-0.00875,True,1.6108554522621206,1.2077943904527388,0.0002817388435099044,0.000278801732491063,True,True,True,True,True,True,0.00454130831135163,True,True
-0.00875,-0.0085,True,1.6107059453596422,1.2076921183740357,0.0002816694551870391,0.00027872774002535294,True,True,True,True,True,True,0.00454038754575195,True,True
-0.0085,-0.00825,True,1.6105564839942776,1.2075898759033716,0.0002816001009873226,0.000278653784507199,True,True,True,True,True,True,0.004539467549267535,True,True
-0.00825,-0.008,True,1.6104070681415954,1.2074876630252758,0.00028153078088566375,0.0002785798659101779,True,True,True,True,True,True,0.004538548321431211,True,True
-0.008,-0.00775,True,1.6102576977771834,1.2073854797242902,0.00028146149485741567,0.00027850598420608996,True,True,True,True,True,True,0.004537629861776277,True,True
-0.00775,-0.0075,True,1.6101083728766479,1.207283325984968,0.00028139224287770936,0.0002784321393678457,True,True,True,True,True,True,0.004536712169836313,True,True
-0.0075,-0.0072499999999999995,True,1.6099590934156147,1.2071812017918748,0.00028132302492123173,0.00027835833136791166,True,True,True,True,True,True,0.00453579524514525,True,True
-0.0072499999999999995,-0.006999999999999999,True,1.6098098593697285,1.2070791071295877,0.0002812538409637799,0.0002782845601789763,True,True,True,True,True,True,0.0045348790872372985,True,True
-0.006999999999999999,-0.006749999999999999,True,1.6096606707146528,1.206977041982695,0.00028118469098004084,0.00027821082577372813,True,True,True,True,True,True,0.004533963695647087,True,True
-0.006749999999999999,-0.006499999999999999,True,1.6095115274260696,1.2068750063357983,0.00028111557494581163,0.0002781371281248557,True,True,True,True,True,True,0.004533049069909475,True,True
-0.006499999999999999,-0.006249999999999999,True,1.609362429479681,1.2067730001735095,0.00028104649283555716,0.0002780634672050475,True,True,True,True,True,True,0.004532135209559741,True,True
-0.006249999999999999,-0.006000000000000005,True,1.609213376851206,1.2066710234804532,0.0002809774446252966,0.00027798984298677,True,True,True,True,True,True,0.004531222114133439,True,True
-0.006000000000000005,-0.005750000000000005,True,1.6090643695163847,1.2065690762412653,0.0002809084302897169,0.00027791625544337784,True,True,True,True,True,True,0.004530309783166446,True,True
-0.005750000000000005,-0.005500000000000005,True,1.6089154074509742,1.2064671584405937,0.0002808394498043931,0.00027784270454711546,True,True,True,True,True,True,0.004529398216195014,True,True
-0.005500000000000005,-0.005250000000000005,True,1.6087664906307513,1.2063652700630978,0.0002807705031449004,0.00027776919027111546,True,True,True,True,True,True,0.004528487412755712,True,True
-0.005250000000000005,-0.0050000000000000044,True,1.6086176190315118,1.2062634110934491,0.0002807015902861476,0.00027769571258851045,True,True,True,True,True,True,0.00452757737238539,True,True
-0.0050000000000000044,-0.004750000000000004,True,1.6084687926290695,1.206161581516331,0.0002806327112037099,0.0002776222714713228,True,True,True,True,True,True,0.004526668094621272,True,True
-0.004750000000000004,-0.004500000000000004,True,1.6083200113992573,1.2060597813164373,0.00028056386587294035,0.0002775488668931292,True,True,True,True,True,True,0.004525759579000902,True,True
-0.004500000000000004,-0.004250000000000004,True,1.6081712753179274,1.2059580104784755,0.00028049505426963606,0.0002774754988268402,True,True,True,True,True,True,0.004524851825062132,True,True
-0.004250000000000004,-0.0040000000000000036,True,1.6080225843609495,1.2058562689871626,0.000280426276368706,0.0002774021672451443,True,True,True,True,True,True,0.004523944832343196,True,True
-0.0040000000000000036,-0.0037500000000000033,True,1.6078739385042133,1.2057545568272294,0.0002803575321461693,0.0002773288721211742,True,True,True,True,True,True,0.004523038600382596,True,True
-0.0037500000000000033,-0.003500000000000003,True,1.607725337723626,1.2056528739834167,0.000280288821576935,0.0002772556134280624,True,True,True,True,True,True,0.004522133128719152,True,True
-0.003500000000000003,-0.003250000000000003,True,1.6075767819951148,1.2055512204404784,0.00028022014463702227,0.0002771823911384974,True,True,True,True,True,True,0.0045212284168921054,True,True
-0.003250000000000003,-0.0030000000000000027,True,1.607428271294624,1.205449596183178,0.0002801515013017841,0.00027710920522583393,True,True,True,True,True,True,0.004520324464440896,True,True
-0.0030000000000000027,-0.0027500000000000024,True,1.6072798055981175,1.205348001196293,0.0002800828915470177,0.0002770360556629825,True,True,True,True,True,True,0.004519421270905383,True,True
-0.0027500000000000024,-0.0025000000000000022,True,1.607131384881578,1.2052464354646109,0.00028001431534785404,0.00027696294242307573,True,True,True,True,True,True,0.0045185188358257055,True,True
-0.0025000000000000022,-0.002250000000000002,True,1.606983009121006,1.2051448989729314,0.0002799457726803123,0.0002768898654796903,True,True,True,True,True,True,0.004517617158742343,True,True
-0.002250000000000002,-0.0020000000000000018,True,1.6068346782924208,1.2050433917060657,0.00027987726351996756,0.0002768168248052927,True,True,True,True,True,True,0.004516716239196104,True,True
-0.0020000000000000018,-0.0017500000000000016,True,1.6066863923718604,1.204941913648836,0.00027980878784239493,0.00027674382037345957,True,True,True,True,True,True,0.004515816076728153,True,True
-0.0017500000000000016,-0.0015000000000000013,True,1.606538151335382,1.204840464786078,0.0002797403456231695,0.0002766708521575456,True,True,True,True,True,True,0.004514916670879894,True,True
-0.0015000000000000013,-0.0012500000000000011,True,1.6063899551590597,1.2047390451026363,0.00027967193683853253,0.0002765979201306834,True,True,True,True,True,True,0.004514018021193131,True,True
-0.0012500000000000011,-0.0010000000000000009,True,1.6062418038189874,1.204637654583369,0.000279603561463615,0.00027652502426600556,True,True,True,True,True,True,0.004513120127209953,True,True
-0.0010000000000000009,-0.0007500000000000007,True,1.606093697291277,1.2045362932131451,0.0002795352194746581,0.0002764521645366447,True,True,True,True,True,True,0.00451222298847278,True,True
-0.0007500000000000007,-0.0005000000000000004,True,1.605945635552059,1.2044349609768448,0.00027946691084723696,0.00027637934091662153,True,True,True,True,True,True,0.0045113266045244,True,True
-0.0005000000000000004,-0.0002500000000000002,True,1.6057976185774818,1.20433365785936,0.0002793986355571487,0.0002763065533788467,True,True,True,True,True,True,0.004510430974907854,True,True
-0.0002500000000000002,0.0,True,1.6056496463437135,1.2042323838455948,0.0002793303935801905,0.00027623380189645275,True,True,True,True,True,True,0.004509536099166514,True,True
0.0,0.0002500000000000002,True,1.6055017188269392,1.2041311389204639,0.00027926829222302274,0.0002761672055646702,True,True,True,True,True,True,0.004508633167109242,True,True
