family,a,seed,window,source,stored_cross_step,reproduced,cross_step_check,first_positive_step,R_check,R_step,R_interp_step,R_ref,check_interval,R_interp_check,growth_over_interval_rel,growth_one_step_rel,residual_check,residual_interp_step,residual_interp_check,R_ref_kind
Block G base window (lambda calibration),1.3,11,base,rerun,3900,True,3900,3889,0.2401179498219816,0.2386507659025154,0.23861384715157383,0.2131249999999998,50,0.2386491870194937,0.03142503742792825,0.0006266368772657706,0.1266531369946362,0.11959576376105141,0.11976158132313874,R_glob (base)
Block G base window (lambda calibration),1.3,12,base,rerun,2000,True,2000,1953,0.21619867711685242,0.21139527896619215,0.2113109509451514,0.2131249999999998,50,0.2113165648751948,0.023975465843047702,0.0004791900885535203,0.014421945416317472,-0.008511667119523225,-0.008485326098791823,R_glob (base)
Block G base window (lambda calibration),1.3,13,base,rerun,4350,True,4350,4326,0.2519284672309278,0.24932637842723648,0.24925188879998403,0.2131249999999998,50,0.24928371007711828,0.025447126781492545,0.000508930882835308,0.18206905445596755,0.16951032868027816,0.1696596367254828,R_glob (base)
Block G base window (lambda calibration),1.3,14,base,rerun,4650,True,4650,4627,0.21496702723545286,0.21216530674783785,0.21210377911172454,0.2131249999999998,50,0.2121510512829379,0.028637972997335497,0.0005726115434632012,0.00864294304024904,-0.004791652261702084,-0.004569847352782985,R_glob (base)
Block G base window (lambda calibration),1.3,15,base,rerun,2850,True,2850,2832,0.2232612162696587,0.22142221604750092,0.22134991603037557,0.2131249999999998,50,0.2213795579991289,0.023963425869341377,0.00047931091181329153,0.04755995903652277,0.03859198137419728,0.038731063925532494,R_glob (base)
Block G base window (lambda calibration),1.3,16,base,rerun,3700,True,3700,3669,0.2270391052886805,0.22248278133588248,0.22248264434031212,0.2131249999999998,50,0.22254496394645484,0.03459447767561657,0.0006933898596966904,0.06528612452166893,0.04390683561436881,0.04419924432354283,R_glob (base)
Block G base window (lambda calibration),1.3,18,base,rerun,2650,True,2650,2602,0.23865651587984588,0.23405437078253227,0.23398410731165076,0.2131249999999998,50,0.2339867094990071,0.022491995903044168,0.0004491905485218497,0.1197959689376944,0.09787264427754128,0.0978848539542867,R_glob (base)
Block G base window (lambda calibration),1.3,19,base,rerun,2200,True,2200,2160,0.22180118749162203,0.21770481436358782,0.21764258259883545,0.2131249999999998,50,0.21766252899529062,0.024018842306766857,0.00047995604100897337,0.04070938412491376,0.02119686849893565,0.021290458628930642,R_glob (base)
Block G base window (lambda calibration),1.3,20,base,rerun,3400,True,3400,3358,0.25096979247350715,0.24713810245563078,0.2471025370483486,0.2131249999999998,50,0.24711417516666698,0.021394261736930972,0.0004271128359107452,0.1775708737759878,0.1594253937752439,0.1594800007820163,R_glob (base)
Block G base window (lambda calibration),1.3,21,base,rerun,8500,True,8500,8483,0.24277615029019245,0.24050134436548587,0.24038753857877976,0.2131249999999998,50,0.24043411454961058,0.03153990450912011,0.0006294315213152142,0.1391256318601417,0.12791806957785345,0.12813660785741154,R_glob (base)
Block G base window (lambda calibration),1.3,22,base,rerun,3550,True,3550,3524,0.2229005625765294,0.22071026952684483,0.22070344769453185,0.2131249999999998,50,0.22072429222418444,0.019731430431858626,0.0003944549675000151,0.04586774229456725,0.035558698859974536,0.035656503104678716,R_glob (base)
Block G base window (lambda calibration),1.5,0,base,rerun,2900,True,2900,2874,0.23435458322325445,0.22844704044681602,0.22841981596833508,0.2212499999999999,50,0.2285766012292955,0.051567427835339505,0.0010318072885751484,0.05922975468137648,0.032405947879481145,0.03311458182732485,R_glob (base)
Block G base window (lambda calibration),1.5,1,base,rerun,1250,True,1250,1234,0.24709830053513837,0.2441392375282019,0.24411223597104634,0.2212499999999999,50,0.24419386062385945,0.041800401555152425,0.0008359526829883393,0.11682847699497634,0.10333213998213098,0.10370106496659681,R_glob (base)
Block G base window (lambda calibration),1.5,2,base,rerun,850,True,850,848,0.23353205153468934,0.23306500062616747,0.23299757776635568,0.2212499999999999,50,0.2330254301069757,0.053125702738241264,0.0010559059651442991,0.05551209733192963,0.05309639668409405,0.05322228296938225,R_glob (base)
Block G base window (lambda calibration),1.5,3,base,rerun,1550,True,1550,1539,0.2736650848515724,0.2717688254693198,0.27176226443905804,0.2212499999999999,50,0.271813513610896,0.03892769678618974,0.0007789714515127274,0.23690433831219226,0.22830402006353978,0.22853565473851356,R_glob (base)
Block G base window (lambda calibration),1.5,5,base,rerun,1200,True,1200,1151,0.2578821195874536,0.24848839172573908,0.2484006108761802,0.2212499999999999,50,0.24840480853994493,0.043323962981829583,0.0008664359232328481,0.16556890209018627,0.12271462542906364,0.12273359792065563,R_glob (base)
Block G base window (lambda calibration),1.5,6,base,rerun,4050,True,4050,4046,0.22771042931762706,0.22569655941767067,0.22559515779482087,0.2212499999999999,50,0.2260732573628878,0.12073938051226799,0.0022890580049804324,0.02919968053164812,0.019639131276027122,0.02180003327858948,R_glob (base)
Block G base window (lambda calibration),1.5,7,base,rerun,850,True,850,847,0.24036900636682082,0.23971418099248726,0.23969350517242993,0.2212499999999999,50,0.2397248986595092,0.0495033862803315,0.0009868470139032675,0.08641358809862565,0.08336047535561608,0.0835023668226409,R_glob (base)
Block G base window (lambda calibration),1.5,9,base,rerun,1350,True,1350,1320,0.27816416722622234,0.27256394239383747,0.2725199711811614,0.2212499999999999,50,0.27260288176234326,0.04219486114843154,0.0008439947348331372,0.25723917390383044,0.23172868330468477,0.2321034203947725,R_glob (base)
Block G base window (lambda calibration),1.5,10,base,rerun,950,True,950,941,0.25099793890547617,0.24906662353368786,0.24891116866868912,0.2212499999999999,50,0.2489915515304474,0.048644350290066855,0.0009706151960182456,0.1344539611546951,0.12502223127091172,0.12538554364044074,R_glob (base)
Block G base window (lambda calibration),1.5,11,base,rerun,2950,True,2950,2910,0.2702525354736687,0.2535491935595114,0.25353556149498746,0.2212499999999999,50,0.25384583167853186,0.09505583368635334,0.0019428700341650273,0.221480386321667,0.14592344178525463,0.14732579289731973,R_glob (base)
Block G base window (lambda calibration),1.5,12,base,rerun,900,True,900,872,0.23369371054753318,0.22774636074550383,0.22758501362490466,0.2212499999999999,50,0.22771958344109278,0.048066611094998886,0.000961730308905078,0.05624275953687374,0.02863282994307248,0.029241055100984736,R_glob (base)
Block G base window (lambda calibration),1.5,13,base,rerun,3050,True,3050,3028,0.27180525909766257,0.2657471364186333,0.26565260379941374,0.2212499999999999,50,0.26584719577302696,0.06273160259416391,0.001252652536117029,0.22849834620412524,0.20068973468661633,0.20156924643176088,R_glob (base)
Block G base window (lambda calibration),1.5,14,base,rerun,3100,True,3100,3094,0.22982765047497475,0.22796961766055412,0.22779491895148218,0.2212499999999999,50,0.22792809390017493,0.07127048633905222,0.0014035479487463365,0.038769041694801665,0.029581554582970737,0.030183475255028513,R_glob (base)
Block G base window (lambda calibration),1.5,15,base,rerun,1750,True,1750,1746,0.2385470278873374,0.23755887539594872,0.2373622702049484,0.2212499999999999,50,0.2374233050327229,0.05638637200975453,0.001117725248044052,0.07817865711790972,0.0728238201353606,0.07309968376371989,R_glob (base)
Block G base window (lambda calibration),1.5,16,base,rerun,3900,True,3900,3860,0.25750382981678394,0.23859386670909957,0.23810803169204836,0.2212499999999999,50,0.23850938393223287,0.1078963286716142,0.002222085185751672,0.16385911781597318,0.07619449352338292,0.0780085149479457,R_glob (base)
