group,a,seed,init_branch,T_plus,T_minus,split
cross,1.3,27,1,5.146875,4.340625,0.18574514038876877
cross,1.3,28,1,4.040625,5.740625,0.4207269914926525
cross,1.3,29,-1,4.828125,5.153125,0.06731391585760521
cross,1.3,30,-1,4.534375,5.484375,0.20951068228807723
cross,1.3,31,1,5.378125,4.484375,0.1993031358885017
cross,1.3,32,-1,5.640625,4.553125,0.23884694577899804
cross,1.3,33,-1,4.778125,5.384375,0.12688031393067367
cross,1.3,34,1,4.653125,5.184375,0.11417058428475486
cross,1.3,35,-1,4.834375,5.265625,0.08920491273432458
cross,1.3,36,1,6.059375,4.278125,0.4163623082542001
cross,1.3,37,1,5.559375,4.859375,0.14405144694533767
cross,1.3,38,-1,4.346875,5.765625,0.3263838964773545
cross,1.3,39,1,5.321875,4.578125,0.16245733788395914
cross,1.5,0,1,2.4156250000000004,2.471875,0.023285899094437033
cross,1.5,1,-1,2.609375,2.671875,0.023952095808383235
cross,1.5,2,1,2.503125,2.496875,0.002503128911138781
cross,1.5,3,1,2.3531250000000004,2.953125,0.25498007968127473
cross,1.5,4,-1,2.2093749999999996,2.9781250000000004,0.3479490806223483
cross,1.5,5,1,2.684375,2.471875,0.08596713021491798
cross,1.5,6,1,2.3843750000000004,2.653125,0.11271297509829611
cross,1.5,7,1,2.453125,2.565625,0.045859872611464896
cross,1.5,8,1,2.5718750000000004,2.484375,0.03522012578616367
cross,1.5,9,-1,2.315625,2.9468750000000004,0.2726045883940623
cross,1.5,10,1,2.671875,2.465625,0.08365019011406837
cross,1.5,11,-1,2.7593750000000004,2.371875,0.163372859025033
cross,1.5,12,1,2.465625,2.4156250000000004,0.02069857697283304
cross,1.5,13,-1,2.3656249999999996,2.890625,0.22192866578599754
cross,1.5,14,1,2.453125,2.4156250000000004,0.01552393272962469
cross,1.5,15,-1,2.534375,2.6781249999999996,0.05672009864364975
cross,1.5,16,-1,2.5718750000000004,2.4281249999999996,0.0592020592020595
cross,1.5,17,-1,2.496875,2.671875,0.07008760951188979
cross,1.5,18,1,2.234375,2.684375,0.20139860139860147
cross,1.5,19,1,2.5218749999999996,2.484375,0.015094339622641366
cross,1.5,20,1,2.8531250000000004,2.3218750000000004,0.22880215343203228
cross,1.5,21,1,2.765625,2.2281250000000004,0.24123422159887778
cross,1.5,22,1,2.6343750000000004,2.534375,0.03945745992601748
cross,1.5,23,1,2.246875,2.7906250000000004,0.24200278164116834
cross,1.5,24,-1,2.515625,2.828125,0.12422360248447205
cross,1.5,25,-1,2.9593749999999996,2.1468749999999996,0.37845705967976717
cross,1.5,26,1,2.215625,2.815625,0.2708039492242593
cross,1.5,27,1,2.640625,2.2093749999999996,0.19519094766619538
cross,1.5,28,1,2.0531249999999996,2.934375,0.42922374429223775
cross,1.5,29,-1,2.471875,2.628125,0.06321112515802782
cross,1.5,30,-1,2.309375,2.7906250000000004,0.20838971583220575
cross,1.5,31,1,2.7406249999999996,2.284375,0.19972640218878243
cross,1.5,32,-1,2.878125,2.3343749999999996,0.23293172690763064
cross,1.5,33,-1,2.4281249999999996,2.753125,0.13384813384813393
cross,1.5,34,1,2.378125,2.6468749999999996,0.1130091984231274
cross,1.5,35,-1,2.4593749999999996,2.6781249999999996,0.0889453621346887
cross,1.5,36,1,3.0843749999999996,2.171875,0.42014388489208615
cross,1.5,37,1,2.828125,2.4906249999999996,0.13550815558343807
cross,1.5,38,-1,2.203125,2.940625,0.3347517730496453
cross,1.5,39,1,2.7281250000000004,2.328125,0.1718120805369129
