group,a,seed,init_branch,T_plus,T_minus
cross,1.3,13,-1,4.634375,5.659375
cross,1.3,14,1,4.790625,4.728125
cross,1.3,15,-1,4.978125,5.234375
cross,1.3,16,-1,5.040625,4.765625
cross,1.3,17,-1,4.865625,5.246875
cross,1.3,18,1,4.365625,5.265625
cross,1.3,19,1,4.921875,4.878125
cross,1.3,20,1,5.596875,4.571875
cross,1.3,21,1,5.421875,4.371875
cross,1.3,22,1,5.171875,4.953125
cross,1.3,23,1,4.390625,5.459375
cross,1.3,24,-1,4.940625,5.565625
cross,1.3,25,-1,5.790625,4.221875
cross,1.3,26,1,4.340625,5.509375
cross,1.3,27,1,5.146875,4.340625
cross,1.3,28,1,4.040625,5.740625
cross,1.3,29,-1,4.828125,5.153125
cross,1.3,30,-1,4.534375,5.484375
cross,1.3,31,1,5.378125,4.484375
cross,1.3,32,-1,5.640625,4.553125
cross,1.3,33,-1,4.778125,5.384375
cross,1.3,34,1,4.653125,5.184375
cross,1.3,35,-1,4.834375,5.265625
cross,1.3,36,1,6.059375,4.278125
cross,1.3,37,1,5.559375,4.859375
cross,1.3,38,-1,4.346875,5.765625
cross,1.3,39,1,5.321875,4.578125
cross,1.5,0,1,2.4156250000000004,2.471875
cross,1.5,1,-1,2.609375,2.671875
cross,1.5,2,1,2.503125,2.496875
cross,1.5,3,1,2.3531250000000004,2.953125
cross,1.5,4,-1,2.2093749999999996,2.9781250000000004
cross,1.5,5,1,2.684375,2.471875
cross,1.5,6,1,2.3843750000000004,2.653125
cross,1.5,7,1,2.453125,2.565625
cross,1.5,8,1,2.5718750000000004,2.484375
cross,1.5,9,-1,2.315625,2.9468750000000004
cross,1.5,10,1,2.671875,2.465625
cross,1.5,11,-1,2.7593750000000004,2.371875
cross,1.5,12,1,2.465625,2.4156250000000004
cross,1.5,13,-1,2.3656249999999996,2.890625
cross,1.5,14,1,2.453125,2.4156250000000004
cross,1.5,15,-1,2.534375,2.6781249999999996
cross,1.5,16,-1,2.5718750000000004,2.4281249999999996
cross,1.5,17,-1,2.496875,2.671875
cross,1.5,18,1,2.234375,2.684375
cross,1.5,19,1,2.5218749999999996,2.484375
cross,1.5,20,1,2.8531250000000004,2.3218750000000004
cross,1.5,21,1,2.765625,2.2281250000000004
cross,1.5,22,1,2.6343750000000004,2.534375
cross,1.5,23,1,2.246875,2.7906250000000004
cross,1.5,24,-1,2.515625,2.828125
cross,1.5,25,-1,2.9593749999999996,2.1468749999999996
cross,1.5,26,1,2.215625,2.815625
cross,1.5,27,1,2.640625,2.2093749999999996
cross,1.5,28,1,2.0531249999999996,2.934375
cross,1.5,29,-1,2.471875,2.628125
cross,1.5,30,-1,2.309375,2.7906250000000004
cross,1.5,31,1,2.7406249999999996,2.284375
cross,1.5,32,-1,2.878125,2.3343749999999996
cross,1.5,33,-1,2.4281249999999996,2.753125
cross,1.5,34,1,2.378125,2.6468749999999996
cross,1.5,35,-1,2.4593749999999996,2.6781249999999996
cross,1.5,36,1,3.0843749999999996,2.171875
cross,1.5,37,1,2.828125,2.4906249999999996
cross,1.5,38,-1,2.203125,2.940625
cross,1.5,39,1,2.7281250000000004,2.328125
