dataset,depth,width,activation,seed,layer,distance_from_output,quantizer,min_between_class_distance,min_between_class_chebyshev,quantization_step,margin_in_steps,margin_in_steps_chebyshev,margin_below_one,between_class_collision_pairs,recovery_max_saturation_deviation,collision_group_pure_fraction,collision_group_count
linked_tori,4,15,tanh,0,1,3,bfloat16,0.5296955087407011,0.23329481820627768,0.00390625,135.6020502376195,59.723473460807085,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,1,3,fixed-8,0.5296955087407011,0.23329481820627768,0.0078125,67.80102511880975,29.861736730403543,False,0,0.0,1.0,1.0
linked_tori,4,15,tanh,0,1,3,fixed-6,0.5296955087407011,0.23329481820627768,0.03125,16.950256279702437,7.465434182600886,False,0,0.0,1.0,6.0
linked_tori,4,15,tanh,0,1,3,fixed-4,0.5296955087407011,0.23329481820627768,0.125,4.237564069925609,1.8663585456502214,False,0,0.0,1.0,199.0
linked_tori,4,15,tanh,0,2,2,float64,0.47456527139272725,0.19655799407134217,1.1102230246251565e-16,4274503958814529.5,1770437017712777.5,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,2,2,float32,0.47456527139272725,0.19655799407134217,5.960464477539063e-08,7961884.064254406,3297695.923061627,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,2,2,float16,0.47456527139272725,0.19655799407134217,0.00048828125,971.9096758123054,402.55077185810876,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,2,2,bfloat16,0.47456527139272725,0.19655799407134217,0.00390625,121.48870947653818,50.318846482263595,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,2,2,fixed-8,0.47456527139272725,0.19655799407134217,0.0078125,60.74435473826909,25.159423241131798,False,0,0.0,1.0,2.0
linked_tori,4,15,tanh,0,2,2,fixed-6,0.47456527139272725,0.19655799407134217,0.03125,15.186088684567272,6.289855810282949,False,0,0.0,1.0,12.0
linked_tori,4,15,tanh,0,2,2,fixed-4,0.47456527139272725,0.19655799407134217,0.125,3.796522171141818,1.5724639525707373,False,0,0.0,1.0,259.0
linked_tori,4,15,tanh,0,3,1,float64,1.10529428445827,0.39788900784383496,1.1102230246251565e-16,9955605855242008.0,3583865574920623.0,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,3,1,float32,1.10529428445827,0.39788900784383496,5.960464477539063e-08,18543760.95392184,6675469.828621713,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,3,1,float16,1.10529428445827,0.39788900784383496,0.00048828125,2263.642694570537,814.876688064174,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,3,1,bfloat16,1.10529428445827,0.39788900784383496,0.00390625,282.95533682131713,101.85958600802175,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,3,1,fixed-8,1.10529428445827,0.39788900784383496,0.0078125,141.47766841065857,50.929793004010875,False,0,0.0,1.0,1.0
linked_tori,4,15,tanh,0,3,1,fixed-6,1.10529428445827,0.39788900784383496,0.03125,35.36941710266464,12.732448251002719,False,0,0.0,1.0,37.0
linked_tori,4,15,tanh,0,3,1,fixed-4,1.10529428445827,0.39788900784383496,0.125,8.84235427566616,3.1831120627506797,False,0,0.0,1.0,352.0
linked_tori,4,15,tanh,0,4,0,float64,4.500496227616991,1.3616452010207287,1.1102230246251565e-16,4.053686626735641e+16,1.2264609639855556e+16,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,4,0,float32,4.500496227616991,1.3616452010207287,5.960464477539063e-08,75505797.31791542,22844615.652888186,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,4,0,float16,4.500496227616991,1.3616452010207287,0.00048828125,9217.016274159598,2788.6493716904524,False,0,0.0,1.0,11.0
linked_tori,4,15,tanh,0,4,0,bfloat16,4.500496227616991,1.3616452010207287,0.00390625,1152.1270342699497,348.58117146130655,False,0,0.0,1.0,160.0
linked_tori,4,15,tanh,0,4,0,fixed-8,4.500496227616991,1.3616452010207287,0.0078125,576.0635171349749,174.29058573065328,False,0,0.0,1.0,199.0
linked_tori,4,15,tanh,0,4,0,fixed-6,4.500496227616991,1.3616452010207287,0.03125,144.01587928374371,43.57264643266332,False,0,0.0,1.0,205.0
linked_tori,4,15,tanh,0,4,0,fixed-4,4.500496227616991,1.3616452010207287,0.125,36.00396982093593,10.89316160816583,False,0,0.0,1.0,102.0
linked_tori,4,15,tanh,1,1,3,float64,0.4463957679053835,0.19749278653997682,1.1102230246251565e-16,4020775627996903.0,1778856879739601.0,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,1,3,float32,0.4463957679053835,0.19749278653997682,5.960464477539063e-08,7489278.219634486,3313379.1382230837,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,1,3,float16,0.4463957679053835,0.19749278653997682,0.00048828125,914.2185326702254,404.4652268338725,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,1,3,bfloat16,0.4463957679053835,0.19749278653997682,0.00390625,114.27731658377817,50.558153354234065,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,1,3,fixed-8,0.4463957679053835,0.19749278653997682,0.0078125,57.13865829188909,25.279076677117033,False,0,0.0,1.0,1.0
linked_tori,4,15,tanh,1,1,3,fixed-6,0.4463957679053835,0.19749278653997682,0.03125,14.284664572972272,6.319769169279258,False,0,0.0,1.0,11.0
linked_tori,4,15,tanh,1,1,3,fixed-4,0.4463957679053835,0.19749278653997682,0.125,3.571166143243068,1.5799422923198145,False,0,0.0,1.0,226.0
linked_tori,4,15,tanh,1,2,2,float64,0.4876902682542061,0.20316784909788513,1.1102230246251565e-16,4392723420763719.5,1829973298981801.2,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,2,2,float32,0.4876902682542061,0.20316784909788513,5.960464477539063e-08,8182084.971598758,3408590.888570624,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,2,2,float16,0.4876902682542061,0.20316784909788513,0.00048828125,998.7896693846141,416.08775495246874,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,2,2,bfloat16,0.4876902682542061,0.20316784909788513,0.00390625,124.84870867307676,52.01096936905859,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,2,2,fixed-8,0.4876902682542061,0.20316784909788513,0.0078125,62.42435433653838,26.005484684529296,False,0,0.0,,0.0
linked_tori,4,15,tanh,1,2,2,fixed-6,0.4876902682542061,0.20316784909788513,0.03125,15.606088584134595,6.501371171132324,False,0,0.0,1.0,13.0
