q,a,budget,seed,w2,solved,gstar,R
2.0,1.1,32000,2,274.0423583984375,True,0.011594688519835472,1.5887178934355006
2.0,1.1,32000,3,265.62176513671875,True,0.011594688519835472,1.5399008154245735
2.0,1.1,32000,4,212.55612182617188,True,0.011594688519835472,1.2322610127793325
2.0,1.1,32000,5,0.31806015968322754,False,0.011594688519835472,0.0018439042410480777
2.0,1.1,32000,6,273.8719177246094,True,0.011594688519835472,1.5877297901734266
2.0,1.1,32000,7,0.4613141417503357,False,0.011594688519835472,0.0026743968916951855
2.0,1.1,32000,8,272.745361328125,True,0.011594688519835472,1.5811987549147943
2.0,1.1,32000,9,268.3490295410156,True,0.011594688519835472,1.555711706064102
2.0,1.1,32000,10,270.3402404785156,True,0.011594688519835472,1.567255441362903
2.0,1.1,32000,11,272.6663513183594,True,0.011594688519835472,1.5807407066882035
2.0,1.1,32000,12,270.99700927734375,True,0.011594688519835472,1.5710629561888823
2.0,1.1,32000,13,269.4971008300781,True,0.011594688519835472,1.5623674705617248
2.0,1.1,32000,14,0.7122881412506104,False,0.011594688519835472,0.0041293795670866995
2.0,1.1,32000,15,266.1827087402344,True,0.011594688519835472,1.5431527986045523
2.0,1.1,32000,16,270.8663635253906,True,0.011594688519835472,1.5703055577887142
2.0,1.1,32000,17,271.0443115234375,True,0.011594688519835472,1.571337183593755
2.0,1.1,32000,18,273.5036926269531,True,0.011594688519835472,1.5855950625171715
2.0,1.1,32000,19,263.5577392578125,True,0.011594688519835472,1.5279349468431747
2.0,1.15,2000,0,1.8816930055618286,False,0.021907158195972443,0.020611273174548916
2.0,1.15,2000,1,12.470931053161621,False,0.021907158195972443,0.13660132971633843
2.0,1.15,2000,2,14.575417518615723,False,0.021907158195972443,0.15965298867633138
2.0,1.15,2000,3,11.405393600463867,False,0.021907158195972443,0.12492988094634683
2.0,1.15,2000,4,1.4418981075286865,False,0.021907158195972443,0.01579394497205211
2.0,1.15,2000,5,0.3707043528556824,False,0.021907158195972443,0.004060539450972511
