a,budget,seed,init_distance_step0,distance_step1_recomputed,logged_first_distance,step1_reproduced,min_distance_logged,min_including_step0,min_at_step0
1.6,32000,2,5.132007630065108,5.13011631083921,5.13011631083921,True,5.119238296542667,5.119238296542667,False
1.3,32000,20,5.225932727699516,5.22336472553029,5.22336472553029,True,5.191403284332842,5.191403284332842,False
1.4,32000,22,4.259825331737983,4.268785369510193,4.268785369510193,True,4.268785369510193,4.259825331737983,True
1.4,4000,16,4.4677204223417215,4.480199707278287,4.480199707278287,True,4.480199707278287,4.4677204223417215,True
1.45,4000,10,5.253006389210679,5.236654804181916,5.236654804181916,True,4.8049621834433935,4.8049621834433935,False
1.4,2000,2,5.1143343545057895,5.112978801167967,5.112978801167967,True,5.106731660038899,5.106731660038899,False
1.35,8000,20,5.246747142595932,5.244047843925851,5.244047843925851,True,5.209061381925067,5.209061381925067,False
1.4,2000,5,5.909848762926129,5.9232731520842155,5.9232731520842155,True,5.9232731520842155,5.909848762926129,True
1.35,2000,35,5.176500473618337,5.173426465305522,5.173426465305522,True,5.130676818602975,5.130676818602975,False
1.6,16000,2,5.132007630065108,5.13011631083921,5.13011631083921,True,5.119096713992672,5.119096713992672,False
1.5,32000,1,5.685348186265022,5.668884670618583,5.668884670618583,True,5.263816056601562,5.263816056601562,False
1.5,16000,25,6.200906282728384,6.183866465168883,6.183866465168883,True,4.748232035493303,4.748232035493303,False
1.3,4000,15,5.137542463082517,5.134614947949181,5.134614947949181,True,5.0875579129232875,5.0875579129232875,False
1.6,16000,15,5.197815048591261,5.194116323192144,5.194116323192144,True,5.119888819532866,5.119888819532866,False
1.6,8000,21,4.681261208193547,4.689360520047775,4.689360520047775,True,4.689360520047775,4.681261208193547,True
1.6,2000,0,4.4489349669511125,4.45741842386493,4.45741842386493,True,4.45741842386493,4.4489349669511125,True
1.35,32000,23,5.202664578995778,5.218014328285512,5.218014328285512,True,4.601815428402835,4.601815428402835,False
1.45,8000,33,4.895154855645803,4.904626766064477,4.904626766064477,True,4.81682928932629,4.81682928932629,False
1.5,8000,10,5.2550650132142085,5.238730255061094,5.238730255061094,True,4.815921288008411,4.815921288008411,False
1.6,8000,35,5.23948861590904,5.23579840932699,5.23579840932699,True,5.180808265422233,5.180808265422233,False
1.5,16000,4,4.844156574659156,4.852952398037604,4.852952398037604,True,4.852952398037604,4.844156574659156,True
1.3,8000,19,5.607713103260285,5.620844188377073,5.620844188377073,True,5.620844188377073,5.607713103260285,True
1.5,16000,32,5.7731623824299305,5.756446089224883,5.756446089224883,True,5.382778807815213,5.382778807815213,False
1.45,4000,21,4.65857633043396,4.666773288844964,4.666773288844964,True,4.666773288844964,4.65857633043396,True
1.5,8000,30,5.182672378142228,5.172243895558839,5.172243895558839,True,4.689412071764609,4.689412071764609,False
1.4,2000,31,5.276137138283947,5.258984608018571,5.258984608018571,True,4.738180701177248,4.738180701177248,False
1.6,8000,4,4.8526178870907,4.861350021998732,4.861350021998732,True,4.861350021998732,4.8526178870907,True
1.35,16000,7,5.597846019649344,5.596874828993011,5.59687482899301,True,5.593230100714968,5.593230100714968,False
1.3,4000,26,4.814314695621605,4.814994036349338,4.814994036349338,True,4.814994036349338,4.814314695621605,True
1.5,4000,27,5.478329188247792,5.473419926963943,5.473419926963943,True,5.461591696833025,5.461591696833025,False
1.6,2000,28,4.890036044426764,4.891607037204821,4.891607037204821,True,4.879917052315918,4.879917052315918,False
1.45,32000,10,5.253006389210679,5.236654804181916,5.236654804181916,True,4.817644791689548,4.817644791689548,False
1.45,2000,20,5.275697178375752,5.272747262317398,5.272747262317398,True,5.231663735498047,5.231663735498047,False
1.35,32000,12,5.5293020957771075,5.5135061616869985,5.5135061616869985,True,5.27561366142491,5.27561366142491,False
1.5,4000,11,4.630964568559711,4.625603767558627,4.625603767558627,True,4.536916533061013,4.536916533061013,False
1.45,4000,30,5.186882071550665,5.176436039340878,5.176436039340878,True,4.687204746799207,4.687204746799207,False
1.5,8000,21,4.66820702142586,4.676375445260395,4.676375445260395,True,4.676375445260395,4.66820702142586,True
1.3,32000,35,5.153140648707693,5.150200731630284,5.150200731630284,True,5.110052879602412,5.110052879602412,False
1.5,8000,25,6.200906282728384,6.183866465168883,6.183866465168883,True,4.748232035493303,4.748232035493303,False
1.6,4000,3,5.454275264305401,5.462059475467312,5.462059475467312,True,5.462059475467312,5.454275264305401,True
1.6,32000,31,5.288853612237656,5.271795958914013,5.271795958914013,True,4.728034332519868,4.728034332519868,False
1.5,16000,11,4.630964568559711,4.625603767558627,4.625603767558627,True,4.536905027573022,4.536905027573022,False
1.35,8000,31,5.265920206369242,5.248742434432053,5.248742434432053,True,4.7850324958676795,4.7850324958676795,False
1.4,4000,17,4.43939490335541,4.434588164087878,4.434588164087878,True,4.3476475604222635,4.3476475604222635,False
1.35,2000,9,5.644282751503274,5.628204408483242,5.628204408483242,True,5.516308860173182,5.516308860173182,False
1.3,2000,9,5.631975696873825,5.615889256365183,5.615889256365183,True,5.502979379926949,5.502979379926949,False
1.3,4000,25,6.176556597414344,6.159500122342157,6.159500122342157,True,4.7413102637245546,4.7413102637245546,False
1.3,4000,2,5.086429493088946,5.085372809893849,5.085372809893849,True,5.081353399631789,5.081353399631789,False
1.35,2000,38,5.35811704208195,5.34823886502125,5.34823886502125,True,5.259393173799684,5.259393173799684,False
1.45,4000,16,4.476878024624513,4.478565191685139,4.478565191685139,True,4.478565191685139,4.476878024624513,True
1.5,4000,38,5.360655366312101,5.370520924097313,5.370520924097313,True,5.200860608672205,5.200860608672205,False
1.45,8000,26,4.844773456228508,4.845843243416589,4.845843243416589,True,4.845843243416589,4.844773456228508,True
1.4,16000,28,4.9047342566514915,4.905768770939472,4.905768770939472,True,4.872865943196296,4.872865943196296,False
1.4,16000,30,5.1884502344019285,5.177987071592812,5.177987071592812,True,4.681991324264342,4.681991324264342,False
1.4,4000,34,5.479215277943715,5.477726224406844,5.477726224406844,True,5.475161889519498,5.475161889519498,False
1.5,16000,36,5.397481275179649,5.380915922568831,5.380915922568831,True,5.033804467737376,5.033804467737376,False
1.4,16000,32,5.765431846388554,5.7487076658127005,5.7487076658127005,True,5.371704315444265,5.371704315444265,False
1.45,16000,5,5.9161916738361064,5.929587319218599,5.929587319218599,True,5.929587319218599,5.9161916738361064,True
1.6,4000,6,4.948152891777878,4.949880966280624,4.949880966280624,True,4.949880966280624,4.948152891777878,True
1.6,16000,35,5.23948861590904,5.23579840932699,5.23579840932699,True,5.181031513868697,5.181031513868697,False
1.6,4000,9,5.655957107472294,5.639929914905707,5.639929914905707,True,5.532589099806788,5.532589099806788,False
1.3,2000,13,4.472747991369044,4.46764982216127,4.46764982216127,True,4.288424905972976,4.288424905972976,False
1.4,16000,38,5.361865337419332,5.351986103148982,5.351986103148982,True,5.27453116837914,5.27453116837914,False
1.6,8000,18,5.410579074787164,5.394607543724868,5.394607543724868,True,4.623832747973599,4.623832747973599,False
1.4,32000,17,4.43939490335541,4.434588164087878,4.434588164087878,True,4.3476475604222635,4.3476475604222635,False
1.6,2000,36,5.399055671654767,5.382535565716445,5.382535565716445,True,5.084304457736854,5.084304457736854,False
1.5,2000,36,5.397481275179649,5.380915922568831,5.380915922568831,True,4.956021657065449,4.956021657065449,False
1.3,2000,10,5.2279644804912895,5.21195954606306,5.211959546063059,True,4.796212358574369,4.796212358574369,False
1.5,4000,30,5.182672378142228,5.172243895558839,5.172243895558839,True,4.689489760588005,4.689489760588005,False
1.4,32000,37,4.327389959775179,4.324273864238637,4.324273864238637,True,4.289033094705773,4.289033094705773,False
1.5,8000,7,5.620810431011442,5.619467612149358,5.619467612149358,True,5.612920112234968,5.612920112234968,False
1.5,16000,5,5.9195723228387385,5.932940404774534,5.932940404774534,True,5.932940404774534,5.9195723228387385,True
1.6,8000,38,5.350790471869021,5.3606336184093655,5.3606336184093655,True,5.166633719503062,5.166633719503062,False
1.6,8000,19,5.652677060189068,5.6655547199185055,5.6655547199185055,True,5.6655547199185055,5.652677060189068,True
1.5,8000,17,4.461894005879619,4.456801432829785,4.456801432829785,True,4.365867269739605,4.365867269739605,False
1.5,8000,12,5.553952040822659,5.538230353978742,5.538230353978742,True,5.302187731426052,5.302187731426052,False
1.4,16000,33,4.886965944384854,4.896461239984817,4.896461239984817,True,4.702779674165396,4.702779674165396,False
1.6,32000,7,5.622956716997266,5.621381486268498,5.621381486268498,True,5.612793344429244,5.612793344429244,False
1.35,16000,22,4.244064232817926,4.2530474212859115,4.253047421285911,True,4.253047421285911,4.244064232817926,True
1.45,32000,34,5.492025762880408,5.490428886265766,5.490428886265766,True,5.487735959382991,5.487735959382991,False
1.35,2000,16,4.455126101443287,4.46763104052617,4.46763104052617,True,4.46763104052617,4.455126101443287,True
1.35,8000,5,5.899920594524315,5.913375602906015,5.913375602906015,True,5.913375602906015,5.899920594524315,True
1.3,4000,35,5.153140648707693,5.150200731630284,5.150200731630284,True,5.109899569488107,5.109899569488107,False
1.4,8000,36,5.386863394361751,5.3702532627791735,5.3702532627791735,True,4.847368204819381,4.847368204819381,False
1.35,4000,10,5.240123328818258,5.224135180188229,5.224135180188229,True,4.799906105412981,4.799906105412981,False
1.5,8000,5,5.9195723228387385,5.932940404774534,5.932940404774534,True,5.932940404774534,5.9195723228387385,True
1.45,16000,3,5.418210662415035,5.426096735200866,5.426096735200866,True,5.426096735200866,5.418210662415035,True
1.35,2000,27,5.429884440307394,5.425246783573651,5.425246783573651,True,5.409218697761468,5.409218697761468,False
1.35,32000,6,4.938822836744412,4.93987480827862,4.93987480827862,True,4.93987480827862,4.938822836744412,True
1.6,32000,38,5.350790471869021,5.3606336184093655,5.3606336184093655,True,5.154075230201536,5.154075230201536,False
1.5,2000,30,5.182672378142228,5.172243895558839,5.172243895558839,True,4.688661324720472,4.688661324720472,False
1.3,4000,33,4.859915448844148,4.869447372773807,4.869447372773807,True,4.869447372773807,4.859915448844148,True
1.35,16000,16,4.455126101443287,4.46763104052617,4.46763104052617,True,4.46763104052617,4.455126101443287,True
1.4,8000,21,4.646308895111845,4.65452962541365,4.65452962541365,True,4.65452962541365,4.646308895111845,True
1.6,2000,7,5.622956716997266,5.621381486268498,5.621381486268498,True,5.612793344429244,5.612793344429244,False
1.5,2000,2,5.128038704876802,5.126408081585691,5.126408081585691,True,5.117856905607726,5.117856905607726,False
1.3,16000,26,4.814314695621605,4.814994036349338,4.814994036349338,True,4.814994036349338,4.814314695621605,True
1.5,2000,22,4.281973936009801,4.290872672405456,4.290872672405456,True,4.290872672405456,4.281973936009801,True
1.4,32000,28,4.9047342566514915,4.905768770939472,4.905768770939472,True,4.871531976669257,4.871531976669257,False
1.4,16000,2,5.1143343545057895,5.112978801167967,5.112978801167967,True,5.106759280267946,5.106759280267946,False
1.3,2000,7,5.582535690754617,5.58169842651043,5.58169842651043,True,5.578977903822284,5.578977903822284,False
1.3,16000,30,5.181284512977782,5.170786218973593,5.170786218973593,True,4.6600474173551225,4.6600474173551225,False
1.6,4000,2,5.132007630065108,5.13011631083921,5.13011631083921,True,5.118996978129274,5.118996978129274,False
1.6,8000,34,5.513965850196889,5.512050482101658,5.512050482101658,True,5.509323932751651,5.509323932751651,False
1.45,8000,2,5.122628742599633,5.1211334103601915,5.1211334103601915,True,5.113716701981825,5.113716701981825,False
