a,eps,budget,seed,w2_abs,solved
1.2,0.19999999999999996,2000,22,2.122548332352093,False
1.2,0.19999999999999996,2000,23,2.871760225711892,False
1.2,0.19999999999999996,2000,24,3.296960350490151,False
1.2,0.19999999999999996,2000,25,1.5684423519302184,False
1.2,0.19999999999999996,2000,26,0.3089985409803303,False
1.2,0.19999999999999996,2000,27,2.780979644665901,False
1.2,0.19999999999999996,2000,28,3.0069514981417513,False
1.2,0.19999999999999996,2000,29,0.35496444990309456,False
1.2,0.19999999999999996,4000,0,4.3056034961637835,False
1.2,0.19999999999999996,4000,1,7.73147957756681,False
1.2,0.19999999999999996,4000,2,10.206754481120731,False
1.2,0.19999999999999996,4000,3,6.844380473076557,False
1.2,0.19999999999999996,4000,4,0.6839753876431339,False
1.2,0.19999999999999996,4000,5,8.738227568749712,False
1.2,0.19999999999999996,4000,6,3.7515659131306847,False
1.2,0.19999999999999996,4000,7,10.383150502474619,False
1.2,0.19999999999999996,4000,8,0.6609354508726621,False
1.2,0.19999999999999996,4000,9,8.007822197283819,False
1.2,0.19999999999999996,4000,10,9.682072012788225,False
1.2,0.19999999999999996,4000,11,5.153904146137538,False
1.2,0.19999999999999996,4000,12,9.569765801422761,False
1.2,0.19999999999999996,4000,13,4.266424682749934,False
1.2,0.19999999999999996,4000,14,1.497366681054345,False
1.2,0.19999999999999996,4000,15,7.350248682287366,False
1.2,0.19999999999999996,4000,16,6.444013919683226,False
1.2,0.19999999999999996,4000,17,0.8745754509957305,False
1.2,0.19999999999999996,4000,18,8.010401755615115,False
1.2,0.19999999999999996,4000,19,9.165404218862376,False
1.2,0.19999999999999996,4000,20,6.311947883792896,False
1.2,0.19999999999999996,4000,21,1.2720028943511714,False
1.2,0.19999999999999996,4000,22,5.206474064466868,False
1.2,0.19999999999999996,4000,23,8.674738785729945,False
1.2,0.19999999999999996,4000,24,8.467144945455878,False
1.2,0.19999999999999996,4000,25,4.562937082555118,False
1.2,0.19999999999999996,4000,26,7.886945081556975,False
1.2,0.19999999999999996,4000,27,6.238985354620907,False
1.2,0.19999999999999996,4000,28,7.041305805296125,False
1.2,0.19999999999999996,4000,29,0.41737063909057154,False
1.2,0.19999999999999996,8000,0,13.910373252573324,False
1.2,0.19999999999999996,8000,1,18.254116343296452,True
1.2,0.19999999999999996,8000,2,20.959907811033624,True
1.2,0.19999999999999996,8000,3,17.220303030435126,True
1.2,0.19999999999999996,8000,4,0.7091062029139733,False
1.2,0.19999999999999996,8000,5,19.63405013063163,True
1.2,0.19999999999999996,8000,6,15.091551212389918,True
1.2,0.19999999999999996,8000,7,21.13403322032247,True
1.2,0.19999999999999996,8000,8,0.6839736915680996,False
1.2,0.19999999999999996,8000,9,18.539548309990195,True
1.2,0.19999999999999996,8000,10,20.373986993848245,True
1.2,0.19999999999999996,8000,11,16.46348707572303,True
1.2,0.19999999999999996,8000,12,20.301913566937746,True
1.2,0.19999999999999996,8000,13,14.575641234208945,True
1.2,0.19999999999999996,8000,14,12.854676210240914,False
1.2,0.19999999999999996,8000,15,17.91013192796828,True
1.2,0.19999999999999996,8000,16,17.927039169814634,True
1.2,0.19999999999999996,8000,17,0.9526587035166464,False
1.2,0.19999999999999996,8000,18,18.440752285336917,True
