a,kind,s,w1,b1,b2,loss,gap,solves,steps
1.4,glob,3.45,-0.9341949059141929,-2.3667765238418093,10.240258882256171,0.34529957151261503,0.00503488918108852,False,0
1.4,glob,3.5,-0.9321540578124642,-2.368916393917734,10.397332995626273,0.34297268468668834,0.008442776169022448,False,0
1.4,solve,4.65,-0.8958940899380873,-2.406637156145685,14.007593111495853,0.2939091369342122,0.0653268236999418,False,0
1.4,solve,4.7,-0.8946735337355509,-2.407891644238087,14.164445827740614,0.29195288548334064,0.06711588554804226,False,0
1.4,solve,4.75,-0.8934758094678467,-2.409121247233016,14.321288579554311,0.2900102179645087,0.06886310946188301,True,0
1.4,solve,4.8,0.8923002939030337,-2.410326629634166,14.478121355333709,0.28808101613262305,0.07056982378056409,True,0
1.4,solve,4.85,0.8911463871001124,-2.4115084317916984,14.634944139182776,0.2861651642109937,0.07223730133648942,True,0
1.45,glob,2.8,0.9867378949620105,-2.320439230776266,8.200403769654898,0.35381653343299146,-0.009846657223889554,False,0
1.45,glob,2.85,0.9839948029518901,-2.323320193017223,8.35745748478822,0.35100051898201057,-0.004643528143038811,False,0
1.45,glob,2.9,-0.9813315502971295,-2.326115904150485,8.514503662816177,0.3482103684729762,0.00037040489936801535,False,0
1.45,glob,2.95,0.9787446930729479,-2.328829958502617,8.671541725367282,0.3454456271958148,0.0052047243824970835,False,0
1.45,glob,3.0,0.9762309842150761,-2.331465748070476,8.82857116785649,0.3427058618032608,0.009868388128532857,False,0
1.45,solve,3.95,0.9391246585448388,-2.370080075070862,11.810055927157409,0.2949346709245503,0.07468185219622869,False,0
1.45,solve,4.0,0.9376034855638029,-2.371644948753883,11.966853025915942,0.29262612931217236,0.07717094076331943,False,0
1.45,solve,4.05,-0.9361157045228304,3.910011855098986,-13.323263462733316,0.29033652161537155,0.0795919283517792,True,0
1.45,solve,4.1,-0.9346602506623781,-2.3746667207646666,12.280407874220783,0.2880656498558006,0.08194733771360285,True,0
1.45,solve,4.15,0.9332361013516487,-2.376125845226504,12.437165531889349,0.28581332103949875,0.08423957383491754,True,0
1.5,glob,2.45,-1.026969526098294,3.9970520241948226,-8.290697434367322,0.3532364054000288,-0.0103306732066053,False,0
1.5,glob,2.5,-1.0237012350905619,-2.2895655774425996,7.260094682059924,0.34998752989858717,-0.003542545697822863,False,0
1.5,glob,2.55,-1.020541174172829,-2.2928822633772215,7.417075319757558,0.34677332619644646,0.0029657820558437464,False,0
1.5,glob,2.6,1.0174840571516406,-2.296088860410273,7.574047446717977,0.3435930827578328,0.009210303105732898,False,0
1.5,glob,2.65,1.0145249396221592,-2.2991905374360884,7.731010158453709,0.3404461265351612,0.015205837114715681,False,0
1.5,solve,3.4,-0.9793268559714956,-2.3358251398558907,10.083905278474388,0.2968664864254768,0.08270999786651156,False,0
